bowler,over,wide_runs,WoPerOver,noball_runs,NoPerOver
STR Binny,23,3,0.13043478260869565,0,0.0
Sachin Baby,2,0,0.0,0,0.0
Sandeep Sharma,98,20,0.20408163265306123,1,0.01020408163265306
Shakib Al Hasan,34,4,0.11764705882352941,0,0.0
Swapnil Singh,10,1,0.1,0,0.0
T Natarajan,13,6,0.46153846153846156,0,0.0
T Shamsi,16,0,0.0,0,0.0
TA Boult,28,7,0.25,0,0.0
TG Southee,53,15,0.2830188679245283,1,0.018867924528301886
TM Head,9,0,0.0,0,0.0
TS Mills,18,9,0.5,0,0.0
Tejas Baroka,4,0,0.0,0,0.0
UT Yadav,75,21,0.28,2,0.02666666666666667
V Kohli,1,0,0.0,2,2.0
VR Aaron,44,19,0.4318181818181818,3,0.06818181818181818
Washington Sundar,30,2,0.06666666666666667,0,0.0
YK Pathan,10,2,0.2,0,0.0
YS Chahal,94,26,0.2765957446808511,3,0.031914893617021274
Yuvraj Singh,9,1,0.1111111111111111,0,0.0
Z Khan,86,18,0.20930232558139536,0,0.0
