bowler,over,total_runs,avg_economy
A Ashish Reddy,4,40,10.0
A Choudhary,17,144,8.470588235294118
A Mishra,85,695,8.176470588235293
A Nehra,49,398,8.122448979591837
A Zampa,37,281,7.594594594594595
AB Dinda,41,357,8.707317073170731
AD Mathews,5,57,11.4
AD Russell,37,301,8.135135135135135
AF Milne,18,185,10.277777777777779
AJ Tye,21,146,6.9523809523809526
AR Patel,96,761,7.927083333333333
AS Rajpoot,25,214,8.56
Ankit Sharma,12,100,8.333333333333334
Ankit Soni,19,145,7.631578947368421
Anureet Singh,8,70,8.75
Avesh Khan,4,24,6.0
B Kumar,119,887,7.453781512605042
B Stanlake,8,70,8.75
BA Stokes,44,327,7.431818181818182
BB Sran,52,449,8.634615384615385
BCJ Cutting,25,203,8.12
Basil Thampi,45,428,9.511111111111111
Bipul Sharma,31,254,8.193548387096774
C Munro,2,15,7.5
C de Grandhomme,17,136,8.0
CH Gayle,10,65,6.5
CH Morris,75,561,7.48
CJ Anderson,19,187,9.842105263157896
CJ Jordan,29,276,9.517241379310345
CR Brathwaite,30,259,8.633333333333333
CR Woakes,44,393,8.931818181818182
D Wiese,4,49,12.25
DJ Bravo,56,502,8.964285714285714
DJ Hooda,17,139,8.176470588235293
DL Chahar,12,117,9.75
DR Smith,31,305,9.838709677419354
DS Kulkarni,68,538,7.911764705882353
DT Christian,40,303,7.575
DW Steyn,2,17,8.5
GB Hogg,16,144,9.0
GJ Maxwell,28,207,7.392857142857143
Gurkeerat Singh,4,31,7.75
HH Pandya,43,374,8.69767441860465
HV Patel,18,190,10.555555555555555
Harbhajan Singh,90,671,7.455555555555556
I Sharma,33,341,10.333333333333334
IK Pathan,10,87,8.7
Imran Tahir,63,511,8.11111111111111
Iqbal Abdulla,30,271,9.033333333333333
J Suchith,2,31,15.5
J Yadav,23,168,7.304347826086956
JA Morkel,5,66,13.2
JD Unadkat,49,379,7.73469387755102
JJ Bumrah,113,868,7.68141592920354
JO Holder,13,105,8.076923076923077
JP Duminy,7,55,7.857142857142857
JP Faulkner,45,447,9.933333333333334
JW Hastings,7,37,5.285714285714286
K Rabada,22,198,9.0
KA Pollard,8,112,14.0
KC Cariappa,32,287,8.96875
KH Pandya,72,518,7.194444444444445
KJ Abbott,16,182,11.375
KS Williamson,1,7,7.0
KV Sharma,48,391,8.145833333333334
KW Richardson,14,138,9.857142857142858
Kuldeep Yadav,53,447,8.433962264150944
LH Ferguson,13,96,7.384615384615385
M Ashwin,29,245,8.448275862068966
M Morkel,36,299,8.305555555555555
M Vijay,1,8,8.0
MC Henriques,77,666,8.64935064935065
MG Johnson,31,255,8.225806451612904
MJ Henry,5,71,14.2
MJ McClenaghan,108,961,8.898148148148149
MM Patel,7,58,8.285714285714286
MM Sharma,97,822,8.474226804123711
MN Samuels,3,34,11.333333333333334
MP Stoinis,34,314,9.235294117647058
MR Marsh,9,45,5.0
MS Gony,2,32,16.0
Mohammad Nabi,11,59,5.363636363636363
Mohammed Shami,52,500,9.615384615384615
Mohammed Siraj,23,214,9.304347826086957
Mustafizur Rahman,64,461,7.203125
N Rana,1,3,3.0
NB Singh,4,18,4.5
NLTC Perera,34,326,9.588235294117647
NM Coulter-Nile,44,352,8.0
P Kumar,70,562,8.028571428571428
P Negi,42,286,6.809523809523809
P Sahu,18,152,8.444444444444445
PJ Cummins,47,393,8.361702127659575
PJ Sangwan,22,232,10.545454545454545
PP Chawla,57,452,7.9298245614035086
PV Tambe,16,143,8.9375
Parvez Rasool,14,130,9.285714285714286
R Ashwin,44,321,7.295454545454546
R Bhatia,41,304,7.414634146341464
R Dhawan,7,56,8.0
R Sathish,6,59,9.833333333333334
R Tewatia,9,51,5.666666666666667
R Vinay Kumar,12,96,8.0
RA Jadeja,79,672,8.50632911392405
RA Tripathi,1,12,12.0
RD Chahar,7,59,8.428571428571429
RP Singh,13,114,8.76923076923077
Rashid Khan,54,368,6.814814814814815
S Aravind,61,500,8.19672131147541
S Badree,25,191,7.64
S Gopal,3,19,6.333333333333333
S Kaul,36,303,8.416666666666666
S Kaushik,34,304,8.941176470588236
S Ladda,2,21,10.5
S Nadeem,33,246,7.454545454545454
SB Jakati,25,233,9.32
SK Raina,22,186,8.454545454545455
SL Malinga,45,388,8.622222222222222
SM Boland,7,56,8.0
SN Thakur,39,319,8.179487179487179
SP Narine,102,722,7.078431372549019
SR Watson,84,736,8.761904761904763
SS Agarwal,4,42,10.5
STR Binny,23,184,8.0
Sachin Baby,2,8,4.0
Sandeep Sharma,98,776,7.918367346938775
Shakib Al Hasan,34,281,8.264705882352942
Swapnil Singh,10,90,9.0
T Natarajan,13,116,8.923076923076923
T Shamsi,16,151,9.4375
TA Boult,28,261,9.321428571428571
TG Southee,53,430,8.11320754716981
TM Head,9,81,9.0
TS Mills,18,157,8.722222222222221
Tejas Baroka,4,33,8.25
UT Yadav,75,678,9.04
V Kohli,1,13,13.0
VR Aaron,44,399,9.068181818181818
Washington Sundar,30,189,6.3
YK Pathan,10,74,7.4
YS Chahal,94,760,8.085106382978724
Yuvraj Singh,9,75,8.333333333333334
Z Khan,86,664,7.72093023255814
