bowler,over
B Kumar,52
JJ Bumrah,51
MM Sharma,39
MJ McClenaghan,38
SR Watson,32
CH Morris,29
Mustafizur Rahman,28
Sandeep Sharma,28
DJ Bravo,27
JD Unadkat,20
SP Narine,20
P Kumar,19
Basil Thampi,18
UT Yadav,17
PJ Cummins,16
Z Khan,16
S Aravind,15
Imran Tahir,15
JP Faulkner,15
TA Boult,14
CR Woakes,14
Mohammed Shami,14
AB Dinda,14
DT Christian,13
DS Kulkarni,13
NLTC Perera,13
NM Coulter-Nile,12
S Kaul,12
Kuldeep Yadav,12
SL Malinga,12
YS Chahal,12
BA Stokes,12
HH Pandya,11
AJ Tye,10
AR Patel,10
CJ Jordan,10
RA Jadeja,10
AD Russell,9
A Nehra,9
M Ashwin,9
R Ashwin,9
PP Chawla,9
BB Sran,8
A Mishra,8
A Zampa,8
BCJ Cutting,8
TG Southee,8
K Rabada,8
VR Aaron,8
M Morkel,7
TS Mills,7
SN Thakur,7
AF Milne,6
Mohammed Siraj,6
P Negi,6
MP Stoinis,6
HV Patel,6
MG Johnson,6
CJ Anderson,6
KH Pandya,6
CR Brathwaite,6
Shakib Al Hasan,5
Rashid Khan,5
MC Henriques,5
AS Rajpoot,5
S Kaushik,4
JO Holder,4
KW Richardson,4
KJ Abbott,4
I Sharma,4
GB Hogg,4
A Choudhary,4
RP Singh,4
Iqbal Abdulla,4
PJ Sangwan,4
DR Smith,3
T Shamsi,3
P Sahu,3
SM Boland,3
GJ Maxwell,3
KA Pollard,3
KC Cariappa,3
TM Head,3
T Natarajan,2
Harbhajan Singh,2
IK Pathan,2
R Bhatia,2
KV Sharma,2
S Nadeem,2
SB Jakati,2
JW Hastings,2
MJ Henry,2
AD Mathews,2
LH Ferguson,2
CH Gayle,2
S Badree,1
Bipul Sharma,1
Sachin Baby,1
D Wiese,1
RD Chahar,1
R Vinay Kumar,1
C de Grandhomme,1
R Sathish,1
R Dhawan,1
Yuvraj Singh,1
Washington Sundar,1
MR Marsh,1
Ankit Sharma,1
JA Morkel,1
J Yadav,1
Tejas Baroka,1
Ankit Soni,1
PV Tambe,1
Avesh Khan,1
B Stanlake,0
Swapnil Singh,0
V Kohli,0
SS Agarwal,0
STR Binny,0
YK Pathan,0
Anureet Singh,0
DW Steyn,0
C Munro,0
N Rana,0
KS Williamson,0
M Vijay,0
MM Patel,0
JP Duminy,0
MN Samuels,0
MS Gony,0
Mohammad Nabi,0
J Suchith,0
NB Singh,0
SK Raina,0
Gurkeerat Singh,0
Parvez Rasool,0
R Tewatia,0
RA Tripathi,0
DL Chahar,0
S Gopal,0
DJ Hooda,0
S Ladda,0
A Ashish Reddy,0
