bowler,over
P Kumar,262
B Kumar,231
Z Khan,217
I Sharma,201
SL Malinga,185
DW Steyn,183
A Nehra,183
UT Yadav,176
RP Singh,167
DS Kulkarni,166
Sandeep Sharma,157
IK Pathan,153
M Morkel,151
JA Morkel,150
SR Watson,139
R Ashwin,136
AB Dinda,135
MM Sharma,131
R Vinay Kumar,126
Harbhajan Singh,124
SP Narine,116
MJ McClenaghan,109
MM Patel,109
MG Johnson,104
JJ Bumrah,95
S Sreesanth,95
DL Chahar,94
JD Unadkat,87
JH Kallis,86
CH Morris,84
TG Southee,82
MS Gony,81
B Lee,81
Mohammed Shami,79
L Balaji,75
S Aravind,71
RJ Harris,71
TA Boult,66
Shakib Al Hasan,64
JP Faulkner,62
YK Pathan,59
PP Chawla,58
DP Nannes,57
VR Aaron,55
PJ Sangwan,55
DE Bollinger,54
YS Chahal,54
AD Russell,54
A Singh,51
MA Starc,49
SN Thakur,48
NM Coulter-Nile,48
S Kaul,47
Iqbal Abdulla,46
WD Parnell,45
P Awana,45
S Nadeem,45
IC Pandey,44
AR Patel,43
BW Hilfenhaus,40
PP Ojha,40
BB Sran,38
SW Tait,38
HV Patel,38
GD McGrath,37
DJ Bravo,36
K Gowtham,34
SM Pollock,34
AS Rajpoot,34
WPUJC Vaas,33
J Botha,32
J Archer,31
KH Pandya,31
P Krishna,31
NLTC Perera,30
M Kartik,30
AC Thomas,30
AB Agarkar,30
DT Christian,29
K Rabada,29
MC Henriques,29
MF Maharoof,28
AD Mascarenhas,28
S Tyagi,28
JP Duminy,27
AJ Tye,27
KW Richardson,27
Anureet Singh,27
R Rampaul,26
HH Pandya,26
BA Stokes,26
STR Binny,26
S Badree,26
KV Sharma,26
M Ntini,26
M Muralitharan,25
Washington Sundar,25
R McLaren,25
Pankaj Singh,25
Mustafizur Rahman,25
Ankit Sharma,24
Azhar Mahmood,24
AA Chavan,24
A Chandila,24
AN Ahmed,23
Mohammed Siraj,23
N Saini,23
SJ Srivastava,22
Mohammad Nabi,22
RA Jadeja,22
Sohail Tanvir,22
RR Powar,22
A Mishra,22
Rashid Khan,22
AD Mathews,21
PJ Cummins,21
K Ahmed,21
VS Malik,21
SK Trivedi,21
SMSM Senanayake,21
CH Gayle,20
CR Woakes,20
M Ur Rahman,20
A Symonds,19
Basil Thampi,18
A Kumble,18
JDP Oram,18
J Yadav,17
DP Vijaykumar,17
JO Holder,16
KK Cooper,16
BA Bhatt,16
Avesh Khan,16
V Pratap Singh,16
SB Jakati,16
R Sharma,15
SB Wagh,15
SE Bond,15
Mohammad Asif,15
L Ngidi,15
DL Vettori,15
CK Langeveldt,14
Harmeet Singh,14
YA Abdulla,14
Kamran Khan,14
B Stanlake,14
MN Samuels,13
AG Murtaza,13
CRD Fernando,13
VY Mahesh,13
VRV Singh,13
FH Edwards,13
Bipul Sharma,13
PV Tambe,13
S Sharma,13
J Behrendorff,13
S Mavi,13
R Dhawan,13
CJ Anderson,12
DJ Muthuswami,12
S Lamichhane,12
MR Marsh,12
J Theron,11
H Gurney,11
GJ Maxwell,11
SK Raina,11
A Mithun,11
KMDN Kulasekara,11
AM Salvi,11
Parvez Rasool,11
S Narwal,11
DR Smith,11
D Wiese,10
BE Hendricks,10
T Thushara,10
M de Lange,10
P Suyal,10
S Curran,10
BAW Mendis,10
DJ Hooda,9
MP Stoinis,9
