bowler,over
B Kumar,60
Sandeep Sharma,58
Z Khan,52
MJ McClenaghan,50
P Kumar,50
DS Kulkarni,42
JJ Bumrah,35
UT Yadav,34
MM Sharma,33
S Aravind,33
TG Southee,32
CH Morris,32
SP Narine,29
A Nehra,29
AB Dinda,27
JD Unadkat,24
I Sharma,24
SR Watson,23
BB Sran,22
Mohammed Shami,22
M Morkel,22
YS Chahal,20
AD Russell,20
SL Malinga,19
NM Coulter-Nile,18
Washington Sundar,18
Mustafizur Rahman,17
Basil Thampi,17
MG Johnson,16
AR Patel,16
PJ Sangwan,15
Harbhajan Singh,15
SN Thakur,15
S Nadeem,14
STR Binny,14
PJ Cummins,13
Shakib Al Hasan,13
BA Stokes,13
TA Boult,13
NLTC Perera,13
S Badree,13
CR Woakes,12
K Rabada,12
J Yadav,12
VR Aaron,12
S Kaul,11
DL Chahar,11
Mohammed Siraj,10
SK Raina,10
KV Sharma,9
Rashid Khan,9
RP Singh,9
KW Richardson,8
MP Stoinis,8
R Ashwin,8
JP Faulkner,8
KH Pandya,8
TS Mills,7
KJ Abbott,7
Parvez Rasool,7
PP Chawla,7
AF Milne,7
Iqbal Abdulla,7
AJ Tye,6
CJ Jordan,6
B Stanlake,6
A Choudhary,6
Bipul Sharma,6
Mohammad Nabi,6
LH Ferguson,5
Kuldeep Yadav,5
HH Pandya,5
DJ Hooda,5
DR Smith,5
DT Christian,5
YK Pathan,5
HV Patel,5
P Negi,4
T Natarajan,4
R Vinay Kumar,4
NB Singh,4
SB Jakati,4
MC Henriques,4
MR Marsh,4
Anureet Singh,4
JA Morkel,4
BCJ Cutting,4
JW Hastings,4
Imran Tahir,4
KC Cariappa,4
AS Rajpoot,4
CR Brathwaite,3
MJ Henry,3
PV Tambe,3
Ankit Sharma,3
GJ Maxwell,3
CH Gayle,3
S Kaushik,3
SM Boland,3
RA Jadeja,3
DW Steyn,2
IK Pathan,2
GB Hogg,2
DJ Bravo,2
C de Grandhomme,2
JO Holder,2
Avesh Khan,2
M Ashwin,2
CJ Anderson,1
SS Agarwal,1
Ankit Soni,1
Tejas Baroka,1
A Zampa,1
MS Gony,1
S Ladda,1
R Tewatia,1
MM Patel,1
M Vijay,1
P Sahu,1
KS Williamson,1
Gurkeerat Singh,0
KA Pollard,0
Yuvraj Singh,0
A Mishra,0
N Rana,0
AD Mathews,0
MN Samuels,0
V Kohli,0
TM Head,0
T Shamsi,0
S Gopal,0
JP Duminy,0
Swapnil Singh,0
C Munro,0
R Bhatia,0
Sachin Baby,0
R Dhawan,0
R Sathish,0
RA Tripathi,0
D Wiese,0
RD Chahar,0
J Suchith,0
A Ashish Reddy,0
