bowler,over
JJ Bumrah,51
DJ Bravo,48
B Kumar,40
J Archer,37
S Kaul,35
JD Unadkat,34
AJ Tye,32
SN Thakur,31
Rashid Khan,30
Mohammed Siraj,30
P Krishna,27
Mohammed Shami,26
TA Boult,26
K Rabada,24
SP Narine,24
SL Malinga,21
HH Pandya,20
CH Morris,20
Imran Tahir,17
UT Yadav,17
BA Stokes,16
AD Russell,16
N Saini,15
R Ashwin,13
PP Chawla,13
TG Southee,13
RA Jadeja,13
S Curran,13
S Sharma,13
MM Sharma,13
YS Chahal,13
M Ur Rahman,11
KH Pandya,11
Mustafizur Rahman,11
K Ahmed,10
DL Chahar,10
L Ngidi,10
MJ McClenaghan,10
CR Woakes,9
K Paul,9
B Laughlin,9
Kuldeep Yadav,9
H Gurney,9
L Plunkett,8
AR Patel,8
I Sharma,7
Basil Thampi,7
MG Johnson,7
A Mishra,7
S Mavi,7
L Ferguson,7
AS Rajpoot,7
S Gopal,7
HV Patel,7
BB Sran,7
H Viljoen,7
M Markande,7
CJ Anderson,6
Shakib Al Hasan,6
DS Kulkarni,6
BCJ Cutting,5
S Lamichhane,5
CR Brathwaite,5
S Kuggeleijn,4
MP Stoinis,4
R Tewatia,4
T Curran,4
DT Christian,4
M Ali,4
M Ashwin,4
Mohammad Nabi,3
K Khejroliya,3
Harbhajan Singh,3
SR Watson,3
V Shankar,3
KV Sharma,3
Avesh Khan,3
D Willey,3
M Santner,2
VR Aaron,2
DW Steyn,2
M Wood,2
P Negi,2
C de Grandhomme,2
O Thomas,2
R Vinay Kumar,2
I Sodhi,2
Washington Sundar,2
Sandeep Sharma,2
A Singh,2
A Joseph,2
B Stanlake,1
CJ Jordan,1
RD Chahar,1
S Nadeem,1
S Dube,1
GJ Maxwell,1
R Salam,1
SN Khan,1
P R Barman,1
N Rana,1
J Behrendorff,1
J Searles,1
K Gowtham,1
KM Asif,1
S Rutherford,1
SK Raina,0
V Chakravarthy,0
YK Pathan,0
S Warrier,0
STR Binny,0
A Dananjaya,0
S Midhun,0
J Suchith,0
A Roy,0
Ankit Sharma,0
Anureet Singh,0
D Short,0
DJ Hooda,0
H Brar,0
H Vihari,0
J Dala,0
J Yadav,0
R Parag,0
JP Duminy,0
KC Cariappa,0
L Livingstone,0
M Lomror,0
MK Tiwary,0
Mandeep Singh,0
P Raj,0
PJ Sangwan,0
Yuvraj Singh,0
