bowler,over,wide_runs,WoPerOver,noball_runs,NoPerOver
A Dananjaya,4,1,0.25,0,0.0
A Joseph,9,3,0.3333333333333333,0,0.0
A Mishra,77,7,0.09090909090909091,0,0.0
A Roy,2,3,1.5,0,0.0
A Singh,10,5,0.5,0,0.0
AD Russell,69,12,0.17391304347826086,1,0.014492753623188406
AJ Tye,78,20,0.2564102564102564,2,0.02564102564102564
AR Patel,77,3,0.03896103896103896,0,0.0
AS Rajpoot,43,8,0.18604651162790697,7,0.16279069767441862
Ankit Sharma,3,0,0.0,1,0.3333333333333333
Anureet Singh,4,0,0.0,0,0.0
Avesh Khan,22,3,0.13636363636363635,1,0.045454545454545456
B Kumar,106,20,0.18867924528301888,3,0.02830188679245283
B Laughlin,21,7,0.3333333333333333,1,0.047619047619047616
B Stanlake,16,4,0.25,0,0.0
BA Stokes,54,16,0.2962962962962963,2,0.037037037037037035
BB Sran,26,15,0.5769230769230769,2,0.07692307692307693
BCJ Cutting,19,3,0.15789473684210525,0,0.0
Basil Thampi,23,1,0.043478260869565216,1,0.043478260869565216
C de Grandhomme,20,12,0.6,0,0.0
CH Morris,47,9,0.19148936170212766,2,0.0425531914893617
CJ Anderson,9,5,0.5555555555555556,0,0.0
CJ Jordan,4,1,0.25,0,0.0
CR Brathwaite,14,6,0.42857142857142855,0,0.0
CR Woakes,19,8,0.42105263157894735,0,0.0
D Short,3,0,0.0,0,0.0
D Willey,10,1,0.1,0,0.0
DJ Bravo,96,31,0.3229166666666667,2,0.020833333333333332
DJ Hooda,5,1,0.2,0,0.0
DL Chahar,104,27,0.25961538461538464,5,0.04807692307692308
DS Kulkarni,55,15,0.2727272727272727,1,0.01818181818181818
DT Christian,12,0,0.0,0,0.0
DW Steyn,8,0,0.0,0,0.0
GJ Maxwell,16,2,0.125,0,0.0
H Brar,5,0,0.0,0,0.0
H Gurney,27,6,0.2222222222222222,1,0.037037037037037035
H Vihari,1,0,0.0,0,0.0
H Viljoen,23,12,0.5217391304347826,0,0.0
HH Pandya,86,26,0.3023255813953488,2,0.023255813953488372
HV Patel,26,14,0.5384615384615384,1,0.038461538461538464
Harbhajan Singh,76,9,0.11842105263157894,0,0.0
I Sharma,46,12,0.2608695652173913,0,0.0
I Sodhi,31,1,0.03225806451612903,0,0.0
Imran Tahir,86,7,0.08139534883720931,0,0.0
J Archer,83,18,0.21686746987951808,3,0.03614457831325301
J Behrendorff,19,3,0.15789473684210525,0,0.0
J Dala,3,1,0.3333333333333333,0,0.0
J Searles,7,3,0.42857142857142855,0,0.0
J Suchith,4,0,0.0,0,0.0
J Yadav,7,0,0.0,1,0.14285714285714285
JD Unadkat,89,19,0.21348314606741572,1,0.011235955056179775
JJ Bumrah,117,16,0.13675213675213677,6,0.05128205128205128
JP Duminy,3,0,0.0,0,0.0
K Ahmed,38,14,0.3684210526315789,0,0.0
K Gowtham,60,5,0.08333333333333333,0,0.0
K Khejroliya,16,6,0.375,0,0.0
K Paul,28,15,0.5357142857142857,5,0.17857142857142858
K Rabada,48,12,0.25,0,0.0
KC Cariappa,2,1,0.5,0,0.0
KH Pandya,87,10,0.11494252873563218,0,0.0
KM Asif,6,2,0.3333333333333333,0,0.0
KV Sharma,13,1,0.07692307692307693,0,0.0
Kuldeep Yadav,85,12,0.1411764705882353,0,0.0
L Ferguson,17,5,0.29411764705882354,0,0.0
L Livingstone,1,0,0.0,0,0.0
L Ngidi,26,7,0.2692307692307692,0,0.0
L Plunkett,25,4,0.16,0,0.0
M Ali,39,3,0.07692307692307693,0,0.0
M Ashwin,41,10,0.24390243902439024,1,0.024390243902439025
M Lomror,3,0,0.0,0,0.0
M Markande,50,5,0.1,0,0.0
M Santner,14,10,0.7142857142857143,1,0.07142857142857142
M Ur Rahman,61,23,0.3770491803278688,0,0.0
M Wood,4,1,0.25,0,0.0
MG Johnson,21,7,0.3333333333333333,0,0.0
MJ McClenaghan,58,20,0.3448275862068966,1,0.017241379310344827
MK Tiwary,1,3,3.0,0,0.0
MM Sharma,34,6,0.17647058823529413,2,0.058823529411764705
MP Stoinis,28,3,0.10714285714285714,0,0.0
Mandeep Singh,2,0,0.0,0,0.0
Mohammad Nabi,35,0,0.0,0,0.0
Mohammed Shami,68,9,0.1323529411764706,1,0.014705882352941176
Mohammed Siraj,70,34,0.4857142857142857,2,0.02857142857142857
Mustafizur Rahman,28,0,0.0,2,0.07142857142857142
N Rana,15,3,0.2,0,0.0
N Saini,48,6,0.125,5,0.10416666666666667
O Thomas,10,1,0.1,2,0.2
P Krishna,69,18,0.2608695652173913,4,0.057971014492753624
P Negi,16,3,0.1875,0,0.0
P R Barman,4,0,0.0,0,0.0
P Raj,5,3,0.6,0,0.0
PJ Sangwan,2,0,0.0,0,0.0
PP Chawla,94,1,0.010638297872340425,0,0.0
R Ashwin,106,23,0.2169811320754717,0,0.0
R Parag,14,0,0.0,0,0.0
R Salam,4,1,0.25,2,0.5
R Tewatia,29,3,0.10344827586206896,0,0.0
R Vinay Kumar,4,1,0.25,1,0.25
RA Jadeja,95,10,0.10526315789473684,0,0.0
RD Chahar,47,5,0.10638297872340426,0,0.0
Rashid Khan,129,9,0.06976744186046512,0,0.0
S Curran,34,8,0.23529411764705882,1,0.029411764705882353
S Dube,2,1,0.5,0,0.0
S Gopal,79,2,0.02531645569620253,1,0.012658227848101266
S Kaul,93,10,0.10752688172043011,3,0.03225806451612903
S Kuggeleijn,8,2,0.25,0,0.0
S Lamichhane,35,1,0.02857142857142857,0,0.0
S Mavi,28,11,0.39285714285714285,1,0.03571428571428571
S Midhun,2,1,0.5,0,0.0
S Nadeem,24,2,0.08333333333333333,0,0.0
S Rutherford,7,5,0.7142857142857143,0,0.0
S Sharma,43,9,0.20930232558139536,0,0.0
S Warrier,12,0,0.0,1,0.08333333333333333
SK Raina,1,0,0.0,0,0.0
SL Malinga,46,9,0.1956521739130435,2,0.043478260869565216
SN Khan,1,0,0.0,0,0.0
SN Thakur,77,25,0.3246753246753247,0,0.0
SP Narine,106,16,0.1509433962264151,0,0.0
SR Watson,28,8,0.2857142857142857,0,0.0
STR Binny,9,2,0.2222222222222222,1,0.1111111111111111
Sandeep Sharma,44,9,0.20454545454545456,0,0.0
Shakib Al Hasan,69,6,0.08695652173913043,0,0.0
T Curran,11,1,0.09090909090909091,2,0.18181818181818182
TA Boult,72,18,0.25,1,0.013888888888888888
TG Southee,38,16,0.42105263157894735,1,0.02631578947368421
UT Yadav,92,20,0.21739130434782608,3,0.03260869565217391
V Chakravarthy,3,0,0.0,0,0.0
V Shankar,13,6,0.46153846153846156,1,0.07692307692307693
VR Aaron,12,2,0.16666666666666666,0,0.0
Washington Sundar,29,6,0.20689655172413793,0,0.0
YK Pathan,3,0,0.0,0,0.0
YS Chahal,100,26,0.26,3,0.03
Yuvraj Singh,2,1,0.5,0,0.0
