bowler,over,total_runs,avg_economy
A Ashish Reddy,45,400,8.88888888888889
A Chandila,39,245,6.282051282051282
A Choudhary,17,144,8.470588235294118
A Dananjaya,4,48,12.0
A Flintoff,11,106,9.636363636363637
A Joseph,9,94,10.444444444444445
A Kumble,163,1089,6.680981595092025
A Mishra,519,3850,7.418111753371869
A Mithun,48,477,9.9375
A Nehra,320,2537,7.928125
A Nel,3,31,10.333333333333334
A Roy,2,14,7.0
A Singh,90,769,8.544444444444444
A Symonds,88,694,7.886363636363637
A Uniyal,6,67,11.166666666666666
A Zampa,37,281,7.594594594594595
AA Chavan,42,339,8.071428571428571
AA Jhunjhunwala,15,130,8.666666666666666
AA Kazi,2,21,10.5
AA Noffke,4,41,10.25
AB Agarkar,131,1174,8.961832061068701
AB Dinda,255,2103,8.24705882352941
AB McDonald,31,263,8.483870967741936
AC Gilchrist,1,0,0.0
AC Thomas,53,416,7.849056603773585
AC Voges,9,76,8.444444444444445
AD Mascarenhas,52,365,7.019230769230769
AD Mathews,133,1095,8.233082706766917
AD Russell,175,1584,9.051428571428572
AF Milne,18,185,10.277777777777779
AG Murtaza,44,322,7.318181818181818
AJ Finch,8,67,8.375
AJ Tye,99,871,8.797979797979798
AL Menaria,19,144,7.578947368421052
AM Nayar,39,323,8.282051282051283
AM Rahane,1,5,5.0
AM Salvi,25,205,8.2
AN Ahmed,58,515,8.879310344827585
AP Dole,11,114,10.363636363636363
AR Patel,286,2183,7.6328671328671325
AS Rajpoot,72,665,9.23611111111111
AS Raut,5,45,9.0
AUK Pathan,7,63,9.0
Abdur Razzak,2,29,14.5
Anand Rajan,25,206,8.24
Ankit Sharma,64,475,7.421875
Ankit Soni,19,145,7.631578947368421
Anureet Singh,69,636,9.217391304347826
Avesh Khan,26,264,10.153846153846153
Azhar Mahmood,91,707,7.769230769230769
B Akhil,32,246,7.6875
B Chipli,1,20,20.0
B Geeves,8,91,11.375
B Kumar,439,3264,7.43507972665148
B Laughlin,28,293,10.464285714285714
B Lee,147,1126,7.659863945578231
B Stanlake,24,204,8.5
BA Bhatt,50,408,8.16
BA Stokes,98,867,8.846938775510203
BAW Mendis,41,306,7.463414634146342
BB Sran,81,786,9.703703703703704
BCJ Cutting,48,434,9.041666666666666
BE Hendricks,25,239,9.56
BJ Hodge,39,310,7.948717948717949
BJ Rohrer,1,12,12.0
BMAJ Mendis,5,36,7.2
BW Hilfenhaus,62,497,8.016129032258064
Basil Thampi,68,666,9.794117647058824
Bipul Sharma,72,581,8.069444444444445
C Ganapathy,1,13,13.0
C Munro,2,15,7.5
C Nanda,8,58,7.25
