bowler,player_dismissed
A Ashish Reddy,19
A Chandila,11
A Choudhary,5
A Dananjaya,0
A Flintoff,2
A Joseph,6
A Kumble,49
A Mishra,165
A Mithun,8
A Nehra,121
A Nel,1
A Roy,1
A Singh,34
A Symonds,23
A Uniyal,3
A Zampa,19
AA Chavan,8
AA Jhunjhunwala,1
AA Kazi,1
AA Noffke,1
AB Agarkar,33
AB Dinda,82
AB McDonald,14
AC Gilchrist,1
AC Thomas,16
AC Voges,1
AD Mascarenhas,19
AD Mathews,28
AD Russell,60
AF Milne,5
AG Murtaza,12
AJ Finch,1
AJ Tye,43
AL Menaria,3
AM Nayar,9
AM Rahane,1
AM Salvi,7
AN Ahmed,15
AP Dole,5
AR Patel,76
AS Rajpoot,22
AS Raut,0
AUK Pathan,0
Abdur Razzak,0
Anand Rajan,10
Ankit Sharma,13
Ankit Soni,4
Anureet Singh,21
Avesh Khan,5
Azhar Mahmood,31
B Akhil,7
B Chipli,0
B Geeves,2
B Kumar,141
B Laughlin,10
B Lee,30
B Stanlake,7
BA Bhatt,13
BA Stokes,29
BAW Mendis,9
BB Sran,20
BCJ Cutting,12
BE Hendricks,11
BJ Hodge,18
BJ Rohrer,0
BMAJ Mendis,1
BW Hilfenhaus,23
Basil Thampi,20
Bipul Sharma,22
C Ganapathy,0
C Munro,0
C Nanda,2
C de Grandhomme,7
CH Gayle,19
CH Morris,78
CJ Anderson,14
CJ Jordan,14
CJ McKay,1
CK Kapugedera,0
CK Langeveldt,13
CL White,1
CR Brathwaite,16
CR Woakes,26
CRD Fernando,19
D Kalyankrishna,2
D Salunkhe,1
D Short,1
D Wiese,17
D Willey,2
D du Preez,4
DAJ Bracewell,3
DB Ravi Teja,1
DE Bollinger,43
DJ Bravo,168
DJ Harris,0
DJ Hooda,6
DJ Hussey,10
DJ Muthuswami,4
DJ Thornely,3
DJG Sammy,14
DL Chahar,33
DL Vettori,34
DNT Zoysa,2
DP Nannes,38
DP Vijaykumar,4
DR Smith,27
DS Kulkarni,91
DT Christian,36
DW Steyn,104
F du Plessis,0
FH Edwards,6
FY Fazal,1
GB Hogg,25
GD McGrath,14
GH Vihari,1
GJ Maxwell,17
GR Napier,1
GS Sandhu,1
Gagandeep Singh,3
Gurkeerat Singh,5
H Brar,0
H Gurney,7
H Vihari,0
H Viljoen,8
HH Pandya,45
HV Patel,47
Harbhajan Singh,161
Harmeet Singh,30
Harmeet Singh (2),1
I Malhotra,0
I Sharma,73
I Sodhi,9
IC Pandey,19
IK Pathan,99
Imran Tahir,82
Iqbal Abdulla,45
J Archer,27
J Behrendorff,5
J Botha,27
J Dala,0
J Searles,2
J Suchith,12
J Syed Mohammad,10
J Theron,13
J Yadav,5
JA Morkel,96
JD Ryder,11
JD Unadkat,83
JDP Oram,13
JDS Neesham,1
JE Taylor,6
JEC Franklin,9
JH Kallis,74
JJ Bumrah,91
JJ van der Wath,3
JM Kemp,3
JO Holder,8
JP Duminy,23
JP Faulkner,76
JR Hopes,14
JW Hastings,3
Jaskaran Singh,6
Joginder Sharma,13
K Ahmed,20
K Goel,0
K Gowtham,12
K Khejroliya,3
K Paul,9
K Rabada,36
K Santokie,3
K Upadhyay,0
KA Pollard,67
KAJ Roach,0
KC Cariappa,8
KH Pandya,42
KJ Abbott,2
KK Cooper,36
KM Asif,3
KMDN Kulasekara,6
KP Appanna,11
KP Pietersen,9
KS Williamson,0
KV Sharma,59
KW Richardson,20
Kamran Khan,14
Karanveer Singh,14
Kuldeep Yadav,42
L Ablish,5
L Balaji,85
L Ferguson,2
L Livingstone,0
L Ngidi,13
L Plunkett,4
LA Carseldine,1
LH Ferguson,5
LJ Wright,2
LMP Simmons,1
LPC Silva,0
LR Shukla,17
LRPL Taylor,0
M Ali,13
M Ashwin,15
M Kartik,39
M Lomror,0
M Manhas,0
M Markande,16
M Morkel,88
M Muralitharan,67
M Ntini,8
M Santner,4
M Ur Rahman,18
