MOM1617,MOM819,MOM1819,MOMF,finalvaluebo,finalvalueba,bowlerf,batsmanf,player,bowlF,batF
0.2,0.5238095238095237,0.4,0.4347826086956522,0.698581683651407,0.15711576973596378,0.6985816836514069,0.15711576973596378,A Mishra,0.6722017761558315,0.18488245363193262
0.2,0.2857142857142857,0.0,0.18115942028985507,0.3782254460852846,0.06944377344775701,0.3782254460852846,0.06944377344775701,A Nehra,0.35851884350574165,0.08061533813196682
0.2,0.047619047619047616,0.0,0.07246376811594203,0.2590032484921128,0.05370588164260163,0.2590032484921128,0.05370588164260163,A Zampa,0.24034930045449573,0.05558167028993567
0.4,0.09523809523809523,0.0,0.14492753623188406,0.34216138378960304,0.07436539322985805,0.34216138378960304,0.07436539322985805,AB Dinda,0.32243799903383114,0.08142160753006067
0.8,0.9523809523809523,1.0,1.0,0.0,0.870181878475931,0.0,0.8701818784759309,AB de Villiers,0.1,0.8831636906283379
0.6000000000000001,0.5238095238095237,1.0,0.7536231884057971,0.7262693139418022,0.6818333566881374,0.7262693139418022,0.6818333566881373,AD Russell,0.7290047013882017,0.6890123398599034
0.6000000000000001,0.23809523809523808,0.0,0.2608695652173913,0.04247012567068023,0.473423322959226,0.04247012567068023,0.473423322959226,AJ Finch,0.06431006962535135,0.45216794718504255
0.4,0.09523809523809523,0.0,0.14492753623188406,0.7093656550695205,0.2394769206028156,0.7093656550695205,0.2394769206028156,AJ Tye,0.6529218431857569,0.23002198216572248
0.4,0.5714285714285714,0.0,0.36231884057971014,0.024220270513283983,0.7237596619457985,0.024220270513283983,0.7237596619457985,AM Rahane,0.0580301275199266,0.6876155798091897
0.4,0.19047619047619047,0.0,0.18840579710144928,0.6189170379087902,0.3117078581939666,0.6189170379087902,0.31170785819396657,AR Patel,0.5758659138280561,0.2993776520847149
0.2,0.42857142857142855,0.4,0.391304347826087,0.0,0.6454202038435906,0.0,0.6454202038435906,AT Rayudu,0.0391304347826087,0.6200086182418402
0.6000000000000001,0.23809523809523808,0.0,0.2608695652173913,0.9960178106334534,0.17412939981958755,0.9960178106334534,0.17412939981958755,B Kumar,0.9225029860918472,0.18280341635936792
0.6000000000000001,0.14285714285714285,0.0,0.2173913043478261,0.5965710114779773,0.4071348877215498,0.5965710114779773,0.4071348877215498,BA Stokes,0.5586530407649621,0.38816052938417744
0.2,0.047619047619047616,0.0,0.07246376811594203,0.4217890561296973,0.3362657337070189,0.4217890561296973,0.3362657337070189,BCJ Cutting,0.38685652732832176,0.30988553714791117
0.2,0.19047619047619047,0.4,0.2826086956521739,0.0,0.7038920685893465,0.0,0.7038920685893465,CA Lynn,0.02826086956521739,0.6617637312956292
0.2,1.0,0.6000000000000001,0.7246376811594203,0.17488437502053808,0.7540562141350101,0.17488437502053808,0.7540562141350102,CH Gayle,0.22985970563442631,0.7511143608374511
0.4,0.09523809523809523,0.0,0.14492753623188406,0.7540205779112561,0.34365322878185983,0.7540205779112561,0.34365322878185983,CH Morris,0.6931112737433188,0.32378065952686225
0.2,0.14285714285714285,0.0,0.11594202898550726,0.5899505714842731,0.2189814723126388,0.5899505714842729,0.2189814723126388,CJ Anderson,0.5425497172343965,0.20867752797992564
0.2,0.047619047619047616,0.0,0.07246376811594203,0.4701035371988874,0.314568847555493,0.4701035371988874,0.3145688475554929,CR Brathwaite,0.4303395602905929,0.2903583396115379
0.8,0.8095238095238095,0.4,0.7173913043478262,0.0,1.0,0.0,1.0,DA Warner,0.07173913043478262,0.9717391304347827
0.6000000000000001,0.5238095238095237,0.0,0.391304347826087,0.2770445022962378,0.32970358379872755,0.2770445022962378,0.32970358379872755,DR Smith,0.2884704868492227,0.3358636602014635
0.4,0.6190476190476191,0.0,0.38405797101449274,0.0,0.532857418363768,0.0,0.532857418363768,G Gambhir,0.03840579710144928,0.5179774736288405
0.2,0.23809523809523808,0.0,0.15942028985507248,0.35792579558704846,0.4388668922028538,0.3579257955870484,0.4388668922028538,GJ Maxwell,0.33807524501385083,0.41092223196807565
0.4,0.09523809523809523,0.0,0.14492753623188406,0.0,0.3153672158639053,0.0,0.3153672158639053,HM Amla,0.014492753623188408,0.2983232479007032
0.2,0.09523809523809523,0.2,0.16666666666666666,0.5740424313326553,0.19693923844781103,0.5740424313326553,0.19693923844781105,HV Patel,0.5333048548660565,0.19391198126969658
0.2,0.23809523809523808,0.8,0.44927536231884063,0.0,0.697779958408612,0.0,0.6977799584086118,JC Buttler,0.044927536231884065,0.6729294987996348
0.4,0.23809523809523808,0.2,0.2826086956521739,0.8054686054363244,0.13963925789912696,0.8054686054363244,0.13963925789912693,JD Unadkat,0.7531826144579092,0.15393620167443167
0.2,0.23809523809523808,0.8,0.44927536231884063,0.9999999999999999,0.15328607660301977,1.0,0.15328607660301974,JJ Bumrah,0.944927536231884,0.18288500517460185
0.2,0.47619047619047616,0.2,0.34057971014492755,0.3304978745570874,0.5283540677271754,0.3304978745570874,0.5283540677271754,KA Pollard,0.3315060581158714,0.5095766319689506
0.8,0.19047619047619047,0.0,0.2898550724637681,0.6070321268323279,0.4867591646440291,0.6070321268323279,0.4867591646440291,KH Pandya,0.575314421395472,0.467068755426003
0.4,0.14285714285714285,0.0,0.16666666666666666,0.0,0.5116493696945463,0.0,0.5116493696945463,KK Nair,0.016666666666666666,0.47715109939175837
0.2,0.09523809523809523,0.0,0.09420289855072464,0.0,0.3455811158139416,0.0,0.3455811158139416,KM Jadhav,0.009420289855072464,0.3204432940876199
