batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values819
DA Warner,37.62698413,462,179,48,4,3398,4741,139.523249,67,0.757723695
V Kohli,32.15384615,486,190,42,5,4211,5434,129.0429827,77,0.757713231
SK Raina,28.65079365,492,194,38,1,4044,5415,133.9020772,76,0.737994449
CH Gayle,36.77419355,383,322,35,7,3131,4560,145.6403705,56,0.737537146
RG Sharma,27,431,193,32,1,3816,4914,128.7735849,68,0.67991214
AB de Villiers,31.18309859,361,211,34,3,2977,4428,148.7403426,56,0.67759462
S Dhawan,29.3164557,529,95,32,0,3776,4632,122.6694915,63,0.660182446
RV Uthappa,26.15294118,443,156,23,0,3492,4446,127.3195876,65,0.640476947
MS Dhoni,26.33529412,303,207,23,0,3318,4477,134.9306811,61,0.631485489
G Gambhir,27.96688742,499,58,34,0,3524,4223,119.8354143,58,0.618939004
AM Rahane,29.16666667,410,74,29,2,3215,3850,119.7511664,55,0.595818952
SR Watson,27.8,345,178,22,4,2639,3614,136.9458128,47,0.587648797
KD Karthik,22.7654321,358,101,17,1,2890,3688,127.6124567,52,0.544363873
SE Marsh,36.07246377,274,77,21,1,1913,2489,130.1097752,37,0.542842062
AT Rayudu,24.10144928,281,120,19,1,2681,3326,124.0581872,47,0.524195477
BB McCullum,26.5412844,294,128,15,2,2272,2893,127.3327465,44,0.523118804
V Sehwag,26.23076923,340,105,17,2,1833,2728,148.8270595,35,0.520041403
YK Pathan,21.18300654,265,161,15,1,2334,3241,138.8603256,39,0.504608255
RR Pant,33.18518519,151,95,12,1,1104,1792,162.3188406,26,0.49462245
DR Smith,27.10227273,249,117,15,0,1803,2385,132.2795341,35,0.489504714
KL Rahul,34.70689655,177,81,17,2,1465,2013,137.4061433,26,0.489254167
SR Tendulkar,29.92307692,300,29,14,1,2044,2334,114.1878669,37,0.477055191
MEK Hussey,34.0862069,200,52,16,1,1648,1977,119.9635922,28,0.468842699
MK Pandey,24.13445378,257,76,15,1,2425,2872,118.4329897,37,0.467981247
M Vijay,25.39215686,247,91,13,2,2164,2590,119.6857671,36,0.467178095
Yuvraj Singh,21.94444444,218,149,12,0,2207,2765,125.2831899,36,0.466139109
KA Pollard,21.09090909,184,174,13,0,1964,2784,141.7515275,30,0.465261477
AD Russell,27.78846154,99,119,10,0,803,1445,179.9501868,23,0.464730837
PA Patel,21.13235294,369,49,13,0,2444,2874,117.594108,39,0.463414757
J Bairstow,46.8,50,18,4,1,293,468,159.7269625,7,0.451538273
AC Gilchrist,25.8625,240,92,12,2,1555,2069,133.0546624,26,0.445400806
SV Samson,25.39772727,172,89,13,2,1728,2235,129.3402778,30,0.44313308
JH Kallis,25.54736842,257,44,17,0,2291,2427,105.9362724,34,0.441823322
SPD Smith,28.43055556,183,47,9,1,1616,2047,126.6707921,30,0.440283106
F du Plessis,29.28125,165,59,11,0,1499,1874,125.0166778,28,0.437084877
R Dravid,26.51219512,272,28,11,0,1918,2174,113.3472367,32,0.435435054
JC Buttler,31.8,141,62,9,0,954,1431,150,16,0.431942442
JP Duminy,27.21333333,128,79,14,0,1680,2041,121.4880952,28,0.428980469
CA Lynn,31.90243902,127,63,9,0,939,1308,139.2971246,19,0.424713028
LMP Simmons,37.20689655,110,44,12,1,878,1079,122.8929385,17,0.423754628
SS Iyer,28.09836066,151,67,11,0,1370,1714,125.1094891,26,0.422504736
Q de Kock,29.78,160,55,10,1,1136,1489,131.0739437,22,0.420288717
KS Williamson,32.17073171,114,44,10,0,981,1319,134.4546381,20,0.418816446
ML Hayden,34.59375,124,44,8,0,839,1107,131.942789,17,0.416993574
DA Miller,24.35064935,131,86,11,1,1376,1875,136.2645349,23,0.411208227
AJ Finch,23.89041096,179,67,11,0,1372,1744,127.1137026,23,0.399548934
DPMD Jayawardene,23.17948718,201,40,11,1,1522,1808,118.7910644,23,0.386149257
KC Sangakkara,24.80882353,197,26,9,0,1424,1687,118.4691011,23,0.385927424
GJ Maxwell,20.94029851,113,91,6,0,902,1403,155.5432373,18,0.383047377
HM Amla,36.0625,60,21,5,2,418,577,138.0382775,6,0.375911392
AS Yadav,28.88571429,111,28,6,0,760,1011,133.0263158,15,0.373115039
KK Nair,23.33333333,159,39,8,0,1160,1470,126.7241379,21,0.372976473
N Rana,26.92682927,83,60,7,0,835,1104,132.2155689,14,0.36609557
KP Pietersen,27.80555556,92,40,4,1,758,1001,132.0580475,15,0.3642011
S Badrinath,22.16923077,156,28,11,0,1245,1441,115.7429719,23,0.360459816
MK Tiwary,20.44578313,157,40,6,0,1489,1697,113.9691068,25,0.357753522
WP Saha,19.13978495,161,59,7,1,1382,1780,128.7988423,18,0.356296482
BJ Hodge,22.22222222,125,43,5,0,1153,1400,121.4223764,21,0.35340411
A Symonds,27.05555556,75,41,5,1,781,974,124.7119078,14,0.348987658
