Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike
D Kalyankrishna,8.0,11.0,2.0,3.0,3.0,37.5
D Salunkhe,8.0,10.0,1.0,11.0,33.0,137.5
D Short,3.0,9.0,1.0,17.5714285714285,123.0,120.588235294117
D Wiese,47.0,8.70212765957446,17.0,15.875,127.0,135.106382978723
D Willey,10.0,9.8,2.0,,,
D du Preez,7.0,8.0,4.0,10.0,10.0,76.9230769230769
DAJ Bracewell,4.0,8.0,3.0,12.0,12.0,133.333333333333
DB Ravi Teja,3.0,9.33333333333333,1.0,15.0,375.0,115.384615384615
DE Bollinger,97.0,7.38144329896907,43.0,5.25,21.0,91.3043478260869
DJ Bravo,437.0,8.54233409610984,168.0,15.1313131313131,1498.0,125.565800502933
DJ Harris,3.0,8.66666666666666,0.0,27.75,111.0,107.766990291262
DJ Hooda,38.0,8.36842105263157,6.0,11.8888888888888,535.0,124.129930394431
DJ Hussey,53.0,9.15094339622641,10.0,21.6721311475409,1322.0,120.072661217075
DJ Muthuswami,14.0,7.71428571428571,4.0,1.0,1.0,33.3333333333333
DJ Thornely,7.0,5.71428571428571,3.0,9.75,39.0,72.2222222222222
DJG Sammy,40.0,8.85,14.0,14.75,295.0,117.529880478087
DL Chahar,116.0,7.95689655172413,33.0,10.4285714285714,73.0,158.695652173913
DL Vettori,131.0,6.82442748091603,34.0,7.5625,121.0,102.542372881355
DNT Zoysa,11.0,9.09090909090909,2.0,5.5,11.0,122.222222222222
DP Nannes,109.0,7.47706422018348,38.0,2.0,4.0,30.7692307692307
DP Vijaykumar,26.0,7.88461538461538,4.0,1.0,1.0,100.0
DR Smith,90.0,9.16666666666666,27.0,27.1022727272727,2385.0,132.279534109816
DS Kulkarni,292.0,8.42808219178082,91.0,5.31578947368421,101.0,90.990990990991
DT Christian,131.0,8.14503816793893,36.0,13.1764705882352,448.0,116.666666666666
DW Steyn,352.0,6.9715909090909,104.0,5.1875,166.0,103.105590062111
F du Plessis,1.0,16.0,0.0,29.28125,1874.0,125.01667778519
FH Edwards,24.0,6.66666666666666,6.0,2.0,4.0,80.0
FY Fazal,2.0,10.0,1.0,16.6363636363636,183.0,102.234636871508
GB Hogg,77.0,7.59740259740259,25.0,5.5,22.0,100.0
GD McGrath,54.0,6.77777777777777,14.0,2.0,4.0,80.0
GH Vihari,6.0,6.5,1.0,13.3333333333333,280.0,86.687306501548
GJ Maxwell,70.0,8.81428571428571,17.0,20.9402985074626,1403.0,155.543237250554
GR Napier,4.0,7.0,1.0,15.0,15.0,93.75
GS Sandhu,8.0,10.75,1.0,,,
Gagandeep Singh,14.0,10.1428571428571,3.0,,,
Gurkeerat Singh,13.0,7.46153846153846,5.0,16.5185185185185,446.0,126.345609065155
H Brar,5.0,9.6,0.0,22.0,22.0,157.142857142857
H Gurney,27.0,9.14814814814814,7.0,1.0,1.0,20.0
H Vihari,1.0,9.0,0.0,2.0,4.0,50.0
H Viljoen,23.0,10.7826086956521,8.0,2.0,6.0,85.7142857142857
HH Pandya,146.0,9.48630136986301,45.0,18.327868852459,1118.0,151.902173913043
HV Patel,140.0,9.01428571428571,47.0,7.2,108.0,145.945945945945
Harbhajan Singh,563.0,7.19360568383659,161.0,9.69767441860465,834.0,131.962025316455
Harmeet Singh,89.0,8.01123595505618,30.0,4.5,18.0,150.0
Harmeet Singh (2),4.0,8.5,1.0,,,
I Malhotra,1.0,23.0,0.0,7.0,7.0,175.0
I Sharma,319.0,8.40752351097178,73.0,3.05555555555555,55.0,88.7096774193548
I Sodhi,31.0,6.67741935483871,9.0,5.0,10.0,55.5555555555555
IC Pandey,77.0,7.9090909090909,19.0,0.0,0.0,0.0
IK Pathan,345.0,7.85797101449275,99.0,14.0243902439024,1150.0,116.751269035533
Imran Tahir,206.0,8.0388349514563,82.0,2.85714285714285,20.0,74.074074074074
Iqbal Abdulla,154.0,7.3051948051948,45.0,6.76923076923076,88.0,102.325581395348
J Archer,83.0,8.14457831325301,27.0,7.72727272727272,85.0,137.096774193548
J Behrendorff,19.0,9.1578947368421,5.0,,,
J Botha,116.0,7.05172413793103,27.0,14.6071428571428,409.0,112.362637362637
J Dala,3.0,11.6666666666666,0.0,,,
