bowler,MOM1819
A Joseph,1
A Mishra,2
AB de Villiers,5
AD Russell,5
AS Rajpoot,2
AS Yadav,2
AT Rayudu,2
B Stanlake,1
CA Lynn,2
CH Gayle,3
DA Warner,2
DJ Bravo,1
DL Chahar,1
F du Plessis,2
H Gurney,1
HH Pandya,4
HV Patel,1
Harbhajan Singh,2
Imran Tahir,1
Ishan Kishan,1
J Archer,1
J Bairstow,2
JC Buttler,4
JD Unadkat,1
JJ Bumrah,4
JJ Roy,1
K Ahmed,1
K Paul,1
K Rabada,1
KA Pollard,1
KL Rahul,4
KS Williamson,2
Kuldeep Yadav,1
L Ngidi,1
M Ur Rahman,1
MA Agarwal,1
MS Dhoni,4
N Rana,2
P Shaw,1
PA Patel,1
R Ashwin,1
RA Jadeja,1
RG Sharma,3
RR Pant,4
Rashid Khan,5
S Curran,1
S Dhawan,4
S Gill,1
S Gopal,2
S Hetmyer,1
SL Malinga,1
SP Narine,3
SPD Smith,1
SR Watson,5
SS Iyer,2
SV Samson,2
SW Billings,1
TG Southee,1
UT Yadav,2
V Kohli,1
VR Aaron,1
