Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
PA Patel,,,,21.13235294,2874,117.594108,
MJ Guptill,,,,20.84615385,271,137.5634518,
MS Bisla,,,,20.46153846,798,108.2767978,
Niraj Patel,,,,20.16666667,121,97.58064516,
SS Tiwary,,,,19.9375,1276,114.8514851,
SP Fleming,,,,19.6,196,114.619883,
YV Takawale,,,,19.2,192,104.9180328,
WP Saha,,,,19.13978495,1780,128.7988423,
DR Martyn,,,,19,19,73.07692308,
EJG Morgan,,,,18.97777778,854,117.7931034,
LA Pomersbach,,,,18.875,302,120.3187251,
S Hetmyer,,,,18.6,93,122.3684211,
GJ Bailey,,,,18.41666667,663,120.1086957,
S Sohal,,,,18.4,368,118.3279743,
M Klinger,,,,18.25,73,93.58974359,
RR Sarwan,,,,18.25,73,93.58974359,
BJ Haddin,,,,18,18,163.6363636,
MC Juneja,,,,17.85714286,125,93.28358209,
SW Billings,,,,17.78947368,338,132.03125,
CA Pujara,,,,17.72727273,390,96.77419355,
MA Agarwal,,,,17.72222222,1276,124.2453749,
AC Blizzard,,,,17.14285714,120,131.8681319,
MV Boucher,,,,17.13043478,394,123.8993711,
S Singh,,,,17,17,94.44444444,
NV Ojha,,,,16.54255319,1555,114.3382353,
PA Reddy,,,,16.4,164,98.20359281,
W Jaffer,,,,16.25,130,100.7751938,
SP Goswami,,,,15.84210526,301,99.66887417,
Anirudh Singh,,,,15.75,63,91.30434783,
BB Samantray,,,,15.625,125,107.7586207,
KM Jadhav,,,,15.58571429,1091,124.1183163,
C Ingram,,,,15.58333333,187,119.1082803,
C Madan,,,,15,15,71.42857143,
SD Lad,,,,15,15,115.3846154,
UBT Chand,,,,15,300,95.54140127,
TR Birt,,,,15,75,127.1186441,
RJ Quiney,,,,14.71428571,103,98.0952381,
Misbah-ul-Haq,,,,14.625,117,142.6829268,
VH Zol,,,,14.5,29,111.5384615,
VVS Laxman,,,,14.1,282,104.0590406,
AB Barath,,,,14,42,97.6744186,
MD Mishra,,,,13.94117647,237,111.2676056,
RE Levi,,,,13.83333333,83,112.1621622,
DB Das,,,,13.81818182,304,113.8576779,
BR Dunk,,,,13.33333333,40,111.1111111,
DJ Jacobs,,,,13.14285714,92,91.08910891,
CM Gautam,,,,13,169,106.9620253,
SP Jackson,,,,12.66666667,38,122.5806452,
AP Tare,,,,12.55555556,339,118.9473684,
CJ Ferguson,,,,12.25,98,82.35294118,
ER Dwivedi,,,,12,24,160,
AR Bawne,,,,12,12,100,
M Kaif,,,,11.77272727,259,100.3875969,
Yashpal Singh,,,,11.75,47,70.14925373,
NS Naik,,,,11.5,23,69.6969697,
S Anirudha,,,,11.33333333,136,112.3966942,
H Klaasen,,,,11.33333333,68,117.2413793,
IR Jaggi,,,,10.85714286,76,76,
RR Rossouw,,,,10.6,53,103.9215686,
P Dogra,,,,10.58333333,127,90.07092199,
R Singh,,,,10.42857143,73,107.3529412,
T Taibu,,,,10.33333333,31,119.2307692,
PR Shah,,,,10.22222222,92,94.84536082,
RT Ponting,,,,10.11111111,91,70.54263566,
X Thalaivan Sargunam,,,,10,10,58.82352941,
DH Yagnik,,,,10,170,119.7183099,
AA Bilakhia,,,,9.857142857,69,78.40909091,
AG Paunikar,,,,9.8,49,80.32786885,
A Mukund,,,,9.5,19,82.60869565,
AD Nath,,,,9.1,91,91.91919192,
DS Lehmann,,,,9,18,94.73684211,
A Chopra,,,,8.833333333,53,70.66666667,
B Sumanth,,,,8.75,35,92.10526316,
Sunny Singh,,,,8.6,43,138.7096774,
S Chanderpaul,,,,8.333333333,25,75.75757576,
D Shorey,,,,8,16,80,
P Chopra,,,,8,8,133.3333333,
N Naik,,,,8,8,47.05882353,
J Arunkumar,,,,7.666666667,23,95.83333333,
MS Wade,,,,7.333333333,22,66.66666667,
CA Ingram,,,,7,21,80.76923077,
UA Birla,,,,7,7,46.66666667,
MDKJ Perera,,,,7,14,107.6923077,
L Ronchi,,,,6.8,34,91.89189189,
NJ Maddinson,,,,6.666666667,20,95.23809524,
Harpreet Singh,,,,6.666666667,20,76.92307692,
DT Patil,,,,6.5,13,100,
KB Arun Karthik,,,,6.375,51,96.22641509,
Vishnu Vinod,,,,6.333333333,19,73.07692308,
R Bishnoi,,,,6.333333333,19,111.7647059,
PSP Handscomb,,,,6,6,50,
DM Bravo,,,,6,6,120,
SS Shaikh,,,,6,6,85.71428571,
TD Paine,,,,5,10,34.48275862,
M Rawat,,,,5,55,78.57142857,
F Behardien,,,,4.666666667,14,107.6923077,
R Bhui,,,,4,8,44.44444444,
RS Sodhi,,,,4,4,200,
T Kohli,,,,3.666666667,11,55,
AN Ghosh,,,,3.5,7,87.5,
Younis Khan,,,,3,3,42.85714286,
TM Srivastava,,,,2.666666667,8,72.72727273,
Mohammad Ashraful,,,,2,2,16.66666667,
H Das,,,,2,2,40,
A Turner,,,,1,4,36.36363636,
U Kaul,,,,0,0,0,
J Denly,,,,0,0,0,
