Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
VR Aaron,155,8.980645161,44,4.9,49,77.77777778,1.113636364
Mohammed Siraj,93,9.677419355,30,5.666666667,34,89.47368421,1.133333333
VS Malik,35,7.657142857,6,3.5,7,100,1.166666667
S Badree,43,7.651162791,11,2.6,13,52,1.181818182
T Thushara,23,7.130434783,10,3,12,63.15789474,1.2
J Yadav,37,6.702702703,5,3,6,50,1.2
MJ McClenaghan,213,8.774647887,75,4.55,91,124.6575342,1.213333333
S Aravind,128,8.2578125,48,5.9,59,100,1.229166667
Shivam Sharma,19,8.684210526,4,2.5,5,166.6666667,1.25
AC Thomas,53,7.849056604,16,5,20,105.2631579,1.25
MM Sharma,293,8.385665529,99,4.96,124,103.3333333,1.252525253
A Uniyal,6,11.16666667,3,2,4,57.14285714,1.333333333
NM Coulter-Nile,95,7.778947368,39,4.727272727,52,98.11320755,1.333333333
Jaskaran Singh,18,9.666666667,6,2,8,72.72727273,1.333333333
B Kumar,439,7.435079727,141,4.634146341,190,96.44670051,1.34751773
M Ntini,35,7.342857143,8,5.5,11,57.89473684,1.375
AF Milne,18,10.27777778,5,2.333333333,7,58.33333333,1.4
M Morkel,272,7.852941176,88,6.3,126,135.483871,1.431818182
AA Chavan,42,8.071428571,8,4,12,109.0909091,1.5
Sohail Tanvir,42,6.547619048,24,7.2,36,116.1290323,1.5
D Kalyankrishna,8,11,2,3,3,37.5,1.5
R Sharma,155,7.096774194,42,3.473684211,66,85.71428571,1.571428571
DW Steyn,352,6.971590909,104,5.1875,166,103.1055901,1.596153846
Basil Thampi,68,9.794117647,20,4.571428571,32,86.48648649,1.6
TS Mills,18,8.722222222,5,2.666666667,8,72.72727273,1.6
Ankit Soni,19,7.631578947,4,2.333333333,7,77.77777778,1.75
Anureet Singh,69,9.217391304,21,4.625,37,78.72340426,1.761904762
KW Richardson,53,8.490566038,20,9,36,92.30769231,1.8
Rashid Khan,183,6.868852459,60,6.411764706,109,162.6865672,1.816666667
S Mavi,28,10.28571429,7,4.333333333,13,86.66666667,1.857142857
M Markande,50,8.96,16,4.428571429,31,103.3333333,1.9375
K Rabada,70,8.557142857,36,10,70,84.3373494,1.944444444
Iqbal Abdulla,154,7.305194805,45,6.769230769,88,102.3255814,1.955555556
Mashrafe Mortaza,4,14.75,1,2,2,100,2
RG More,6,10.5,1,2,2,100,2
WD Parnell,97,7.536082474,31,5.25,63,78.75,2.032258065
AJ Tye,99,8.797979798,43,7.833333333,94,130.5555556,2.186046512
