bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
SL Malinga,478,3511,7.34518828451882,193,478,152,0.317991631799163,20,0.0418410041841004,185,188,0.5680818342155527
DJ Bravo,437,3733,8.54233409610984,193,437,124,0.283752860411899,6,0.0137299771167048,36,168,0.5178663053205835
B Kumar,439,3264,7.43507972665148,157,439,110,0.250569476082004,8,0.0182232346241457,231,141,0.47270316783583394
UT Yadav,416,3640,8.75,117,416,110,0.264423076923076,19,0.0456730769230769,176,136,0.47194281868115134
A Mishra,519,3850,7.41811175337186,83,519,57,0.109826589595375,20,0.0385356454720616,22,165,0.47116036789838034
Harbhajan Singh,563,4050,7.19360568383659,45,563,96,0.170515097690941,3,0.00532859680284191,124,161,0.4653460009819095
PP Chawla,525,4153,7.91047619047618,70,525,63,0.12,1,0.0019047619047619,58,156,0.45799371657557536
R Vinay Kumar,358,3043,8.5,113,358,50,0.139664804469273,11,0.0307262569832402,126,127,0.432876796550206
SP Narine,429,2939,6.85081585081585,134,429,57,0.132867132867132,2,0.00466200466200466,116,137,0.4262650844078306
R Ashwin,489,3391,6.93456032719836,74,489,111,0.226993865030674,2,0.00408997955010225,136,138,0.42580525653694984
Abdur Razzak,2,29,14.5,0,2,5,2.5,1,0.5,0,0,0.4206877611016556
Z Khan,371,2860,7.70889487870619,103,371,89,0.239892183288409,2,0.00539083557951482,217,119,0.4171698585701944
A Nehra,320,2537,7.928125,88,320,64,0.2,9,0.028125,183,121,0.4170659243154727
P Kumar,424,3342,7.88207547169811,102,424,144,0.339622641509433,1,0.00235849056603773,262,102,0.4000881246940687
SR Watson,341,2751,8.0674486803519,99,341,98,0.287390029325513,13,0.0381231671554252,139,107,0.39492703854928063
RP Singh,299,2417,8.08361204013378,91,299,89,0.297658862876254,13,0.0434782608695652,167,100,0.3847449760616294
DW Steyn,352,2454,6.9715909090909,103,352,105,0.298295454545454,7,0.0198863636363636,183,104,0.3773927238227811
JA Morkel,288,2409,8.36458333333333,55,288,85,0.295138888888888,18,0.0625,150,96,0.37482934771305515
RA Jadeja,420,3221,7.66904761904761,81,420,57,0.135714285714285,2,0.00476190476190476,22,116,0.37409867316145073
MM Sharma,293,2457,8.38566552901024,90,293,35,0.119453924914675,6,0.0204778156996587,131,99,0.36983449329281204
IK Pathan,345,2711,7.85797101449275,86,345,79,0.228985507246376,1,0.00289855072463768,153,99,0.3670500665642473
DS Kulkarni,292,2461,8.42808219178082,56,292,99,0.339041095890411,7,0.023972602739726,166,91,0.3633300836112001
JJ Bumrah,292,2299,7.87328767123287,122,292,41,0.140410958904109,23,0.0787671232876712,95,91,0.36074031874884627
YS Chahal,301,2416,8.0265780730897,40,301,60,0.199335548172757,6,0.0199335548172757,54,102,0.3512079161179509
I Malhotra,1,23,23.0,0,1,0,0.0,0,0.0,0,0,0.35
M Morkel,272,2136,7.85294117647058,65,272,71,0.261029411764705,13,0.0477941176470588,151,88,0.3495001318254773
Mashrafe Mortaza,4,59,14.75,2,4,2,0.5,2,0.5,2,1,0.34714483671609747
AB Dinda,255,2103,8.24705882352941,71,255,72,0.28235294117647,14,0.0549019607843137,135,82,0.34479766433673786
Sandeep Sharma,249,1967,7.89959839357429,49,249,50,0.200803212851405,7,0.0281124497991967,157,90,0.34436961870463806
I Sharma,319,2682,8.40752351097178,64,319,96,0.300940438871473,21,0.0658307210031347,201,73,0.3443165898256709
PP Ojha,318,2399,7.5440251572327,49,318,69,0.216981132075471,2,0.00628930817610062,40,99,0.3365894498175419
L Balaji,256,2083,8.13671875,87,256,72,0.28125,4,0.015625,75,85,0.334995516861614
JD Unadkat,254,2244,8.83464566929133,82,254,34,0.133858267716535,1,0.00393700787401574,87,83,0.33438408918387985
MJ McClenaghan,213,1869,8.77464788732394,62,213,68,0.319248826291079,9,0.0422535211267605,109,75,0.331411013603194
CH Morris,214,1793,8.37850467289719,82,214,50,0.233644859813084,5,0.0233644859813084,84,78,0.3241297590071582
JP Faulkner,209,1849,8.84688995215311,80,209,50,0.239234449760765,5,0.0239234449760765,62,76,0.32391810988329794
LPC Silva,1,21,21.0,1,1,0,0.0,0,0.0,0,0,0.3197724712773147
MM Patel,227,1733,7.63436123348017,52,227,17,0.0748898678414096,11,0.0484581497797356,109,82,0.31698298945921904
JH Kallis,291,2348,8.06872852233677,60,291,62,0.213058419243986,9,0.0309278350515463,86,74,0.31114414933032514
MG Johnson,208,1749,8.40865384615384,52,208,66,0.317307692307692,9,0.0432692307692307,104,66,0.30619788290208133
B Chipli,1,20,20.0,0,1,0,0.0,0,0.0,0,0,0.3043478260869565
Imran Tahir,206,1656,8.0388349514563,54,206,36,0.174757281553398,1,0.00485436893203883,8,82,0.30265929415984877
KA Pollard,202,1785,8.83663366336633,50,202,75,0.371287128712871,7,0.0346534653465346,6,67,0.2994184827855326
SK Trivedi,252,1944,7.71428571428571,52,252,55,0.218253968253968,9,0.0357142857142857,21,73,0.2920842688243956
R Bhatia,274,2059,7.51459854014598,39,274,32,0.116788321167883,2,0.0072992700729927,2,82,0.291247095366839
AR Patel,286,2183,7.63286713286713,45,286,37,0.129370629370629,0,0.0,43,76,0.2888501719329853
MG Neser,4,62,15.5,2,4,0,0.0,1,0.25,1,0,0.28654350631097353
