batsman,values819,values1617,values1819
Anureet Singh,0.104845499,0.21225991,0.091885556
JJ Bumrah,0.116014646,0.14612039,0.089163613
CR Woakes,0.12869183,0.14552093,0.087890444
Mohammed Shami,0.120449094,0.177260278,0.087385795
B Kumar,0.128738341,0.189306548,0.085881215
UT Yadav,0.121644083,0.126172497,0.085474555
K Paul,0.109017977,0,0.08541445
S Mavi,0.110262335,0,0.084812123
CJ Anderson,0.265801264,0.22774957,0.084054476
Imran Tahir,0.090253489,0.073198854,0.08343131
S Nadeem,0.051662841,0.027216282,0.081635674
Kuldeep Yadav,0.116022337,0.150891235,0.080925193
A Dananjaya,0.101460134,0,0.076908492
H Viljoen,0.096678743,0,0.073742262
N Naik,0.090158874,0,0.069894588
AS Rajpoot,0.078052605,0.082405154,0.068427775
P Negi,0.200467265,0.23933417,0.068270083
MM Sharma,0.134883979,0.162340819,0.068029428
I Sodhi,0.082762663,0,0.064380344
N Saini,0.17120524,0,0.062741548
BB Sran,0.087229999,0.114234734,0.060471358
M Wood,0.076099851,0,0.057704305
J Suchith,0.165164553,0,0.055546224
Basil Thampi,0.112041113,0.132692735,0.051558411
R Bhui,0.066039947,0,0.050850549
M Ashwin,0.054380369,0,0.047431864
H Vihari,0.060790625,0,0.046224204
NV Ojha,0.305207527,0.220121118,0.045977182
VR Aaron,0.105898651,0.049570305,0.044893033
YS Chahal,0.055324293,0.065919282,0.034450716
A Turner,0.041826633,0,0.031939192
Mustafizur Rahman,0.038703118,0,0.029250059
L Plunkett,0.036032177,0,0.027186785
B Laughlin,0.045287909,0,0.020959721
PJ Sangwan,0.072040324,0.057146213,0.01929593
H Gurney,0.025379285,0,0.01929593
S Kaul,0.05236375,1.92E-05,0.018648931
P Krishna,0.017003561,0,0.012992814
Sandeep Sharma,0.075726154,0.11442768,6.88E-05
SE Marsh,0.542842062,0.421239041,0
V Sehwag,0.520041403,0,0
DR Smith,0.489504714,0.485422062,0
SR Tendulkar,0.477055191,0,0
MEK Hussey,0.468842699,0,0
AC Gilchrist,0.445400806,0,0
JH Kallis,0.441823322,0,0
R Dravid,0.435435054,0,0
LMP Simmons,0.423754628,0.270223742,0
ML Hayden,0.416993574,0,0
DPMD Jayawardene,0.386149257,0,0
KC Sangakkara,0.385927424,0,0
HM Amla,0.375911392,0.503875387,0
KP Pietersen,0.3642011,0.241469326,0
S Badrinath,0.360459816,0,0
BJ Hodge,0.35340411,0,0
A Symonds,0.348987658,0,0
SC Ganguly,0.345992149,0,0
DJ Hussey,0.34071388,0,0
ST Jayasuriya,0.337121053,0,0
TM Dilshan,0.332865951,0,0
CL White,0.323058423,0,0
SS Tiwary,0.318471051,0.335497517,0
MN van Wyk,0.316671887,0,0
HH Gibbs,0.307652475,0,0
MC Henriques,0.302755985,0.357765959,0
PD Collingwood,0.301515747,0,0
GC Smith,0.30072048,0,0
LRPL Taylor,0.292372233,0,0
LJ Wright,0.291247786,0,0
MJ Lumb,0.291000415,0,0
JD Ryder,0.29098892,0,0
Kamran Akmal,0.287728019,0,0
OA Shah,0.287544477,0,0
Y Venugopal Rao,0.285665619,0,0
EJG Morgan,0.284563006,0.258768842,0
JR Hopes,0.282230102,0,0
RS Bopara,0.280792422,0,0
BJ Rohrer,0.277643534,0,0
JA Morkel,0.276709446,0.275569728,0
SA Asnodkar,0.276648694,0,0
AC Voges,0.276347167,0,0
Salman Butt,0.274292776,0,0
PC Valthaty,0.273931748,0,0
MS Bisla,0.273063786,0,0
GJ Bailey,0.267023574,0.208002407,0
DJ Harris,0.265930892,0,0
AD Mathews,0.264239863,0.217214591,0
IK Pathan,0.264101769,0.099604557,0
TM Head,0.263712262,0.32046472,0
SM Katich,0.262155612,0,0
BJ Haddin,0.260685437,0,0
Umar Gul,0.259597855,0,0
Azhar Mahmood,0.254540026,0,0
