batsman,values819,values1617,values1819,finalvalue
LR Shukla,0.203255301,0,0,0.304882952
BB Samantray,0.202098081,0,0,0.303147122
AB McDonald,0.202054254,0,0,0.303081381
VVS Laxman,0.20199617,0,0,0.302994255
MD Mishra,0.201333135,0,0,0.301999702
B Chipli,0.198423172,0,0,0.297634758
W Jaffer,0.197940129,0,0,0.296910194
DAJ Bracewell,0.197836511,0,0,0.296754767
D Salunkhe,0.19768612,0,0,0.29652918
UBT Chand,0.197365126,7.69E-05,0,0.296316839
RR Sarwan,0.196209492,0,0,0.294314238
MC Juneja,0.195736591,0,0,0.293604887
MJ Clarke,0.195627797,0,0,0.293441696
Y Nagar,0.195084736,0,0,0.292627104
PA Reddy,0.194547219,0,0,0.291820829
M Klinger,0.194064241,0,0,0.291096362
KMDN Kulasekara,0.19361936,0,0,0.29042904
RE Levi,0.192619496,0,0,0.288929244
AA Jhunjhunwala,0.191561867,0,0,0.287342801
CM Gautam,0.191366625,0,0,0.287049938
VH Zol,0.190306418,0,0,0.285459627
AS Raut,0.190092322,0,0,0.285138483
Sunny Singh,0.186667261,0,0,0.280000892
DH Yagnik,0.18533743,0,0,0.278006145
RJ Quiney,0.185007913,0,0,0.27751187
BR Dunk,0.184230998,0,0,0.276346497
NL McCullum,0.183303824,0,0,0.274955736
S Anirudha,0.182580147,0,0,0.273870221
AUK Pathan,0.181773096,0,0,0.272659644
Anirudh Singh,0.180342614,0,0,0.270513921
Shivam Sharma,0.180264659,0,0,0.270396989
SD Chitnis,0.179956982,0,0,0.269935473
RE van der Merwe,0.179027733,0,0,0.2685416
S Narwal,0.178663176,0,0,0.267994764
M Kaif,0.178596996,0,0,0.267895494
AB Barath,0.176712646,0,0,0.265068969
K Goel,0.175983071,0,0,0.263974607
T Taibu,0.175544777,0,0,0.263317165
SB Styris,0.175378369,0,0,0.263067554
S Rana,0.17530785,0,0,0.262961775
DR Martyn,0.175182842,0,0,0.262774263
GH Vihari,0.175101587,0,0,0.262652381
Harmeet Singh,0.174847297,0,0,0.262270945
JM Kemp,0.174411624,0,0,0.261617436
AB Agarkar,0.17439181,0,0,0.261587715
GR Napier,0.174367281,0,0,0.261550922
B Akhil,0.173778986,0,0,0.260668479
MS Gony,0.172749403,0,0,0.259124105
DJ Jacobs,0.168151891,0,0,0.252227837
JDS Neesham,0.167735611,0,0,0.251603417
AN Ahmed,0.166970653,0,0,0.25045598
R McLaren,0.166362813,0,0,0.24954422
K Upadhyay,0.165876371,0,0,0.248814557
S Sriram,0.165549678,0,0,0.248324517
KAJ Roach,0.164893723,0,0,0.247340585
Shoaib Malik,0.163571856,0,0,0.245357784
RR Rossouw,0.162882459,0,0,0.244323689
A Mithun,0.162584368,0,0,0.243876552
B Lee,0.162190734,0,0,0.243286101
Joginder Sharma,0.159869417,0,0,0.239804125
SA Abbott,0.156156461,0,0,0.234234691
Sohail Tanvir,0.156053834,0,0,0.234080751
JDP Oram,0.154661354,0,0,0.231992031
P Dogra,0.153677408,0,0,0.230516112
PR Shah,0.153342181,0,0,0.230013272
MA Khote,0.152883851,0,0,0.229325776
WPUJC Vaas,0.152876618,0,0,0.229314927
C Madan,0.152494936,0,0,0.228742404
DNT Zoysa,0.151984775,0,0,0.227977163
CJ Ferguson,0.151430998,0,0,0.227146497
M Kartik,0.150604252,0,0,0.225906378
MA Starc,0.148508016,0,0,0.222762024
A Turner,0.041826633,0,0.031939192,0.22243591
DL Vettori,0.147890045,0,0,0.221835067
RR Powar,0.147070677,0,0,0.220606015
R Bishnoi,0.14662989,0,0,0.219944835
MDKJ Perera,0.145825445,0,0,0.218738168
VRV Singh,0.144241983,0,0,0.216362975
CRD Fernando,0.144100206,0,0,0.216150309
DS Lehmann,0.143655854,0,0,0.215483781
AD Mascarenhas,0.141130573,0,0,0.21169586
B Sumanth,0.140091912,0,0,0.210137868
SK Warne,0.139984157,0,0,0.209976236
J Syed Mohammad,0.139614613,0,0,0.20942192
R Rampaul,0.139068322,0,0,0.208602483
JJ van der Wath,0.138715588,0,0,0.208073382
RJ Harris,0.138456036,0,0,0.207684054
J Arunkumar,0.138029159,0,0,0.207043739
Mustafizur Rahman,0.038703118,0,0.029250059,0.204304972
RJ Peterson,0.135582437,0,0,0.203373656
DT Patil,0.135160241,0,0,0.202740361
AG Paunikar,0.135141054,0,0,0.202711581
Yashpal Singh,0.134803696,0,0,0.202205544
A Mukund,0.133952499,0,0,0.200928749
AA Bilakhia,0.133456738,0,0,0.200185107
RR Raje,0.133302142,0,0,0.199953213
AC Thomas,0.132800819,0,0,0.199201229
KB Arun Karthik,0.132550049,0,0,0.198825074
NJ Maddinson,0.131880803,0,0,0.197821205
AA Chavan,0.131010322,0,0,0.196515483
D du Preez,0.130582914,0,0,0.195874371
