bowler,values819,values1617,values1819
JW Hastings,0.135670712,0.099269696,0
KS Williamson,0.106674411,0.108358974,0
C Munro,0.114166022,0.121323338,0
Tejas Baroka,0.126010165,0.143290526,0
MM Patel,0.316982989,0.150722077,0
CH Gayle,0.197422116,0.151089526,0
Ankit Soni,0.130895816,0.166632494,0
SM Boland,0.134331823,0.169656143,0
IK Pathan,0.367050067,0.171320296,0
Gurkeerat Singh,0.135893743,0.175187962,0
Swapnil Singh,0.143138509,0.176461321,0
R Dhawan,0.189202723,0.178434532,0
P Sahu,0.139911382,0.180036627,0
Parvez Rasool,0.13979068,0.182831595,0
TM Head,0.143448087,0.185394394,0
JO Holder,0.178384362,0.187681827,0
R Bhatia,0.291247095,0.190369405,0
A Ashish Reddy,0.192087119,0.195700782,0
T Shamsi,0.150354806,0.198359681,0
M Vijay,0.131272637,0.201948718,0
S Ladda,0.172832665,0.202759235,0
PV Tambe,0.187397159,0.202987886,0
S Badree,0.151883169,0.204337027,0
LH Ferguson,0.150980313,0.204760723,0
RP Singh,0.384744976,0.205859342,0
Bipul Sharma,0.17784162,0.207827508,0
SS Agarwal,0.161903744,0.209828987,0
T Natarajan,0.159423137,0.209937251,0
SB Jakati,0.23811199,0.215221643,0
A Choudhary,0.16640556,0.21719829,0
R Sathish,0.169093828,0.221274808,0
S Kaushik,0.161457708,0.22228402,0
MN Samuels,0.150850272,0.224697957,0
GB Hogg,0.180825835,0.227144937,0
TS Mills,0.165162441,0.233979647,0
AD Mathews,0.199634976,0.241703607,0
RA Tripathi,0.182608696,0.242307692,0
M Morkel,0.349500132,0.248170095,0
Iqbal Abdulla,0.218308669,0.255671664,0
NLTC Perera,0.228085295,0.274825498,0
KJ Abbott,0.206752756,0.27735327,0
KW Richardson,0.18595287,0.277646613,0
A Zampa,0.162682748,0.278921861,0
DR Smith,0.21442574,0.280969775,0
AF Milne,0.193071129,0.282498165,0
MC Henriques,0.227492458,0.291089148,0
D Wiese,0.18313316,0.2961495,0
PJ Cummins,0.192877288,0.297483462,0
JP Faulkner,0.32391811,0.3096072,0
S Aravind,0.247021935,0.310710895,0
NM Coulter-Nile,0.228102886,0.312522401,0
AB Dinda,0.344797664,0.31252669,0
KA Pollard,0.299418483,0.316314646,0
A Nehra,0.417065924,0.329976776,0
P Kumar,0.400088125,0.330339604,0
MJ Henry,0.228825233,0.332549761,0
Z Khan,0.417169859,0.363975056,0
JA Morkel,0.374829348,0.365588223,0
V Kohli,0.178482516,0.369230769,0
MS Gony,0.245168814,0.450836158,0
Abdur Razzak,0.420687761,0,0
I Malhotra,0.35,0,0
Mashrafe Mortaza,0.347144837,0,0
PP Ojha,0.33658945,0,0
L Balaji,0.334995517,0,0
LPC Silva,0.319772471,0,0
JH Kallis,0.311144149,0,0
B Chipli,0.304347826,0,0
SK Trivedi,0.292084269,0,0
MG Neser,0.286543506,0,0
S Sreesanth,0.281657248,0,0
P Prasanth,0.273913043,0,0
Y Nagar,0.268152981,0,0
RR Bhatkal,0.266492607,0,0
Sunny Gupta,0.26529631,0,0
M Muralitharan,0.263326028,0,0
SW Tait,0.256787098,0,0
CK Kapugedera,0.248829153,0,0
S Sriram,0.248621899,0,0
SK Warne,0.246992286,0,0
RJ Harris,0.246819438,0,0
F du Plessis,0.243685515,0,0
P Awana,0.241645725,0,0
VS Yeligati,0.234154448,0,0
Umar Gul,0.233466178,0,0
B Lee,0.229532237,0,0
DP Nannes,0.229120095,0,0
DE Bollinger,0.228000406,0,0
AB Agarkar,0.227794378,0,0
MA Starc,0.226144205,0,0
R Shukla,0.225227082,0,0
BJ Rohrer,0.222608696,0,0
A Mithun,0.222162731,0,0
KK Cooper,0.222031913,0,0
P Suyal,0.220580336,0,0
A Kumble,0.220136686,0,0
Joginder Sharma,0.219022104,0,0
WD Parnell,0.219006,0,0
CL White,0.217603176,0,0
JJ van der Wath,0.217496476,0,0
Jaskaran Singh,0.216744425,0,0
M Kartik,0.215717398,0,0
VY Mahesh,0.215321264,0,0
D Salunkhe,0.214491979,0,0
MF Maharoof,0.2136277,0,0
CRD Fernando,0.213316626,0,0
Harmeet Singh,0.209370126,0,0
SJ Srivastava,0.209180686,0,0
AP Dole,0.208549759,0,0
AA Noffke,0.208513904,0,0
Azhar Mahmood,0.207411157,0,0
AN Ahmed,0.207073868,0,0
Shoaib Malik,0.205064646,0,0
TP Sudhindra,0.204091414,0,0
M de Lange,0.203347844,0,0
LRPL Taylor,0.202644283,0,0
R McLaren,0.201817495,0,0
SD Chitnis,0.201507643,0,0
S Narwal,0.201250259,0,0
R Sharma,0.201151435,0,0
C Ganapathy,0.197826087,0,0
BW Hilfenhaus,0.195752311,0,0
K Santokie,0.195219074,0,0
VRV Singh,0.194841311,0,0
BE Hendricks,0.194203079,0,0
KAJ Roach,0.1935028,0,0
L Ablish,0.192809387,0,0
SA Abbott,0.190078625,0,0
A Uniyal,0.189951017,0,0
S Vidyut,0.189288594,0,0
YA Abdulla,0.187991403,0,0
Kamran Khan,0.186616792,0,0
Pankaj Singh,0.186549495,0,0
LR Shukla,0.185525252,0,0
DNT Zoysa,0.183956989,0,0
Karanveer Singh,0.183526019,0,0
RR Bose,0.182949626,0,0
B Geeves,0.182888282,0,0
DL Vettori,0.182517377,0,0
J Theron,0.182378099,0,0
Mohammad Asif,0.181962985,0,0
A Symonds,0.181727434,0,0
AA Kazi,0.181679898,0,0
DJG Sammy,0.181601615,0,0
D Kalyankrishna,0.181571073,0,0
P Amarnath,0.181253284,0,0
MB Parmar,0.180948484,0,0
JR Hopes,0.180888291,0,0
JDP Oram,0.179749811,0,0
WPUJC Vaas,0.179724794,0,0
V Sehwag,0.17966594,0,0
JDS Neesham,0.177951245,0,0
LJ Wright,0.176944377,0,0
J Botha,0.17683512,0,0
RS Bopara,0.176018149,0,0
RG More,0.175930014,0,0
Sohail Tanvir,0.175724098,0,0
S Tyagi,0.175529121,0,0
LMP Simmons,0.174811152,0,0
AC Thomas,0.17469225,0,0
Anand Rajan,0.174581898,0,0
IC Pandey,0.174185986,0,0
RR Raje,0.172808942,0,0
AUK Pathan,0.172077521,0,0
R Ninan,0.170825369,0,0
V Pratap Singh,0.169914722,0,0
ST Jayasuriya,0.168946894,0,0
JEC Franklin,0.16892986,0,0
Y Venugopal Rao,0.167938469,0,0
SM Harwood,0.167801118,0,0
DJ Hussey,0.167785376,0,0
RW Price,0.16761515,0,0
RA Shaikh,0.167543976,0,0
RG Sharma,0.167501762,0,0
RR Powar,0.166815085,0,0
GS Sandhu,0.166679456,0,0
BJ Hodge,0.166590264,0,0
RE van der Merwe,0.165763815,0,0
