bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
S Sharma,43,367,8.53488372093023,13,43,9,0.209302325581395,0,0.0,13,13,0.24696520098599167
S Nadeem,24,257,10.7083333333333,1,24,2,0.0833333333333333,0,0.0,9,8,0.24530729346496002
S Lamichhane,35,303,8.65714285714285,5,35,1,0.0285714285714285,0,0.0,12,14,0.2445593256996958
VR Aaron,12,142,11.8333333333333,2,12,2,0.166666666666666,0,0.0,7,4,0.24298565775166941
AR Patel,77,599,7.77922077922077,8,77,3,0.0389610389610389,0,0.0,16,15,0.2404457677628299
M Wood,4,52,13.0,2,4,1,0.25,0,0.0,0,0,0.23921686463046754
K Gowtham,60,512,8.53333333333333,1,60,5,0.0833333333333333,0,0.0,34,12,0.23775612726168616
Sandeep Sharma,44,344,7.81818181818181,2,44,9,0.204545454545454,0,0.0,25,14,0.23315608304257732
Avesh Khan,22,240,10.9090909090909,3,22,3,0.136363636363636,1,0.0454545454545454,14,4,0.23190332365042207
P Raj,5,60,12.0,0,5,3,0.6,0,0.0,2,1,0.231845265678097
Mandeep Singh,2,26,13.0,0,2,0,0.0,0,0.0,0,0,0.22900240384615383
L Livingstone,1,13,13.0,0,1,0,0.0,0,0.0,0,0,0.22884615384615384
A Joseph,9,94,10.4444444444444,2,9,3,0.333333333333333,0,0.0,4,6,0.2259001844481988
O Thomas,10,94,9.4,2,10,1,0.1,2,0.2,6,5,0.22278952063911756
L Ferguson,17,192,11.2941176470588,7,17,5,0.294117647058823,0,0.0,7,2,0.22075283032582757
Washington Sundar,29,278,9.58620689655172,2,29,6,0.206896551724137,0,0.0,7,8,0.21981667934023486
Yuvraj Singh,2,24,12.0,0,2,1,0.5,0,0.0,0,0,0.2187459935897436
Basil Thampi,23,238,10.3478260869565,7,23,1,0.0434782608695652,1,0.0434782608695652,1,5,0.21866268956407908
H Gurney,27,247,9.14814814814814,9,27,6,0.222222222222222,1,0.037037037037037,11,7,0.21471312663928693
Mustafizur Rahman,28,236,8.42857142857142,11,28,0,0.0,2,0.0714285714285714,8,9,0.211756567722084
A Dananjaya,4,48,12.0,0,4,1,0.25,0,0.0,1,0,0.21120708796725363
V Shankar,13,135,10.3846153846153,3,13,6,0.461538461538461,1,0.0769230769230769,0,2,0.2100957912750876
MG Johnson,21,227,10.8095238095238,7,21,7,0.333333333333333,0,0.0,7,2,0.20963826270390734
SR Watson,28,261,9.32142857142857,3,28,8,0.285714285714285,0,0.0,11,7,0.20953773116058277
CR Brathwaite,14,133,9.5,5,14,6,0.428571428571428,0,0.0,1,6,0.20533584523939324
J Dala,3,35,11.6666666666666,0,3,1,0.333333333333333,0,0.0,1,0,0.20485425677067062
JP Duminy,3,36,12.0,0,3,0,0.0,0,0.0,2,0,0.20319943234476368
V Chakravarthy,3,35,11.6666666666666,0,3,0,0.0,0,0.0,1,1,0.20207647899289286
K Khejroliya,16,166,10.375,3,16,6,0.375,0,0.0,3,3,0.20181555123207767
C de Grandhomme,20,202,10.1,2,20,12,0.6,0,0.0,0,3,0.20030660822021112
BCJ Cutting,19,200,10.5263157894736,5,19,3,0.157894736842105,0,0.0,1,3,0.19972611779578192
L Ngidi,26,175,6.73076923076923,10,26,7,0.269230769230769,0,0.0,15,13,0.196345166822878
MP Stoinis,28,274,9.78571428571428,4,28,3,0.107142857142857,0,0.0,1,5,0.1953837201585915
M Ali,39,272,6.97435897435897,4,39,3,0.0769230769230769,0,0.0,5,13,0.18899918635558582
P Negi,16,157,9.8125,2,16,3,0.1875,0,0.0,1,4,0.18700648464900327
KV Sharma,13,125,9.61538461538461,3,13,1,0.0769230769230769,0,0.0,0,5,0.18618060389836388
L Plunkett,25,235,9.4,8,25,4,0.16,0,0.0,7,4,0.1839877473695688
RD Chahar,47,317,6.74468085106383,1,47,5,0.106382978723404,0,0.0,7,13,0.18365845554645657
DW Steyn,8,79,9.875,2,8,0,0.0,0,0.0,6,4,0.18359881551091242
J Behrendorff,19,174,9.1578947368421,1,19,3,0.157894736842105,0,0.0,13,5,0.18219655682745256
M Ashwin,41,325,7.92682926829268,4,41,10,0.24390243902439,1,0.024390243902439,1,8,0.1818047673532669
Anureet Singh,4,42,10.5,0,4,0,0.0,0,0.0,0,2,0.1786738782051282
D Willey,10,98,9.8,3,10,1,0.1,0,0.0,4,2,0.16837920971215178
S Rutherford,7,66,9.42857142857142,1,7,5,0.714285714285714,0,0.0,0,1,0.16655697856065482
DT Christian,12,111,9.25,4,12,0,0.0,0,0.0,1,4,0.1665558813307529
N Rana,15,121,8.06666666666666,1,15,3,0.2,0,0.0,3,7,0.16544323788366114
Mohammad Nabi,35,255,7.28571428571428,3,35,0,0.0,0,0.0,16,9,0.16537628454996442
PJ Sangwan,2,21,10.5,0,2,0,0.0,0,0.0,2,0,0.1626585669601483
STR Binny,9,81,9.0,0,9,2,0.222222222222222,1,0.111111111111111,3,1,0.1618125922493392
B Stanlake,16,134,8.375,1,16,4,0.25,0,0.0,8,5,0.16131040848916028
R Tewatia,29,220,7.58620689655172,4,29,3,0.103448275862068,0,0.0,1,8,0.1611993108179322
CJ Jordan,4,40,10.0,1,4,1,0.25,0,0.0,2,0,0.15862717555743336
M Santner,14,105,7.5,2,14,10,0.714285714285714,1,0.0714285714285714,4,4,0.15772539049215606
GJ Maxwell,16,134,8.375,1,16,2,0.125,0,0.0,6,5,0.15617988640080688
S Kuggeleijn,8,73,9.125,4,8,2,0.25,0,0.0,1,2,0.15423216338203494
DJ Hooda,5,48,9.6,0,5,1,0.2,0,0.0,0,0,0.14459935897435897
I Sodhi,31,207,6.67741935483871,2,31,1,0.032258064516129,0,0.0,2,9,0.14191808047399057
H Brar,5,48,9.6,0,5,0,0.0,0,0.0,2,0,0.13889654772937907
R Parag,14,121,8.64285714285714,0,14,0,0.0,0,0.0,1,2,0.13071830591597153
D Short,3,27,9.0,0,3,0,0.0,0,0.0,0,1,0.12979967948717946
A Roy,2,14,7.0,0,2,3,1.5,0,0.0,0,1,0.12579727564102566
M Lomror,3,27,9.0,0,3,0,0.0,0,0.0,0,0,0.12146634615384613
H Vihari,1,9,9.0,0,1,0,0.0,0,0.0,0,0,0.12115384615384614
S Warrier,12,88,7.33333333333333,0,12,0,0.0,1,0.0833333333333333,9,2,0.1156714840129749
J Yadav,7,51,7.28571428571428,0,7,0,0.0,1,0.142857142857142,3,1,0.11428804503729169
J Suchith,4,28,7.0,0,4,0,0.0,0,0.0,2,2,0.08540696439604574
YK Pathan,3,22,7.33333333333333,0,3,0,0.0,0,0.0,0,1,0.08492788461538453
SN Khan,1,6,6.0,1,1,0,0.0,0,0.0,0,0,0.04116892911010559
SK Raina,1,6,6.0,0,1,0,0.0,0,0.0,0,0,0.040384615384615394
S Dube,2,9,4.5,1,2,1,0.5,0,0.0,0,0,0.017607230392156864
