player,finalvaluebo,finalvalueba,bowlerf,batsmanf
JJ Bumrah,4.702454539,1.131261399,0.9999999999999999,0.15328607660301977
B Kumar,4.683740833,1.285086505,0.9960178106334534,0.17412939981958755
UT Yadav,4.383436583,1.051442639,0.9321144666844381,0.14247062354280443
DJ Bravo,4.262199446,2.185019056,0.9063157693130061,0.29607038540618846
YS Chahal,4.065330632,0.485957507,0.8644230037797953,0.0658473096577518
MJ McClenaghan,3.915534951,1.323938965,0.8325471814262323,0.17939391354297657
JD Unadkat,3.788283215,1.0305469729999999,0.8054686054363244,0.13963925789912693
SP Narine,3.784398478,3.7515205239999996,0.804641951518964,0.5083315517775082
HH Pandya,3.695967412,3.7581843760000004,0.7858242330671736,0.5092345046485655
SL Malinga,3.6347809539999996,1.113216611,0.7728040401441764,0.15084100532409314
Mohammed Shami,3.5981648739999996,1.2380135890000001,0.7650123090770847,0.167751013167058
Rashid Khan,3.5627633910000003,1.7650194330000002,0.7574790385873924,0.2391603781865243
S Kaul,3.558579767,0.17185748,0.7565887829102738,0.02328671239677112
CH Morris,3.54651087,2.536183592,0.7540205779112561,0.34365322878185983
Imran Tahir,3.511516624,0.808732773,0.7465739655560382,0.10958340300750473
PP Chawla,3.4444309810000004,1.326257831,0.732298453575539,0.179708120207875
R Vinay Kumar,3.436077553,1.575910564,0.7305208830528529,0.21353610018546393
SN Thakur,3.427454866,1.43582756,0.7286860154706402,0.19455483369753604
MM Sharma,3.422083765,1.110665975,0.7275430702256498,0.15049539379202106
AD Russell,3.416097937,5.0319753369999995,0.7262693139418022,0.6818333566881373
AJ Tye,3.336661709,1.7673555369999998,0.7093656550695205,0.2394769206028156
R Ashwin,3.3184222039999995,1.813211079,0.7054843734643657,0.2456903529093528
Sandeep Sharma,3.311538388,0.514430111,0.7040195295218318,0.06970535145223847
DL Chahar,3.3049297639999997,2.327229465,0.702613245153556,0.3153399155669367
Harbhajan Singh,3.2926296460000004,1.497551469,0.6999958374040239,0.20291843193537518
A Mishra,3.2859840410000003,1.159524788,0.698581683651407,0.15711576973596378
TA Boult,3.2486885539999997,0.971709418,0.6906453779430893,0.13166676102896335
K Rabada,3.2032613160000003,1.3685698919999998,0.6809786735439084,0.18544141034701606
RA Jadeja,3.155401688,2.327861151,0.6707943678960332,0.3154255091076256
Mohammed Siraj,3.1281772780000003,0.6620536229999999,0.6650011404074478,0.08970835782091842
DS Kulkarni,3.11551539,1.3604830069999998,0.6623067496890084,0.18434563630691747
SR Watson,3.103228895,4.695839118,0.6596922408503461,0.6362868523521547
Kuldeep Yadav,3.056528733,1.106778793,0.6497546641601702,0.1499686800914134
KC Cariappa,2.922166287,1.918840785,0.621162962242635,0.26000319273557093
AR Patel,2.9116119,2.3004246409999998,0.6189170379087902,0.31170785819396657
KH Pandya,2.85576053,3.5923148780000003,0.6070321268323279,0.4867591646440291
BB Sran,2.836753798,0.8330233570000001,0.6029875828994906,0.11287478051145516
CR Woakes,2.829746023,1.14181322,0.601496361059832,0.15471584981329384
I Sharma,2.811612746,1.911628556,0.5976376842776893,0.2590259347048896
BA Stokes,2.806600076,3.00468244,0.5965710114779773,0.4071348877215498
TG Southee,2.776956422,1.801551839,0.5902629801481922,0.24411052427084995
CJ Anderson,2.7754883039999996,1.616097771,0.589950571484273,0.2189814723126388
AS Rajpoot,2.77360076,0.747635822,0.589548910923522,0.10130475766569814
HV Patel,2.7007303680000003,1.453424625,0.5740424313326553,0.19693923844781103
VR Aaron,2.582442604,0.556809209,0.5488713467813978,0.07544772511418543
Basil Thampi,2.535308358,0.890278297,0.5388413990403469,0.1206328328294246
Shakib Al Hasan,2.480312123,2.332639022,0.5271384567040134,0.3160729112913762
S Gopal,2.478571358,1.121166134,0.5267680300299673,0.15191816679412354
MG Johnson,2.4197562130000003,1.404896392,0.5142524414548932,0.19036365613975845
Mustafizur Rahman,2.382497781,0.204304972,0.5063240208777718,0.027683352067040527
