bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
B Kumar,119,887,7.45378151260504,52,119,33,0.277310924369747,2,0.0168067226890756,60,52,0.5892372333548804
MJ McClenaghan,108,961,8.89814814814814,38,108,27,0.25,6,0.0555555555555555,50,38,0.5147096672944128
JJ Bumrah,113,868,7.68141592920354,51,113,9,0.079646017699115,13,0.11504424778761,35,41,0.494608759946618
Sandeep Sharma,98,776,7.91836734693877,28,98,20,0.204081632653061,1,0.010204081632653,58,36,0.46548672715500783
MS Gony,2,32,16.0,0,2,3,1.5,0,0.0,1,0,0.4508361581920904
YS Chahal,94,760,8.08510638297872,12,94,26,0.276595744680851,3,0.0319148936170212,20,36,0.4375766780400749
UT Yadav,75,678,9.04,17,75,21,0.28,2,0.0266666666666666,34,30,0.4328244241634072
MM Sharma,97,822,8.47422680412371,39,97,15,0.154639175257731,2,0.0206185567010309,33,29,0.4221867296603449
SR Watson,84,736,8.76190476190476,32,84,25,0.297619047619047,1,0.0119047619047619,23,28,0.4180427660851388
J Suchith,2,31,15.5,0,2,2,1.0,0,0.0,0,0,0.4033746197305519
CH Morris,75,561,7.48,29,75,16,0.213333333333333,1,0.0133333333333333,32,30,0.39361074894973197
V Kohli,1,13,13.0,0,1,0,0.0,2,2.0,0,0,0.36923076923076914
JA Morkel,5,66,13.2,1,5,5,1.0,0,0.0,4,3,0.36558822251195117
AR Patel,96,761,7.92708333333333,10,96,13,0.135416666666666,0,0.0,16,28,0.36460222910328827
Z Khan,86,664,7.72093023255814,16,86,18,0.209302325581395,0,0.0,52,24,0.3639750563455727
JD Unadkat,49,379,7.73469387755101,20,49,5,0.10204081632653,0,0.0,24,27,0.35552622639668613
SP Narine,102,722,7.07843137254901,20,102,28,0.274509803921568,0,0.0,29,25,0.3482103987183744
Mohammed Shami,52,500,9.61538461538461,14,52,21,0.403846153846153,1,0.0192307692307692,22,16,0.3477633971851701
DS Kulkarni,68,538,7.91176470588235,13,68,8,0.117647058823529,0,0.0,42,23,0.34424658077050885
DJ Bravo,56,502,8.96428571428571,27,56,12,0.214285714285714,1,0.0178571428571428,2,19,0.335064707890979
A Mishra,85,695,8.17647058823529,8,85,14,0.164705882352941,2,0.0235294117647058,0,24,0.33345297441010296
MJ Henry,5,71,14.2,2,5,1,0.2,0,0.0,3,2,0.33254976097348976
P Kumar,70,562,8.02857142857142,19,70,29,0.414285714285714,0,0.0,50,16,0.3303396038989257
A Nehra,49,398,8.12244897959183,9,49,12,0.244897959183673,0,0.0,29,21,0.32997677584723567
Imran Tahir,63,511,8.11111111111111,15,63,5,0.0793650793650793,1,0.0158730158730158,4,24,0.3299435580113546
CR Woakes,44,393,8.93181818181818,14,44,14,0.318181818181818,0,0.0,12,18,0.32812613093121556
CJ Jordan,29,276,9.51724137931034,10,29,16,0.551724137931034,2,0.0689655172413793,6,14,0.3263629156738448
Basil Thampi,45,428,9.51111111111111,18,45,10,0.222222222222222,0,0.0,17,15,0.32371261287362973
KA Pollard,8,112,14.0,3,8,2,0.25,0,0.0,0,0,0.3163146458061712
AB Dinda,41,357,8.70731707317073,14,41,13,0.317073170731707,1,0.024390243902439,27,15,0.31252669041031994
NM Coulter-Nile,44,352,8.0,12,44,6,0.136363636363636,5,0.113636363636363,18,20,0.312522401327486
S Aravind,61,500,8.19672131147541,15,61,17,0.278688524590163,1,0.0163934426229508,33,16,0.3107108954766637
JP Faulkner,45,447,9.93333333333333,15,45,6,0.133333333333333,2,0.0444444444444444,8,13,0.3096071997682167
Kuldeep Yadav,53,447,8.43396226415094,12,53,11,0.20754716981132,0,0.0,5,19,0.30939773929300624
AD Russell,37,301,8.13513513513513,9,37,9,0.243243243243243,0,0.0,20,19,0.3087125750261342
PJ Cummins,47,393,8.36170212765957,16,47,11,0.234042553191489,1,0.0212765957446808,13,16,0.29748346232442857
D Wiese,4,49,12.25,1,4,2,0.5,1,0.25,0,0,0.29614950021729686
Mustafizur Rahman,64,461,7.203125,28,64,11,0.171875,0,0.0,17,19,0.2960537673837462
BB Sran,52,449,8.63461538461538,8,52,16,0.307692307692307,0,0.0,22,14,0.2959093537926653
MC Henriques,77,666,8.64935064935065,5,77,13,0.168831168831168,1,0.0129870129870129,4,16,0.29108914813999553
S Kaul,36,303,8.41666666666666,12,36,6,0.166666666666666,1,0.0277777777777777,11,16,0.2885219469795739
SL Malinga,45,388,8.62222222222222,12,45,20,0.444444444444444,2,0.0444444444444444,19,11,0.28661289777391463
PP Chawla,57,452,7.9298245614035,9,57,9,0.157894736842105,1,0.0175438596491228,7,18,0.2863646698231887
AF Milne,18,185,10.2777777777777,6,18,11,0.611111111111111,0,0.0,7,5,0.2824981650490104
