batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values1617
ER Dwivedi,12,3,2,0,0,15,24,160,0,0.238378123
R Tewatia,9.5,4,0,0,0,11,19,172.7272727,0,0.236737795
Ankit Sharma,14,2,1,0,0,19,28,147.3684211,0,0.233498884
DJ Hooda,10.57142857,13,9,0,0,178,222,124.7191011,1,0.232706918
CJ Anderson,12.90909091,8,9,0,0,130,142,109.2307692,2,0.22774957
DT Christian,8.777777778,5,5,0,0,52,79,151.9230769,0,0.222797353
NV Ojha,11.94444444,9,8,0,0,212,215,101.4150943,2,0.220121118
Iqbal Abdulla,14,4,1,0,0,34,42,123.5294118,1,0.218757207
Shakib Al Hasan,14.375,7,5,1,0,109,115,105.5045872,1,0.217883109
TG Southee,7.4,1,3,0,0,23,37,160.8695652,0,0.217334862
AD Mathews,16,2,1,0,0,28,32,114.2857143,1,0.217214591
PJ Cummins,9.625,5,4,0,0,54,77,142.5925926,0,0.215664205
STR Binny,11.75,11,7,0,0,118,141,119.4915254,0,0.214242467
Anureet Singh,15,2,0,0,0,12,15,125,0,0.21225991
P Sahu,9.5,1,1,0,0,13,19,146.1538462,0,0.208144013
GJ Bailey,16.8,9,2,0,0,99,84,84.84848485,2,0.208002407
JP Faulkner,11.90909091,11,0,0,0,120,131,109.1666667,1,0.202550669
SP Jackson,12.66666667,5,0,0,0,31,38,122.5806452,0,0.201238081
KJ Abbott,4.333333333,0,1,0,0,8,13,162.5,0,0.198442143
K Rabada,18.33333333,5,1,0,0,68,55,80.88235294,1,0.197078875
R Bhatia,8.333333333,1,3,0,0,37,50,135.1351351,0,0.195640441
DS Kulkarni,4.666666667,3,0,0,0,18,28,155.5555556,0,0.194053464
B Kumar,4.7,6,1,0,0,32,47,146.875,0,0.189306548
KV Sharma,9.444444444,8,3,0,0,76,85,111.8421053,0,0.182922151
A Choudhary,8.333333333,1,1,0,0,20,25,125,0,0.180096894
DJ Bravo,8.25,11,1,0,0,88,99,112.5,0,0.177558661
Mohammed Shami,4.75,4,2,0,0,28,38,135.7142857,0,0.177260278
IR Jaggi,16.5,3,0,0,0,40,33,82.5,0,0.176582763
RD Chahar,3,0,0,0,0,2,3,150,0,0.176157476
MJ McClenaghan,5.555555556,2,4,0,0,39,50,128.2051282,0,0.17599829
Harbhajan Singh,7.714285714,11,3,0,0,108,108,100,1,0.173686551
Parvez Rasool,10,1,0,0,0,9,10,111.1111111,0,0.171114665
AR Bawne,12,1,0,0,0,12,12,100,0,0.169550235
MM Sharma,6.916666667,7,2,0,0,78,83,106.4102564,0,0.162340819
DM Bravo,6,1,0,0,0,5,6,120,0,0.159996272
D Wiese,5,0,0,0,0,4,5,125,0,0.159692864
C Munro,10,4,0,0,0,31,30,96.77419355,0,0.159019942
MA Agarwal,8.833333333,6,1,0,0,55,53,96.36363636,0,0.15700569
R Ashwin,6.833333333,3,1,0,0,38,41,107.8947368,0,0.156579286
Rashid Khan,3.666666667,0,1,0,0,9,11,122.2222222,0,0.15178952
R Sathish,8,1,1,0,0,24,24,100,0,0.151629557
