LMP Simmons,37.206896551724135
CH Gayle,36.51
SE Marsh,36.072463768115945
HM Amla,36.0625
DA Warner,35.21052631578947
ML Hayden,34.59375
MEK Hussey,34.08620689655172
MN van Wyk,33.4
CA Lynn,32.0
V Kohli,31.368794326241133
SR Tendulkar,29.923076923076923
AB de Villiers,29.54237288135593
N Rana,29.133333333333333
AM Rahane,29.114285714285714
PD Collingwood,29.0
SK Raina,28.96815286624204
BA Stokes,28.727272727272727
G Gambhir,28.301369863013697
S Dhawan,28.261904761904763
F du Plessis,28.152173913043477
RA Tripathi,27.928571428571427
Q de Kock,27.923076923076923
KP Pietersen,27.805555555555557
DJ Harris,27.75
SPD Smith,27.629032258064516
Salman Butt,27.571428571428573
RG Sharma,27.49673202614379
KS Williamson,27.4
JP Duminy,27.301369863013697
DR Smith,27.102272727272727
A Symonds,27.055555555555557
SR Watson,26.816326530612244
BB McCullum,26.74757281553398
R Dravid,26.51219512195122
RV Uthappa,26.41958041958042
V Sehwag,26.23076923076923
AC Gilchrist,25.8625
AC Voges,25.857142857142858
ST Jayasuriya,25.6
JH Kallis,25.54736842105263
GC Smith,25.482758620689655
M Vijay,25.363636363636363
KH Pandya,25.263157894736842
V Shankar,25.25
SS Iyer,25.21875
AJ Finch,25.0625
MS Dhoni,24.895104895104897
KC Sangakkara,24.808823529411764
HH Gibbs,24.61111111111111
DA Miller,24.421875
KL Rahul,24.166666666666668
RS Bopara,24.136363636363637
BJ Rohrer,24.125
SC Ganguly,24.089285714285715
RR Pant,23.5
MK Pandey,23.4
M Vohra,23.341463414634145
DPMD Jayawardene,23.17948717948718
MJ Lumb,23.166666666666668
KK Nair,23.16
TM Dilshan,23.06
AT Rayudu,23.00952380952381
OA Shah,23.0
SV Samson,23.0
AD Russell,22.96
SW Billings,22.6
GJ Maxwell,22.345454545454544
Yuvraj Singh,22.336206896551722
SA Asnodkar,22.263157894736842
BJ Hodge,22.22222222222222
S Badrinath,22.16923076923077
JC Buttler,22.0
YK Pathan,21.969924812030076
PC Valthaty,21.956521739130434
JR Hopes,21.94736842105263
SM Katich,21.90909090909091
AP Majumdar,21.75
DJ Hussey,21.672131147540984
KD Karthik,21.66417910447761
CL White,21.57777777777778
Kamran Akmal,21.333333333333332
Ishan Kishan,21.266666666666666
LJ Wright,21.2
UT Khawaja,21.166666666666668
KA Pollard,21.017857142857142
MK Tiwary,20.860759493670887
JD Ryder,20.82758620689655
A Flintoff,20.666666666666668
TM Head,20.5
MS Bisla,20.46153846153846
JEC Franklin,20.4375
MP Stoinis,20.375
Niraj Patel,20.166666666666668
CJ Anderson,20.03846153846154
PA Patel,20.017241379310345
WP Saha,19.96153846153846
SS Tiwary,19.9375
JJ Roy,19.666666666666668
SP Fleming,19.6
MC Henriques,19.38
YV Takawale,19.2
Mandeep Singh,19.17241379310345
DR Martyn,19.0
Y Gnaneswara Rao,19.0
EJG Morgan,18.977777777777778
Y Venugopal Rao,18.942307692307693
MJ Guptill,18.9
LA Pomersbach,18.875
LRPL Taylor,18.833333333333332
Azhar Mahmood,18.476190476190474
GJ Bailey,18.416666666666668
S Sohal,18.4
SM Pollock,18.375
K Rabada,18.333333333333332
M Klinger,18.25
RR Sarwan,18.25
S Vidyut,18.125
BJ Haddin,18.0
MC Juneja,17.857142857142858
CA Pujara,17.727272727272727
AJ Tye,17.666666666666668
AD Mathews,17.658536585365855
AL Menaria,17.434782608695652
TL Suman,17.333333333333332
AC Blizzard,17.142857142857142
MV Boucher,17.130434782608695
AP Dole,17.0
MA Agarwal,16.958333333333332
NV Ojha,16.698924731182796
FY Fazal,16.636363636363637
PA Reddy,16.4
MJ Clarke,16.333333333333332
W Jaffer,16.25
LA Carseldine,16.2
SN Khan,16.09090909090909
MR Marsh,16.071428571428573
RA Jadeja,16.037037037037038
D Wiese,15.875
Anirudh Singh,15.75
CH Morris,15.678571428571429
KM Jadhav,15.666666666666666
Shakib Al Hasan,15.625
BB Samantray,15.625
DJ Bravo,15.580246913580247
RN ten Doeschate,15.523809523809524
S Sriram,15.5
BCJ Cutting,15.5
SP Goswami,15.0625
UBT Chand,15.0
TR Birt,15.0
DB Ravi Teja,15.0
C Madan,15.0
GR Napier,15.0
DJG Sammy,14.75
RJ Quiney,14.714285714285714
Misbah-ul-Haq,14.625
J Botha,14.607142857142858
JA Morkel,14.552238805970148
VH Zol,14.5
SA Yadav,14.476190476190476
AA Jhunjhunwala,14.466666666666667
AR Patel,14.428571428571429
Gurkeerat Singh,14.25
Y Nagar,14.25
NLTC Perera,14.133333333333333
VVS Laxman,14.1
IK Pathan,14.024390243902438
DL Chahar,14.0
N Saini,14.0
C de Grandhomme,14.0
JDS Neesham,14.0
AB Barath,14.0
MD Mishra,13.941176470588236
RE Levi,13.833333333333334
DB Das,13.818181818181818
Sachin Baby,13.7
STR Binny,13.678571428571429
AB McDonald,13.666666666666666
K Goel,13.625
DT Christian,13.548387096774194
M Manhas,13.526315789473685
AM Nayar,13.44
GH Vihari,13.333333333333334
BR Dunk,13.333333333333334
LPC Silva,13.333333333333334
B Chipli,13.333333333333334
DJ Jacobs,13.142857142857142
SB Styris,13.1
NL McCullum,13.0
CM Gautam,13.0
JM Kemp,13.0
SP Jackson,12.666666666666666
MF Maharoof,12.642857142857142
AP Tare,12.555555555555555
DJ Hooda,12.433333333333334
SD Chitnis,12.375
HH Pandya,12.303030303030303
LR Shukla,12.272727272727273
CJ Ferguson,12.25
R McLaren,12.23076923076923
A Ashish Reddy,12.173913043478262
P Negi,12.172413793103448
AS Raut,12.125
