bowler,extra_runs
SA Abbott,2
MK Tiwary,2
Sunny Gupta,2
DJ Thornely,2
K Goel,2
K Upadhyay,2
S Gopal,2
SR Tendulkar,2
Swapnil Singh,1
B Geeves,1
AJ Finch,1
Gagandeep Singh,1
Avesh Khan,1
GR Napier,1
D du Preez,1
T Henderson,1
Harmeet Singh (2),1
AS Raut,1
MG Neser,1
A Flintoff,1
LA Carseldine,1
M Vijay,1
Mohammad Nabi,1
MJ Henry,1
S Vidyut,1
LRPL Taylor,1
NL McCullum,1
AA Kazi,1
NJ Rimmington,1
MB Parmar,1
ND Doshi,1
PM Sarvesh Kumar,1
MA Khote,1
BJ Rohrer,1
SS Mundhe,1
PD Collingwood,1
DAJ Bracewell,1
Tejas Baroka,0
M Manhas,0
AC Gilchrist,0
Y Gnaneswara Rao,0
A Nel,0
LPC Silva,0
LMP Simmons,0
V Shankar,0
TM Head,0
RA Shaikh,0
AM Rahane,0
SA Yadav,0
RA Tripathi,0
RJ Peterson,0
RR Bhatkal,0
RR Bose,0
I Malhotra,0
R Ninan,0
RS Gavaskar,0
RW Price,0
FY Fazal,0
F du Plessis,0
S Rana,0
S Sriram,0
P Prasanth,0
DJ Harris,0
B Chipli,0
SB Joshi,0
DB Ravi Teja,0
CK Kapugedera,0
CJ McKay,0
KS Williamson,0
C Munro,0
C Ganapathy,0
SS Agarwal,0
BMAJ Mendis,0
SS Sarkar,0
Sachin Baby,0
Shivam Sharma,0
N Rana,0
SPD Smith,0
