player,season,match_id,no.of runs
AM Nayar,2009,170,4
AM Nayar,2010,226,9
AM Nayar,2010,231,22
AM Nayar,2010,234,32
AM Nayar,2011,239,17
AM Nayar,2011,243,0
AM Nayar,2011,249,15
AM Nayar,2011,256,1
AM Nayar,2011,259,18
AM Nayar,2011,270,0
AM Nayar,2011,273,14
AM Nayar,2011,280,1
AM Nayar,2011,300,3
AM Nayar,2012,311,12
AM Nayar,2012,315,28
AM Nayar,2012,350,2
AM Nayar,2012,354,9
AM Nayar,2013,384,19
AM Nayar,2013,387,26
AM Nayar,2013,395,7
AM Nayar,2013,399,0
AM Nayar,2013,402,0
AM Nayar,2013,409,3
AM Nayar,2013,422,2
AM Nayar,2013,426,1
AM Nayar,2013,439,12
AM Nayar,2014,461,4
AM Nayar,2014,464,25
AM Nayar,2014,467,6
AM Nayar,2014,471,12
AM Rahane,2008,72,0
AM Rahane,2008,75,6
AM Rahane,2009,138,11
AM Rahane,2009,143,0
AM Rahane,2009,150,13
AM Rahane,2009,153,65
AM Rahane,2009,157,1
AM Rahane,2009,160,4
AM Rahane,2009,170,66
AM Rahane,2011,241,18
AM Rahane,2011,251,6
AM Rahane,2011,271,15
AM Rahane,2011,276,5
AM Rahane,2011,285,52
AM Rahane,2011,288,17
AM Rahane,2011,294,8
AM Rahane,2012,311,113
AM Rahane,2012,314,0
AM Rahane,2012,319,40
AM Rahane,2012,322,19
AM Rahane,2012,326,103
AM Rahane,2012,328,45
AM Rahane,2012,334,15
AM Rahane,2012,338,15
AM Rahane,2012,345,86
AM Rahane,2012,349,43
AM Rahane,2012,354,6
AM Rahane,2012,358,0
AM Rahane,2012,361,18
AM Rahane,2012,365,63
AM Rahane,2012,373,6
AM Rahane,2012,377,15
AM Rahane,2013,385,29
AM Rahane,2013,389,38
AM Rahane,2013,393,30
AM Rahane,2013,398,35
AM Rahane,2013,403,73
AM Rahane,2013,407,14
AM Rahane,2013,410,17
AM Rahane,2013,416,1
AM Rahane,2013,420,2
AM Rahane,2013,427,6
AM Rahane,2013,431,69
AM Rahane,2013,433,65
AM Rahane,2013,436,65
AM Rahane,2013,442,9
AM Rahane,2013,447,5
AM Rahane,2013,449,13
AM Rahane,2013,455,18
AM Rahane,2013,456,22
AM Rahane,2014,461,63
AM Rahane,2014,464,13
AM Rahane,2014,467,15
AM Rahane,2014,471,24
AM Rahane,2014,476,73
AM Rahane,2014,480,13
AM Rahane,2014,482,31
AM Rahane,2014,487,0
AM Rahane,2014,492,25
AM Rahane,2014,494,4
AM Rahane,2014,498,70
AM Rahane,2014,509,25
AM Rahane,2015,520,4
AM Rahane,2015,523,50
AM Rahane,2015,526,46
AM Rahane,2015,529,65
AM Rahane,2015,533,76
AM Rahane,2015,536,76
AM Rahane,2015,540,19
AM Rahane,2015,549,19
AM Rahane,2015,553,94
AM Rahane,2015,558,8
AM Rahane,2015,563,23
AM Rahane,2015,570,42
AM Rahane,2015,574,43
AM Rahane,2016,577,67
AM Rahane,2016,582,21
AM Rahane,2016,586,9
AM Rahane,2016,592,62
AM Rahane,2016,596,67
AM Rahane,2016,598,0
AM Rahane,2016,601,57
AM Rahane,2016,605,5
AM Rahane,2016,609,70
AM Rahane,2016,611,75
AM Rahane,2016,616,0
AM Rahane,2016,621,3
AM Rahane,2016,625,42
AM Rahane,2016,629,19
AM Rahane,2017,2,60
AM Rahane,2017,4,19
AM Rahane,2017,9,11
AM Rahane,2017,13,0
AM Rahane,2017,17,31
AM Rahane,2017,25,3
AM Rahane,2017,28,39
AM Rahane,2017,29,47
AM Rahane,2017,33,6
AM Rahane,2017,38,4
AM Rahane,2017,40,11
AM Rahane,2017,43,22
AM Rahane,2017,51,0
AM Rahane,2017,54,34
AM Rahane,2017,56,57
AM Rahane,2017,59,44
AN Ahmed,2010,211,6
AN Ahmed,2011,306,18
AN Ahmed,2014,499,4
AN Ahmed,2015,522,5
AN Ahmed,2015,525,4
AN Ahmed,2015,534,1
AN Ghosh,2009,132,0
AN Ghosh,2009,156,7
AP Dole,2010,210,4
AP Dole,2010,219,31
AP Majumdar,2012,358,30
AP Majumdar,2012,362,33
AP Majumdar,2012,365,9
AP Majumdar,2012,375,18
AP Tare,2010,176,26
AP Tare,2010,183,17
AP Tare,2010,188,12
AP Tare,2010,230,1
AP Tare,2013,447,59
AP Tare,2013,450,22
AP Tare,2013,454,7
AP Tare,2013,456,35
AP Tare,2013,457,0
AP Tare,2014,458,24
AP Tare,2014,462,25
AP Tare,2014,470,23
AP Tare,2014,473,12
AP Tare,2014,477,7
AP Tare,2014,479,16
AP Tare,2014,490,9
AP Tare,2014,497,2
AP Tare,2014,508,14
AP Tare,2014,513,6
AP Tare,2014,515,0
AP Tare,2015,518,8
AP Tare,2015,524,7
AP Tare,2016,594,0
AP Tare,2016,598,12
AP Tare,2017,5,19
AP Tare,2017,9,2
AP Tare,2017,24,0
AR Bawne,2017,31,12
AR Patel,2014,460,2
AR Patel,2014,472,7
AR Patel,2014,488,2
AR Patel,2014,491,1
AR Patel,2014,502,43
AR Patel,2014,505,6
AR Patel,2014,514,2
AR Patel,2015,520,26
AR Patel,2015,528,13
AR Patel,2015,532,2
AR Patel,2015,536,12
AR Patel,2015,542,9
AR Patel,2015,544,17
AR Patel,2015,548,28
AR Patel,2015,552,0
AR Patel,2015,557,40
AR Patel,2015,564,17
AR Patel,2015,566,21
AR Patel,2015,569,34
AR Patel,2016,579,4
AR Patel,2016,583,11
AR Patel,2016,589,9
AR Patel,2016,594,36
AR Patel,2016,597,0
AR Patel,2016,604,0
AR Patel,2016,608,21
AR Patel,2016,612,17
AR Patel,2016,626,16
AR Patel,2016,629,1
AR Patel,2017,4,27
AR Patel,2017,8,9
AR Patel,2017,11,0
AR Patel,2017,15,44
AR Patel,2017,19,7
AR Patel,2017,22,5
AR Patel,2017,26,35
AR Patel,2017,32,16
AR Patel,2017,42,41
AR Patel,2017,46,2
AR Patel,2017,48,9
AR Patel,2017,50,19
AR Patel,2017,54,23
AS Rajpoot,2013,386,2
AS Rajpoot,2017,58,4
AS Raut,2009,126,26
AS Raut,2009,130,1
AS Raut,2009,140,36
AS Raut,2009,145,1
AS Raut,2009,152,7
AS Raut,2009,155,1
AS Raut,2009,165,11
AS Raut,2010,206,2
AS Raut,2010,210,0
AS Raut,2010,219,20
AS Raut,2010,223,32
AS Raut,2010,227,2
AS Raut,2011,251,11
AS Raut,2011,256,25
AS Raut,2011,285,19
AS Raut,2011,288,10
AS Yadav,2008,64,11
AS Yadav,2008,66,12
AS Yadav,2008,68,17
AS Yadav,2008,80,8
AS Yadav,2008,111,4
AS Yadav,2008,114,0
AT Rayudu,2010,176,58
AT Rayudu,2010,183,35
AT Rayudu,2010,188,3
AT Rayudu,2010,199,7
AT Rayudu,2010,201,15
AT Rayudu,2010,207,57
AT Rayudu,2010,211,3
AT Rayudu,2010,215,33
AT Rayudu,2010,219,0
AT Rayudu,2010,221,25
AT Rayudu,2010,226,53
AT Rayudu,2010,230,28
AT Rayudu,2010,231,44
AT Rayudu,2010,234,23
AT Rayudu,2011,238,16
AT Rayudu,2011,242,64
AT Rayudu,2011,247,53
AT Rayudu,2011,254,42
AT Rayudu,2011,257,28
AT Rayudu,2011,260,7
AT Rayudu,2011,267,12
AT Rayudu,2011,273,51
AT Rayudu,2011,277,27
AT Rayudu,2011,282,61
AT Rayudu,2011,287,13
AT Rayudu,2011,292,2
AT Rayudu,2011,299,2
AT Rayudu,2011,303,20
AT Rayudu,2011,305,12
AT Rayudu,2011,306,0
AT Rayudu,2012,308,18
AT Rayudu,2012,310,1
AT Rayudu,2012,316,20
AT Rayudu,2012,319,48
AT Rayudu,2012,327,5
AT Rayudu,2012,336,4
AT Rayudu,2012,340,35
AT Rayudu,2012,342,64
AT Rayudu,2012,346,20
AT Rayudu,2012,351,1
AT Rayudu,2012,355,0
AT Rayudu,2012,360,22
AT Rayudu,2012,367,86
AT Rayudu,2012,370,11
AT Rayudu,2012,379,12
AT Rayudu,2013,383,20
AT Rayudu,2013,386,7
AT Rayudu,2013,390,24
AT Rayudu,2013,403,27
AT Rayudu,2013,408,2
AT Rayudu,2013,413,13
AT Rayudu,2013,423,37
AT Rayudu,2013,430,10
AT Rayudu,2013,439,26
AT Rayudu,2013,444,2
AT Rayudu,2013,447,7
AT Rayudu,2013,450,29
AT Rayudu,2013,454,16
AT Rayudu,2013,456,19
AT Rayudu,2013,457,38
AT Rayudu,2014,458,52
AT Rayudu,2014,462,36
AT Rayudu,2014,470,1
AT Rayudu,2014,473,14
AT Rayudu,2014,477,36
AT Rayudu,2014,479,8
AT Rayudu,2014,484,10
AT Rayudu,2014,490,62
AT Rayudu,2014,493,71
AT Rayudu,2014,497,35
