batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
WP Saha,0.348697395,0.342348285,0.547404195,0.536501034,0.179487179,0.2,0.266802444,0.218390805,0.253968254,0.403263222
DJ Hussey,0.314915545,0.290677221,0.51459712,0.582476185,0.128205128,0,0.183299389,0.229885057,0.301587302,0.401319163
KK Nair,0.265674206,0.254617414,0.534214978,0.622465246,0.205128205,0,0.274949084,0.099616858,0.238095238,0.40115128
AD Russell,0.099914114,0.126209323,0.702857143,0.617089898,0.076923077,0,0.101832994,0.141762452,0.158730159,0.395293216
ST Jayasuriya,0.163756084,0.168865435,0.574420344,0.688044486,0.128205128,0.2,0.17311609,0.14559387,0.158730159,0.394662805
TM Dilshan,0.299456055,0.25351803,0.471960704,0.619777572,0.230769231,0,0.283095723,0.091954023,0.26984127,0.392514114
M Vohra,0.214428858,0.210422164,0.546857143,0.62734239,0.076923077,0,0.195519348,0.134099617,0.222222222,0.387448253
SS Iyer,0.187231606,0.177440633,0.528026172,0.677797729,0.153846154,0,0.16089613,0.122605364,0.19047619,0.386185305
RA Tripathi,0.078442599,0.085971856,0.609350649,0.750628889,0.051282051,0,0.091649695,0.0651341,0.111111111,0.384483809
KH Pandya,0.0893215,0.105540897,0.65723414,0.678991269,0.025641026,0,0.093686354,0.076628352,0.111111111,0.380452526
RR Pant,0.108789007,0.124010554,0.634420697,0.631603336,0.076923077,0,0.095723014,0.114942529,0.158730159,0.379300342
CL White,0.221299742,0.21350044,0.53765227,0.579940274,0.153846154,0,0.152749491,0.14559387,0.238095238,0.378099377
MN van Wyk,0.038362439,0.036719437,0.53015873,0.89768304,0.025641026,0,0.036659878,0.003831418,0.047619048,0.374289962
N Rana,0.101345548,0.096086192,0.527565392,0.783008959,0.102564103,0,0.061099796,0.095785441,0.095238095,0.373316573
SS Tiwary,0.317778414,0.280562885,0.492220651,0.535854958,0.179487179,0,0.189409369,0.172413793,0.253968254,0.373256141
BA Stokes,0.06470083,0.069481091,0.596601636,0.772095375,0.051282051,0.2,0.044806517,0.057471264,0.063492063,0.372079886
HH Gibbs,0.239335814,0.194810906,0.453661034,0.661466378,0.153846154,0,0.17107943,0.118773946,0.174603175,0.363909542
KL Rahul,0.169195534,0.15941073,0.524855212,0.649521162,0.102564103,0,0.124236253,0.091954023,0.142857143,0.359975839
KS Williamson,0.092756942,0.090369393,0.541978022,0.736422614,0.076923077,0,0.075356415,0.042145594,0.079365079,0.357436756
RA Jadeja,0.417119954,0.380826737,0.509112287,0.431023238,0,0,0.256619145,0.218390805,0.222222222,0.3570847
NV Ojha,0.387918695,0.341468777,0.490834387,0.44881262,0.153846154,0,0.248472505,0.298850575,0.174603175,0.356987114
PD Collingwood,0.045233324,0.044635004,0.547169811,0.779425394,0.076923077,0,0.018329939,0.049808429,0.047619048,0.354544928
GC Smith,0.197537933,0.162489006,0.458341947,0.68489342,0.102564103,0,0.193482688,0.034482759,0.142857143,0.3539484
MC Henriques,0.219868308,0.213060686,0.540033439,0.520871177,0.128205128,0,0.175152749,0.103448276,0.19047619,0.352520636
Mandeep Singh,0.268250787,0.244503078,0.508071885,0.515291937,0.128205128,0,0.274949084,0.068965517,0.19047619,0.352145845
DL Chahar,0.001431434,0.003078276,1,0.376274328,0,0,0,0.007662835,0,0.344979751
DJ Bravo,0.295161752,0.277484609,0.524086379,0.41874621,0.102564103,0,0.211812627,0.183908046,0.222222222,0.344167099
JC Buttler,0.107071285,0.116094987,0.603428571,0.59128823,0.025641026,0,0.101832994,0.099616858,0.079365079,0.343106629
LRPL Taylor,0.242198683,0.223614776,0.514589307,0.50617856,0.076923077,0,0.138492872,0.172413793,0.174603175,0.340990143
JD Ryder,0.13312339,0.132805629,0.555487431,0.559777572,0.102564103,0,0.136456212,0.072796935,0.126984127,0.338438615
MJ Lumb,0.056398511,0.06112577,0.601731602,0.622644424,0.025641026,0,0.095723014,0.022988506,0.079365079,0.337805683
OA Shah,0.115659891,0.111257696,0.535449735,0.618164968,0.102564103,0,0.071283096,0.088122605,0.095238095,0.336069133
LJ Wright,0.017749785,0.023306948,0.721088435,0.56978684,0,0,0.030549898,0.011494253,0.031746032,0.334272106
Y Venugopal Rao,0.247351847,0.216578716,0.488026424,0.509107436,0.076923077,0,0.156822811,0.141762452,0.174603175,0.333556994
EJG Morgan,0.207271686,0.187774846,0.504827586,0.510060756,0.102564103,0,0.154786151,0.130268199,0.158730159,0.331723714
Kamran Akmal,0.022044088,0.028144239,0.703296703,0.573370405,0.025641026,0,0.024439919,0.030651341,0.015873016,0.330693121
RS Bopara,0.133695963,0.116754617,0.486263736,0.648706715,0.076923077,0,0.079429735,0.061302682,0.095238095,0.329635936
JR Hopes,0.089607787,0.091688654,0.569153776,0.589873665,0.102564103,0,0.099796334,0.042145594,0.063492063,0.327920303
SA Asnodkar,0.100486688,0.093007916,0.515016234,0.598361056,0.051282051,0,0.120162933,0.038314176,0.111111111,0.324104733
BJ Rohrer,0.041511595,0.042436236,0.566536204,0.648401297,0.025641026,0,0.044806517,0.019157088,0.047619048,0.323458981
AC Voges,0.040652734,0.039797713,0.542457542,0.694955647,0,0,0.032586558,0.011494253,0.031746032,0.32316647
Salman Butt,0.048955053,0.042436236,0.48089701,0.741030054,0.025641026,0,0.061099796,0.007662835,0.031746032,0.322858025
CJ Anderson,0.118236473,0.114555849,0.539337474,0.538568475,0.076923077,0,0.081466395,0.114942529,0.111111111,0.321873625
KM Jadhav,0.195533925,0.196350044,0.55952381,0.421068891,0.076923077,0,0.144602851,0.126436782,0.158730159,0.321439413
PC Valthaty,0.123389636,0.111037819,0.500992063,0.590119676,0.076923077,0.2,0.128309572,0.076628352,0.079365079,0.319851722
V Shankar,0.021757801,0.022207564,0.562152134,0.678637627,0.025641026,0,0.024439919,0.003831418,0.015873016,0.319112897
MS Bisla,0.210707129,0.175461741,0.464043419,0.549939403,0.102564103,0,0.197556008,0.088122605,0.095238095,0.31895298
JA Morkel,0.203549957,0.214379947,0.58687801,0.391116706,0.076923077,0,0.124236253,0.206896552,0.111111111,0.318688787
MA Agarwal,0.19782422,0.178979771,0.504128819,0.455784677,0.076923077,0,0.16904277,0.126436782,0.158730159,0.316411384
CH Morris,0.078442599,0.096525945,0.684155844,0.421388852,0.051282051,0,0.067209776,0.084291188,0.079365079,0.31582001
DJ Harris,0.02920126,0.024406332,0.46185853,0.745829472,0,0,0.022403259,0.019157088,0.031746032,0.313777971
SW Billings,0.04924134,0.049692172,0.559867878,0.607414272,0.051282051,0,0.048879837,0.019157088,0.031746032,0.311155739
AJ Tye,0.008302319,0.011653474,0.757142857,0.474822366,0,0,0.00814664,0.011494253,0,0.310795767
GJ Bailey,0.15774406,0.145778364,0.514751553,0.49497992,0.051282051,0,0.122199593,0.072796935,0.126984127,0.310211571
SN Khan,0.02920126,0.038918206,0.736477115,0.432471143,0,0,0.038696538,0.022988506,0.047619048,0.309910717
Ishan Kishan,0.072716862,0.070140721,0.536134454,0.571578622,0.025641026,0,0.069246436,0.049808429,0.079365079,0.309893559
AD Mathews,0.171199542,0.159190853,0.518006201,0.474603856,0.025641026,0,0.091649695,0.111111111,0.126984127,0.306841845
SM Katich,0.054394503,0.052990325,0.540762902,0.58884489,0.051282051,0,0.052953157,0.030651341,0.047619048,0.306194739
TM Head,0.042943029,0.045074758,0.581835383,0.550973123,0.025641026,0,0.024439919,0.030651341,0.063492063,0.30541093
IK Pathan,0.28170627,0.252858399,0.500362582,0.376929858,0.025641026,0,0.191446029,0.14559387,0.158730159,0.305374548
BCJ Cutting,0.019753793,0.027264732,0.759183673,0.416589435,0,0,0.018329939,0.038314176,0.015873016,0.304170278
