player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,avg.strike rate
PD Collingwood,,,0.590272776,,,,,,,,0.590272776
Shahid Afridi,0.58994709,,,,,,,,,,0.58994709
BB McCullum,0.845138889,0.552883812,0.44016637,0.682889048,0.44890555,0.25,0.595436317,0.898300937,0.542722989,0.642093008,0.589853692
BA Stokes,,,,,,,,,,0.589463228,0.589463228
Q de Kock,,,,,,0.305555556,0.69053288,0.692901235,0.667127581,,0.589029313
V Kohli,0.486877706,0.535774411,0.668696581,0.65171842,0.525466853,0.683153619,0.448668053,0.657969814,0.702508844,0.51011815,0.587095245
I Malhotra,,,,0.583333333,,,,,,,0.583333333
P Sahu,,,,,,,,,0.583333333,,0.583333333
STR Binny,,,0.666666667,0.569444444,0.508597884,0.593080357,0.311147186,0.505555556,1.057777778,0.451530612,0.58297506
JDS Neesham,,,,,,,0.581481481,,,,0.581481481
CA Lynn,,,,,0.291666667,,0.556818182,,0.5,0.965407958,0.578473202
S Dhawan,0.487743167,0.453571429,0.569540645,0.602172637,0.6683936,0.519583333,0.67281746,0.604293854,0.537756769,0.606881426,0.572275432
AJ Finch,,,0.5,0.319444444,0.65327381,0.673292465,0.550319962,0.405555556,0.726058201,0.749178172,0.572140326
JP Duminy,,0.502821071,0.581972789,0.50718254,0.652509219,,0.624437286,0.568554522,0.561079545,,0.571222425
KP Pietersen,,0.348765432,0.720115268,,0.754648775,,0.585122327,,0.43459596,,0.568649552
MV Boucher,0.593293651,0.53287037,0.3125,0.833333333,,,,,,,0.567999339
LRPL Taylor,0.908424908,0.600326862,0.481529582,0.520851371,0.564699074,0.448095238,0.439636752,,,,0.566223398
AP Majumdar,,,,,0.56547619,,,,,,0.56547619
DPMD Jayawardene,0.518132716,0.555185185,0.69459707,0.55930309,0.504498372,0.553133518,,,,,0.564141658
Harbhajan Singh,0.5,0.620277778,0.702097506,0.703993056,0.427272727,0.518696581,0.555555556,0.744708995,0.452758881,0.404761905,0.563012298
HH Pandya,,,,,,,,0.65162037,0.302469136,0.733767361,0.562618956
B Lee,0.407407407,0.40625,0.5,0.125,1.055555556,0.875,,,,,0.561535494
W Jaffer,0.520622896,0.597222222,,,,,,,,,0.558922559
G Gambhir,0.661035898,0.486419753,0.626038041,0.483551976,0.61957672,0.563364367,0.440713872,0.480407501,0.541160814,0.682090843,0.558435979
MN van Wyk,,0.558333333,,,,,,,,,0.558333333
DJ Hooda,,,,,,,,0.617901235,0.466666667,0.588888889,0.55781893
WP Saha,0.578333333,0.587301587,0.531746032,0.63047138,0.222222222,0.683333333,0.597300983,0.688325563,0.567332552,0.479258169,0.556562516
KAJ Roach,,,0.555555556,,,,,,,,0.555555556
CL White,0.448784722,,0.908333333,0.423190236,0.570968509,0.426039239,,,,,0.555463208
SM Pollock,0.554976852,,,,,,,,,,0.554976852
SR Tendulkar,0.470748299,0.517165229,0.70319705,0.582886135,0.520267967,0.526578283,,,,,0.553473827
RA Jadeja,0.478946208,0.554324842,,0.640092932,0.544642857,0.523681973,0.693888889,0.428030303,0.472363316,0.645277778,0.553472122
AS Yadav,0.553240741,,,,,,,,,,0.553240741
RG Sharma,0.672548748,0.553144541,0.509600931,0.561995154,0.465039709,0.512520224,0.551443834,0.672262872,0.596014654,0.40455245,0.549912312
Gurkeerat Singh,,,,,1.017824074,0.352674897,,0.358333333,0.470238095,,0.5497676
KC Sangakkara,0.775683422,0.465537241,0.608455087,0.518094868,0.51473064,0.41563786,,,,,0.549689853
JP Faulkner,,,,,0.395833333,0.379012346,0.809837963,0.573244348,0.665555556,0.472222222,0.549284295
SW Billings,,,,,,,,,0.520833333,0.577601411,0.549217372
AD Mathews,,0.566666667,0.578005952,,0.598315747,0.483611111,,0.64265873,,0.422619048,0.548646209
AN Ahmed,,,0.333333333,0.75,,,0.666666667,0.444444444,,,0.548611111
LMP Simmons,,,,,,,0.736420709,0.622286047,0.444444444,0.388369963,0.547880291
LA Pomersbach,0.592407407,0.446022727,,0.5375,,0.611111111,,,,,0.546760311
T Taibu,0.546296296,,,,,,,,,,0.546296296
R Dravid,0.448434601,0.469353505,0.566774892,0.589324545,0.575903484,0.623475299,,,,,0.545544388
S Anirudha,0.5,,1.305555556,0.433888889,0.777777778,0,0.25,,,,0.544537037
MF Maharoof,0.677083333,0.625,0.326388889,,,,,,,,0.542824074
CJ Anderson,,,,,,,0.674980575,0.503739316,,0.447222222,0.541980704
DNT Zoysa,0.541666667,,,,,,,,,,0.541666667
K Upadhyay,,,,,0.916666667,0.166666667,,,,,0.541666667
MJ McClenaghan,,,,,,,,0.722222222,0.694444444,0.205555556,0.540740741
M Vijay,,0.466224747,0.673355084,0.580263909,0.497832723,0.485686664,0.417487142,0.552946128,0.641595527,,0.539423991
SP Fleming,0.539305556,,,,,,,,,,0.539305556
DB Das,0.470701058,,,,0.646805556,0.499845679,,,,,0.539117431
JEC Franklin,,,,0.670767196,0.406117092,,,,,,0.538442144
D Wiese,,,,,,,,0.657029478,0.416666667,,0.536848073
MA Agarwal,,,,0.552362915,0.67526455,0.503055556,0.604265873,0.525612536,0.546296296,0.344444444,0.53590031
KD Karthik,0.64047619,0.610470085,0.518995654,0.514004941,0.460698396,0.523362943,0.472531437,0.594444444,0.511859992,0.511396011,0.535824009
Azhar Mahmood,,,,,0.611940883,0.411428571,,0.583333333,,,0.535567596
RN ten Doeschate,,,,0.827380952,0.411111111,0.587301587,0.416666667,0.434722222,,,0.535436508
DH Yagnik,,,,0.361111111,0.722222222,0.629232804,0.416666667,,,,0.532308201
SA Asnodkar,0.768863544,0.443643162,0.416666667,0.5,,,,,,,0.532293343
FY Fazal,,,0.507859347,0.555555556,,,,,,,0.531707451
DJ Hussey,0.490877712,0.79375,0.544444444,0.341666667,0.590353535,0.482868731,0.470862471,,,,0.53068908
MEK Hussey,0.69047619,,0.402777778,0.553780655,0.567600353,0.598784031,0.510515873,0.366421569,,,0.527193778
SV Samson,,,,,,0.440032051,0.567501943,0.577059557,0.479719388,0.567358931,0.526334374
AT Rayudu,,,0.673201402,0.4801759,0.484343053,0.547906322,0.471085892,0.581358655,0.581620742,0.385353535,0.525630688
SS Tiwary,0.470833333,0.361111111,0.650748942,0.486431624,0.470256133,0.450749559,,0.749228395,0.493833944,0.59375,0.525215894
MC Henriques,,0.349206349,0.611111111,,,0.724083119,0.152777778,0.737108262,0.439722222,0.661099633,0.525015496
Sohail Tanvir,0.525,,,,,,,,,,0.525
EJG Morgan,,,0.525,0.469135802,,0.63300695,,0.653571429,0.423765432,0.445188492,0.524944684
MD Mishra,,,0.50021645,0.404166667,0.666666667,,,,,,0.523683261
RR Pant,,,,,,,,,0.467777778,0.575445883,0.521611831
DT Patil,0.520833333,,,,,,,,,,0.520833333
OA Shah,,,0.479259259,0.645833333,0.608666334,0.34375,,,,,0.519377232
MJ Guptill,,,,,,,,,0.400925926,0.636507937,0.518716931
M Kaif,0.54053288,,0.527777778,0.614583333,0.388888889,,,,,,0.51794572
JO Holder,,,,,,,0.666666667,,0.368055556,,0.517361111
Y Venugopal Rao,0.642132937,0.379530423,0.267361111,0.547348485,0.51972102,,0.742222222,,,,0.516386033
NV Ojha,,0.439186508,0.596794814,0.462613379,0.542824074,0.25,0.914880952,0.47516835,0.471688034,0.493095238,0.51625015
Ishan Kishan,,,,,,,,,0.345833333,0.685253358,0.515543346
SA Yadav,,,,,0,,0.947222222,0.548687424,0.590151515,0.491496599,0.515511552
JD Ryder,,0.375833333,,0.723519536,0.44671907,,,,,,0.515357313
F du Plessis,,,,,0.620891989,,0.526851852,0.551243201,0.536651235,0.333333333,0.513794322
MS Bisla,,,0.642083333,0.509722222,0.5879329,0.44663282,0.125,0.770833333,,,0.513700768
V Shankar,,,,,,,,,,0.511309524,0.511309524
Bipul Sharma,,,0.305555556,0.344444444,0.7125,,,0.166666667,0.90625,0.62962963,0.510841049
AB Agarkar,0.541666667,0.437962963,0.638888889,0.555555556,,0.375,,,,,0.509814815
C Munro,,,,,,,,,0.509259259,,0.509259259
RR Sarwan,0.508680556,,,,,,,,,,0.508680556
BJ Hodge,0.236111111,0.475249961,0.390873016,0.622503489,0.554840568,0.555456349,0.718981481,,,,0.507716568
RJ Quiney,,0.507709751,,,,,,,,,0.507709751
JM Kemp,,,0.505555556,,,,,,,,0.505555556
HH Gibbs,0.505150713,0.429556148,0.630338319,,0.456790123,,,,,,0.505458826
NLTC Perera,,,,0.327380952,0.291666667,0.659623016,,0.486111111,0.745277778,,0.502011905
S Badrinath,0.599621212,0.370504496,0.601461409,0.637786596,0.438055155,0.363900914,,,,,0.501888297
DJG Sammy,,,,,,0.552292769,0.679409171,0.270833333,,,0.500845091
PA Reddy,,,,,0.592592593,0.408541194,,,,,0.500566893
BA Bhatt,,,,0,1,,,,,,0.5
DM Bravo,,,,,,,,,,0.5,0.5
GR Napier,,0.5,,,,,,,,,0.5
KMDN Kulasekara,,,,,0.5,,,,,,0.5
MA Khote,0.5,,,,,,,,,,0.5
RD Chahar,,,,,,,,,,0.5,0.5
Rashid Khan,,,,,,,,,,0.5,0.5
PA Patel,0.570762108,0.423133451,0.418981481,0.436298886,0.490751764,0.524423017,0.463734568,0.602928949,0.472288676,0.595746528,0.499904943
S Rana,,,,0.555555556,,,0.442857143,,,,0.499206349
GJ Bailey,,0.55,0.458333333,,,,0.525297619,0.55562996,0.402777778,,0.498407738
AM Rahane,0.25,0.406453634,,0.486111111,0.525016752,0.422565386,0.567181826,0.765016728,0.518193436,0.518815213,0.495483787
CA Pujara,,,0.615244709,0.439814815,0.333333333,0.488020833,0.600943256,,,,0.495471389
MK Tiwary,0.55,0.25,0.488383838,0.565703954,0.514983919,0.416820988,0.508026696,0.533333333,,0.613670262,0.493435888
RJ Peterson,,,,,0.493333333,,,,,,0.493333333
AR Patel,,,,,,,0.269264069,0.514508177,0.578075397,0.608638584,0.492621557
SP Goswami,0.499158249,0.502777778,0.666666667,0.428571429,0.35978836,,,,,,0.491392496
HM Amla,,,,,,,,,0.436403509,0.542845488,0.489624498
TM Head,,,,,,,,,0.559259259,0.418154762,0.488707011
KM Jadhav,,,0.535185185,0.21875,,0.426433983,0.546468254,0.482882395,0.560185185,0.626994302,0.485271329
TL Suman,,0.557957552,0.534144408,0.481481481,0.4375,0.415,,,,,0.485216688
M Manhas,,0.437037037,0.451367845,0.304384921,0.625613276,0.266666667,0.825,,,,0.485011624
JH Kallis,0.512056714,0.534317357,0.538780938,0.495880578,0.432933604,0.392541949,0.474206349,,,,0.482959641
DT Christian,,,,0.486930199,0.575396825,0.236111111,,,,0.62962963,0.482016941
SS Iyer,,,,,,,,0.660811659,0.198412698,0.585636123,0.48162016
Niraj Patel,0.651988636,0.311111111,,,,,,,,,0.481549874
GC Smith,0.615392015,0.340528973,0.573412698,0.389880952,,,,,,,0.47980366
KV Sharma,,0.166666667,,,,0.477283034,0.4375,0.544753086,0.666666667,0.581018519,0.478981329
TM Dilshan,0.502409297,0.656620717,0.300154321,0.478403395,0.510678646,0.421825397,,,,,0.478348629
MR Marsh,,,0.529761905,0.37654321,,0.617992424,,,0.388888889,,0.478296607
RJ Harris,,0.6,0.522222222,0.351190476,0.75,0.166666667,,,,,0.478015873
Sunny Singh,,,,0.477777778,,,,,,,0.477777778
IK Pathan,0.578710317,0.619862314,0.633852259,0.56517094,0.610697751,0.470034595,0.402777778,,0.248148148,0.166666667,0.47732453
LR Shukla,0.656123737,0.408048433,0.736111111,0.583333333,0.465079365,0.145833333,0.342592593,,,,0.476731701
J Suchith,,,,,,,,0.475,,,0.475
AP Tare,,,0.673611111,,,0.580911681,0.649062049,0.479166667,0.2,0.266666667,0.474903029
RR Powar,0.69047619,0.611111111,0.291666667,0.305555556,,,,,,,0.474702381
J Syed Mohammad,,,,0.486111111,0.666666667,0.270833333,,,,,0.474537037
PP Chawla,0.726190476,0.321180556,0.655092593,0.490740741,0.575231481,0.423611111,0.505555556,0.43452381,0.5,0.111111111,0.474323743
KK Nair,,,,,,0.15,0.584034989,0.504896724,0.569827374,0.561403792,0.474032576
S Sohal,0.166666667,0.628125,,0.613015873,,,,,,,0.46926918
DB Ravi Teja,0.589506173,0.56712963,,0.522597002,0.333333333,0.333333333,,,,,0.469179894
Misbah-ul-Haq,0.468171296,,,,,,,,,,0.468171296
SC Ganguly,0.635612536,0.326426414,0.587483653,0.339506173,0.451203704,,,,,,0.468046496
MG Johnson,,,,,,0.506944444,0.421875,0.444444444,0.1875,0.777777778,0.467708333
AS Raut,,0.488636364,0.314285714,0.600198413,,,,,,,0.46770683
PR Shah,0.513888889,0.46875,,0.416666667,,,,,,,0.466435185
RV Gomez,,,,0.2625,,0.666666667,,,,,0.464583333
VH Zol,,,,,,,0.461309524,,,,0.461309524
B Chipli,0.444444444,,,0.441287879,0.343253968,0.611111111,,,,,0.460024351
AA Noffke,0.458333333,,,,,,,,,,0.458333333
SA Abbott,,,,,,,,0.458333333,,,0.458333333
MK Pandey,0.125,0.524920255,0.483580771,0.5724841,0.416130604,0.418831169,0.523643605,0.468011464,0.48008658,0.562526285,0.457521483
CM Gautam,,,,,,0.451388889,0.581069959,0.333333333,,,0.45526406
Ankit Sharma,,,,,0.333333333,,0.773809524,0.194444444,0.25,0.722222222,0.454761905
HV Patel,,,,,0.361111111,,0.555555556,0.444444444,,,0.453703704
AM Nayar,0.568518519,0.544929818,0.497222222,0.331790123,0.4,0.271296296,0.548611111,,,,0.45176687
MJ Clarke,,,,,0.450637326,,,,,,0.450637326
M Morkel,,0.5,0.236111111,0.755555556,0.166666667,0.6875,0.416666667,0.666666667,0.166666667,,0.449479167
WPUJC Vaas,0.385416667,0.555555556,0.397777778,,,,,,,,0.44625
Y Nagar,,0.611111111,0.166666667,0.481203704,0.524007937,,,,,,0.445747354
A Mithun,,,0.416666667,0.583333333,,0.333333333,,,,,0.444444444
Ankit Soni,,,,,,,,,,0.444444444,0.444444444
F Behardien,,,,,,,,,0.444444444,,0.444444444
L Ronchi,0.722222222,0.166666667,,,,,,,,,0.444444444
CR Woakes,,,,,,,,,,0.44047619,0.44047619
N Saini,,,,,0.439142247,,,,,,0.439142247
R Vinay Kumar,0.370833333,0.616666667,0.310555556,0.406462585,0.446428571,1.132142857,0.166666667,0.166666667,0.333333333,,0.438861804
SD Chitnis,0.75,0.291666667,,0.3,0.411237374,,,,,,0.43822601
Shakib Al Hasan,,,,0.403703704,0.544444444,,0.575577201,0.537037037,0.401488095,0.166666667,0.438152858
R Sathish,,,0.522916667,0.288359788,,0.565972222,,,0.375,,0.438062169
NM Coulter-Nile,,,,,,0.5,,0.522222222,0.2,0.527777778,0.4375
Sachin Baby,,,,,,0.333333333,,,0.60297619,0.37037037,0.435559965
R Rampaul,,,,,,0.435185185,0.433333333,,,,0.434259259
