player,season,match_id,no. of runs,no. of overs,no. of balls,strike rate
AM Rahane,2015,529,65,19,114,0.5701754385964912
AM Rahane,2015,533,76,17,102,0.7450980392156863
AM Rahane,2015,536,76,18,108,0.7037037037037037
AM Rahane,2015,540,19,3,18,1.0555555555555556
AM Rahane,2015,549,19,4,24,0.7916666666666666
AM Rahane,2015,553,94,19,114,0.8245614035087719
AM Rahane,2015,558,8,1,6,1.3333333333333333
AM Rahane,2015,563,23,5,30,0.7666666666666667
AM Rahane,2015,570,42,6,36,1.1666666666666667
AM Rahane,2015,574,43,13,78,0.5512820512820513
AM Rahane,2016,577,67,14,84,0.7976190476190477
AM Rahane,2016,582,21,4,24,0.875
AM Rahane,2016,586,9,3,18,0.5
AM Rahane,2016,592,62,15,90,0.6888888888888889
AM Rahane,2016,596,67,18,108,0.6203703703703703
AM Rahane,2016,598,0,1,6,0.0
AM Rahane,2016,601,57,14,84,0.6785714285714286
AM Rahane,2016,605,5,2,12,0.4166666666666667
AM Rahane,2016,609,70,20,120,0.5833333333333334
AM Rahane,2016,611,75,19,114,0.6578947368421053
AM Rahane,2016,616,0,1,6,0.0
AM Rahane,2016,621,3,3,18,0.16666666666666666
AM Rahane,2016,625,42,11,66,0.6363636363636364
AM Rahane,2016,629,19,5,30,0.6333333333333333
AM Rahane,2017,2,60,11,66,0.9090909090909091
AM Rahane,2017,4,19,7,42,0.4523809523809524
AM Rahane,2017,9,11,3,18,0.6111111111111112
AM Rahane,2017,13,0,1,6,0.0
AM Rahane,2017,17,31,7,42,0.7380952380952381
AM Rahane,2017,25,3,3,18,0.16666666666666666
AM Rahane,2017,28,39,10,60,0.65
AM Rahane,2017,29,47,14,84,0.5595238095238095
AM Rahane,2017,33,6,4,24,0.25
AM Rahane,2017,38,4,1,6,0.6666666666666666
AM Rahane,2017,40,11,2,12,0.9166666666666666
AM Rahane,2017,43,22,7,42,0.5238095238095238
AM Rahane,2017,51,0,1,6,0.0
AM Rahane,2017,54,34,11,66,0.5151515151515151
AM Rahane,2017,56,57,13,78,0.7307692307692307
AM Rahane,2017,59,44,12,72,0.6111111111111112
AN Ahmed,2010,211,6,3,18,0.3333333333333333
AN Ahmed,2011,306,18,4,24,0.75
AN Ahmed,2014,499,4,1,6,0.6666666666666666
AN Ahmed,2015,522,5,1,6,0.8333333333333334
AN Ahmed,2015,525,4,2,12,0.3333333333333333
AN Ahmed,2015,534,1,1,6,0.16666666666666666
AN Ghosh,2009,132,0,1,6,0.0
AN Ghosh,2009,156,7,3,18,0.3888888888888889
AP Dole,2010,210,4,2,12,0.3333333333333333
AP Dole,2010,219,31,6,36,0.8611111111111112
AP Majumdar,2012,358,30,6,36,0.8333333333333334
AP Majumdar,2012,362,33,11,66,0.5
AP Majumdar,2012,365,9,3,18,0.5
AP Majumdar,2012,375,18,7,42,0.42857142857142855
AP Tare,2010,176,26,4,24,1.0833333333333333
AP Tare,2010,183,17,3,18,0.9444444444444444
AP Tare,2010,188,12,4,24,0.5
AP Tare,2010,230,1,1,6,0.16666666666666666
AP Tare,2013,447,59,13,78,0.7564102564102564
AP Tare,2013,450,22,4,24,0.9166666666666666
AP Tare,2013,454,7,2,12,0.5833333333333334
AP Tare,2013,456,35,9,54,0.6481481481481481
AP Tare,2013,457,0,1,6,0.0
AP Tare,2014,458,24,8,48,0.5
AP Tare,2014,462,25,7,42,0.5952380952380952
AP Tare,2014,470,23,5,30,0.7666666666666667
AP Tare,2014,473,12,4,24,0.5
AP Tare,2014,477,7,2,12,0.5833333333333334
AP Tare,2014,479,16,2,12,1.3333333333333333
AP Tare,2014,490,9,2,12,0.75
AP Tare,2014,497,2,1,6,0.3333333333333333
AP Tare,2014,508,14,3,18,0.7777777777777778
AP Tare,2014,513,6,1,6,1.0
AP Tare,2014,515,0,1,6,0.0
AP Tare,2015,518,8,2,12,0.6666666666666666
AP Tare,2015,524,7,4,24,0.2916666666666667
AP Tare,2016,594,0,1,6,0.0
AP Tare,2016,598,12,5,30,0.4
AP Tare,2017,5,19,5,30,0.6333333333333333
AP Tare,2017,9,2,2,12,0.16666666666666666
AP Tare,2017,24,0,1,6,0.0
AR Bawne,2017,31,12,3,18,0.6666666666666666
AR Patel,2014,460,2,2,12,0.16666666666666666
AR Patel,2014,472,7,5,30,0.23333333333333334
AR Patel,2014,488,2,2,12,0.16666666666666666
AR Patel,2014,491,1,1,6,0.16666666666666666
AR Patel,2014,502,43,11,66,0.6515151515151515
AR Patel,2014,505,6,3,18,0.3333333333333333
AR Patel,2014,514,2,2,12,0.16666666666666666
AR Patel,2015,520,26,11,66,0.3939393939393939
AR Patel,2015,528,13,3,18,0.7222222222222222
AR Patel,2015,532,2,2,12,0.16666666666666666
AR Patel,2015,536,12,3,18,0.6666666666666666
AR Patel,2015,542,9,3,18,0.5
AR Patel,2015,544,17,6,36,0.4722222222222222
AR Patel,2015,548,28,10,60,0.4666666666666667
AR Patel,2015,552,0,1,6,0.0
AR Patel,2015,557,40,7,42,0.9523809523809523
AR Patel,2015,564,17,5,30,0.5666666666666667
AR Patel,2015,566,21,5,30,0.7
AR Patel,2015,569,34,10,60,0.5666666666666667
AR Patel,2016,579,4,1,6,0.6666666666666666
AR Patel,2016,583,11,8,48,0.22916666666666666
AR Patel,2016,589,9,3,18,0.5
AR Patel,2016,594,36,7,42,0.8571428571428571
AR Patel,2016,597,0,2,12,0.0
AR Patel,2016,604,0,1,6,0.0
AR Patel,2016,608,21,3,18,1.1666666666666667
AR Patel,2016,612,17,2,12,1.4166666666666667
AR Patel,2016,626,16,3,18,0.8888888888888888
AR Patel,2016,629,1,3,18,0.05555555555555555
AR Patel,2017,4,27,7,42,0.6428571428571429
AR Patel,2017,8,9,3,18,0.5
AR Patel,2017,11,0,1,6,0.0
AR Patel,2017,15,44,10,60,0.7333333333333333
AR Patel,2017,19,7,4,24,0.2916666666666667
AR Patel,2017,22,5,2,12,0.4166666666666667
AR Patel,2017,26,35,5,30,1.1666666666666667
AR Patel,2017,32,16,3,18,0.8888888888888888
AR Patel,2017,42,41,5,30,1.3666666666666667
AR Patel,2017,46,2,1,6,0.3333333333333333
AR Patel,2017,48,9,5,30,0.3
AR Patel,2017,50,19,5,30,0.6333333333333333
AR Patel,2017,54,23,6,36,0.6388888888888888
AS Rajpoot,2013,386,2,2,12,0.16666666666666666
AS Rajpoot,2017,58,4,2,12,0.3333333333333333
AS Raut,2009,126,26,3,18,1.4444444444444444
AS Raut,2009,130,1,3,18,0.05555555555555555
AS Raut,2009,140,36,11,66,0.5454545454545454
AS Raut,2009,145,1,1,6,0.16666666666666666
AS Raut,2009,152,7,2,12,0.5833333333333334
AS Raut,2009,155,1,1,6,0.16666666666666666
AS Raut,2009,165,11,4,24,0.4583333333333333
AS Raut,2010,206,2,2,12,0.16666666666666666
AS Raut,2010,210,0,1,6,0.0
AS Raut,2010,219,20,7,42,0.47619047619047616
AS Raut,2010,223,32,7,42,0.7619047619047619
AS Raut,2010,227,2,2,12,0.16666666666666666
AS Raut,2011,251,11,4,24,0.4583333333333333
AS Raut,2011,256,25,7,42,0.5952380952380952
AS Raut,2011,285,19,4,24,0.7916666666666666
AS Raut,2011,288,10,3,18,0.5555555555555556
AS Yadav,2008,64,11,4,24,0.4583333333333333
AS Yadav,2008,66,12,3,18,0.6666666666666666
AS Yadav,2008,68,17,2,12,1.4166666666666667
AS Yadav,2008,80,8,3,18,0.4444444444444444
AS Yadav,2008,111,4,2,12,0.3333333333333333
AS Yadav,2008,114,0,1,6,0.0
AT Rayudu,2010,176,58,11,66,0.8787878787878788
AT Rayudu,2010,183,35,7,42,0.8333333333333334
AT Rayudu,2010,188,3,2,12,0.25
AT Rayudu,2010,199,7,3,18,0.3888888888888889
AT Rayudu,2010,201,15,5,30,0.5
AT Rayudu,2010,207,57,9,54,1.0555555555555556
AT Rayudu,2010,211,3,1,6,0.5
AT Rayudu,2010,215,33,5,30,1.1
AT Rayudu,2010,219,0,1,6,0.0
AT Rayudu,2010,221,25,7,42,0.5952380952380952
AT Rayudu,2010,226,53,7,42,1.2619047619047619
AT Rayudu,2010,230,28,5,30,0.9333333333333333
AT Rayudu,2010,231,44,15,90,0.4888888888888889
AT Rayudu,2010,234,23,6,36,0.6388888888888888
AT Rayudu,2011,238,16,6,36,0.4444444444444444
AT Rayudu,2011,242,64,15,90,0.7111111111111111
AT Rayudu,2011,247,53,12,72,0.7361111111111112
AT Rayudu,2011,254,42,14,84,0.5
AT Rayudu,2011,257,28,10,60,0.4666666666666667
AT Rayudu,2011,260,7,3,18,0.3888888888888889
AT Rayudu,2011,267,12,6,36,0.3333333333333333
AT Rayudu,2011,273,51,13,78,0.6538461538461539
AT Rayudu,2011,277,27,9,54,0.5
AT Rayudu,2011,282,61,14,84,0.7261904761904762
AT Rayudu,2011,287,13,5,30,0.43333333333333335
AT Rayudu,2011,292,2,2,12,0.16666666666666666
AT Rayudu,2011,299,2,3,18,0.1111111111111111
AT Rayudu,2011,303,20,3,18,1.1111111111111112
AT Rayudu,2011,305,12,5,30,0.4
AT Rayudu,2011,306,0,1,6,0.0
AT Rayudu,2012,308,18,9,54,0.3333333333333333
AT Rayudu,2012,310,1,2,12,0.08333333333333333
AT Rayudu,2012,316,20,8,48,0.4166666666666667
AT Rayudu,2012,319,48,13,78,0.6153846153846154
AT Rayudu,2012,327,5,5,30,0.16666666666666666
AT Rayudu,2012,336,4,2,12,0.3333333333333333
AT Rayudu,2012,340,35,7,42,0.8333333333333334
AT Rayudu,2012,342,64,13,78,0.8205128205128205
AT Rayudu,2012,346,20,5,30,0.6666666666666666
AT Rayudu,2012,351,1,2,12,0.08333333333333333
AT Rayudu,2012,355,0,1,6,0.0
AT Rayudu,2012,360,22,6,36,0.6111111111111112
AT Rayudu,2012,367,86,17,102,0.8431372549019608
AT Rayudu,2012,370,11,4,24,0.4583333333333333
AT Rayudu,2012,379,12,2,12,1.0
AT Rayudu,2013,383,20,6,36,0.5555555555555556
AT Rayudu,2013,386,7,4,24,0.2916666666666667
AT Rayudu,2013,390,24,3,18,1.3333333333333333
AT Rayudu,2013,403,27,10,60,0.45
AT Rayudu,2013,408,2,1,6,0.3333333333333333
