player,season,match_id,no. of runs,no. of overs,no. of balls,strike rate
GC Smith,2008,78,2,2,12,0.16666666666666666
GC Smith,2008,83,51,15,90,0.5666666666666667
GC Smith,2008,86,5,3,18,0.2777777777777778
GC Smith,2008,89,41,14,84,0.4880952380952381
GC Smith,2008,93,31,9,54,0.5740740740740741
GC Smith,2008,101,89,18,108,0.8240740740740741
GC Smith,2008,105,24,6,36,0.6666666666666666
GC Smith,2008,110,93,14,84,1.1071428571428572
GC Smith,2008,115,26,5,30,0.8666666666666667
GC Smith,2009,119,3,3,18,0.16666666666666666
GC Smith,2009,126,17,7,42,0.40476190476190477
GC Smith,2009,130,4,2,12,0.3333333333333333
GC Smith,2009,133,47,16,96,0.4895833333333333
GC Smith,2009,137,2,2,12,0.16666666666666666
GC Smith,2009,140,0,1,6,0.0
GC Smith,2009,145,79,14,84,0.9404761904761905
GC Smith,2009,148,20,6,36,0.5555555555555556
GC Smith,2009,152,32,13,78,0.41025641025641024
GC Smith,2009,155,1,2,12,0.08333333333333333
GC Smith,2009,160,19,7,42,0.4523809523809524
GC Smith,2009,165,1,2,12,0.08333333333333333
GC Smith,2010,176,26,7,42,0.6190476190476191
GC Smith,2010,180,19,6,36,0.5277777777777778
GC Smith,2011,239,0,1,6,0.0
GC Smith,2011,244,27,7,42,0.6428571428571429
GC Smith,2011,250,12,3,18,0.6666666666666666
GC Smith,2011,277,6,4,24,0.25
GD McGrath,2008,82,0,1,6,0.0
GD McGrath,2008,115,4,1,6,0.6666666666666666
GH Vihari,2013,384,11,4,24,0.4583333333333333
GH Vihari,2013,388,47,17,102,0.46078431372549017
GH Vihari,2013,394,17,8,48,0.3541666666666667
GH Vihari,2013,397,1,2,12,0.08333333333333333
GH Vihari,2013,402,2,2,12,0.16666666666666666
GH Vihari,2013,405,46,12,72,0.6388888888888888
GH Vihari,2013,414,2,2,12,0.16666666666666666
GH Vihari,2013,416,4,5,30,0.13333333333333333
GH Vihari,2013,423,26,10,60,0.43333333333333335
GH Vihari,2013,428,13,3,18,0.7222222222222222
GH Vihari,2013,432,4,1,6,0.6666666666666666
GH Vihari,2013,435,3,3,18,0.16666666666666666
GH Vihari,2013,440,5,2,12,0.4166666666666667
GH Vihari,2013,444,42,14,84,0.5
GH Vihari,2013,449,21,10,60,0.35
GH Vihari,2013,453,13,5,30,0.43333333333333335
GH Vihari,2013,455,1,2,12,0.08333333333333333
GH Vihari,2015,541,17,4,24,0.7083333333333334
GH Vihari,2015,544,9,3,18,0.5
GH Vihari,2015,551,8,3,18,0.4444444444444444
GH Vihari,2015,555,7,4,24,0.2916666666666667
GJ Bailey,2009,166,36,10,60,0.6
GJ Bailey,2009,169,15,5,30,0.5
GJ Bailey,2010,192,22,8,48,0.4583333333333333
GJ Bailey,2014,460,17,4,24,0.7083333333333334
GJ Bailey,2014,466,10,4,24,0.4166666666666667
GJ Bailey,2014,472,11,5,30,0.36666666666666664
GJ Bailey,2014,475,17,7,42,0.40476190476190477
GJ Bailey,2014,479,15,4,24,0.625
GJ Bailey,2014,486,41,4,24,1.7083333333333333
GJ Bailey,2014,488,1,3,18,0.05555555555555555
GJ Bailey,2014,491,12,5,30,0.4
GJ Bailey,2014,496,35,6,36,0.9722222222222222
GJ Bailey,2014,502,6,3,18,0.3333333333333333
GJ Bailey,2014,505,39,10,60,0.65
GJ Bailey,2014,509,29,6,36,0.8055555555555556
GJ Bailey,2014,512,1,1,6,0.16666666666666666
GJ Bailey,2014,514,26,8,48,0.5416666666666666
GJ Bailey,2014,516,1,1,6,0.16666666666666666
GJ Bailey,2014,517,1,2,12,0.08333333333333333
GJ Bailey,2015,520,26,6,36,0.7222222222222222
GJ Bailey,2015,524,63,10,60,1.05
GJ Bailey,2015,528,19,4,24,0.7916666666666666
GJ Bailey,2015,532,61,16,96,0.6354166666666666
GJ Bailey,2015,542,1,2,12,0.08333333333333333
GJ Bailey,2015,544,24,5,30,0.8
GJ Bailey,2015,548,18,5,30,0.6
GJ Bailey,2015,552,22,7,42,0.5238095238095238
GJ Bailey,2015,557,2,3,18,0.1111111111111111
GJ Bailey,2015,564,6,4,24,0.25
GJ Bailey,2015,566,13,5,30,0.43333333333333335
GJ Bailey,2015,569,12,3,18,0.6666666666666666
GJ Bailey,2016,611,1,1,6,0.16666666666666666
GJ Bailey,2016,616,35,12,72,0.4861111111111111
GJ Bailey,2016,621,33,9,54,0.6111111111111112
GJ Bailey,2016,625,12,8,48,0.25
GJ Bailey,2016,629,9,3,18,0.5
GJ Maxwell,2012,309,5,4,24,0.20833333333333334
GJ Maxwell,2012,312,3,2,12,0.25
GJ Maxwell,2013,439,13,2,12,1.0833333333333333
GJ Maxwell,2013,447,23,4,24,0.9583333333333334
GJ Maxwell,2013,450,0,1,6,0.0
GJ Maxwell,2014,460,101,12,72,1.4027777777777777
GJ Maxwell,2014,464,93,12,72,1.2916666666666667
GJ Maxwell,2014,466,97,11,66,1.4696969696969697
GJ Maxwell,2014,472,17,4,24,0.7083333333333334
GJ Maxwell,2014,475,6,2,12,0.5
GJ Maxwell,2014,479,50,9,54,0.9259259259259259
GJ Maxwell,2014,486,94,13,78,1.205128205128205
GJ Maxwell,2014,488,26,4,24,1.0833333333333333
GJ Maxwell,2014,491,14,6,36,0.3888888888888889
GJ Maxwell,2014,496,45,7,42,1.0714285714285714
GJ Maxwell,2014,502,17,3,18,0.9444444444444444
GJ Maxwell,2014,505,2,2,12,0.16666666666666666
GJ Maxwell,2014,512,1,2,12,0.08333333333333333
GJ Maxwell,2014,514,7,2,12,0.5833333333333334
GJ Maxwell,2014,516,15,2,12,1.25
GJ Maxwell,2014,517,0,1,6,0.0
GJ Maxwell,2015,520,7,2,12,0.5833333333333334
GJ Maxwell,2015,524,6,2,12,0.5
GJ Maxwell,2015,528,15,1,6,2.5
GJ Maxwell,2015,532,39,9,54,0.7222222222222222
GJ Maxwell,2015,536,2,4,24,0.08333333333333333
GJ Maxwell,2015,552,12,4,24,0.5
GJ Maxwell,2015,557,1,2,12,0.08333333333333333
GJ Maxwell,2015,560,45,7,42,1.0714285714285714
GJ Maxwell,2015,564,11,2,12,0.9166666666666666
GJ Maxwell,2015,566,10,3,18,0.5555555555555556
GJ Maxwell,2015,569,6,5,30,0.2
GJ Maxwell,2016,579,2,2,12,0.16666666666666666
GJ Maxwell,2016,583,0,1,6,0.0
GJ Maxwell,2016,586,32,4,24,1.3333333333333333
GJ Maxwell,2016,589,6,3,18,0.3333333333333333
GJ Maxwell,2016,594,1,1,6,0.16666666666666666
GJ Maxwell,2016,597,57,14,84,0.6785714285714286
GJ Maxwell,2016,604,0,1,6,0.0
GJ Maxwell,2016,608,72,13,78,0.9230769230769231
GJ Maxwell,2016,612,17,4,24,0.7083333333333334
GJ Maxwell,2016,619,1,1,6,0.16666666666666666
GJ Maxwell,2017,4,49,8,48,1.0208333333333333
GJ Maxwell,2017,8,46,7,42,1.0952380952380953
GJ Maxwell,2017,11,25,6,36,0.6944444444444444
GJ Maxwell,2017,15,0,1,6,0.0
GJ Maxwell,2017,19,10,3,18,0.5555555555555556
GJ Maxwell,2017,22,43,6,36,1.1944444444444444
GJ Maxwell,2017,26,31,6,36,0.8611111111111112
GJ Maxwell,2017,32,0,2,12,0.0
GJ Maxwell,2017,42,15,3,18,0.8333333333333334
GJ Maxwell,2017,46,20,4,24,0.8333333333333334
GJ Maxwell,2017,48,47,8,48,0.9791666666666666
GJ Maxwell,2017,50,48,6,36,1.3333333333333333
GJ Maxwell,2017,54,1,1,6,0.16666666666666666
GR Napier,2009,138,15,5,30,0.5
Gurkeerat Singh,2012,354,25,9,54,0.46296296296296297
Gurkeerat Singh,2012,366,33,4,24,1.375
Gurkeerat Singh,2012,369,8,1,6,1.3333333333333333
Gurkeerat Singh,2012,374,27,5,30,0.9
Gurkeerat Singh,2013,391,37,9,54,0.6851851851851852
Gurkeerat Singh,2013,398,10,5,30,0.3333333333333333
Gurkeerat Singh,2013,400,0,1,6,0.0
Gurkeerat Singh,2013,405,18,5,30,0.6
Gurkeerat Singh,2013,415,29,6,36,0.8055555555555556
Gurkeerat Singh,2013,421,2,2,12,0.16666666666666666
Gurkeerat Singh,2013,425,0,1,6,0.0
Gurkeerat Singh,2013,448,21,6,36,0.5833333333333334
Gurkeerat Singh,2013,450,0,1,6,0.0
Gurkeerat Singh,2015,532,11,4,24,0.4583333333333333
Gurkeerat Singh,2015,560,6,3,18,0.3333333333333333
Gurkeerat Singh,2015,564,3,3,18,0.16666666666666666
Gurkeerat Singh,2015,566,2,2,12,0.16666666666666666
Gurkeerat Singh,2015,569,16,4,24,0.6666666666666666
Gurkeerat Singh,2016,604,0,1,6,0.0
Gurkeerat Singh,2016,608,12,5,30,0.4
Gurkeerat Singh,2016,619,6,2,12,0.5
Gurkeerat Singh,2016,622,27,7,42,0.6428571428571429
Gurkeerat Singh,2016,626,18,7,42,0.42857142857142855
Gurkeerat Singh,2016,629,51,10,60,0.85
H Das,2008,102,2,2,12,0.16666666666666666
HH Gibbs,2008,77,8,4,24,0.3333333333333333
HH Gibbs,2008,80,54,11,66,0.8181818181818182
HH Gibbs,2008,85,10,4,24,0.4166666666666667
HH Gibbs,2008,89,19,6,36,0.5277777777777778
HH Gibbs,2008,92,6,3,18,0.3333333333333333
HH Gibbs,2008,98,23,7,42,0.5476190476190477
HH Gibbs,2008,108,47,12,72,0.6527777777777778
HH Gibbs,2008,111,5,2,12,0.4166666666666667
HH Gibbs,2008,114,9,3,18,0.5
HH Gibbs,2009,121,45,13,78,0.5769230769230769
HH Gibbs,2009,124,13,3,18,0.7222222222222222
HH Gibbs,2009,128,62,15,90,0.6888888888888889
HH Gibbs,2009,131,75,19,114,0.6578947368421053
HH Gibbs,2009,136,0,2,12,0.0
HH Gibbs,2009,140,9,4,24,0.375
HH Gibbs,2009,144,1,1,6,0.16666666666666666
HH Gibbs,2009,147,2,2,12,0.16666666666666666
HH Gibbs,2009,151,13,7,42,0.30952380952380953
HH Gibbs,2009,163,28,12,72,0.3888888888888889
HH Gibbs,2009,164,26,10,60,0.43333333333333335
HH Gibbs,2009,171,70,14,84,0.8333333333333334
HH Gibbs,2009,172,1,1,6,0.16666666666666666
HH Gibbs,2009,174,57,18,108,0.5277777777777778
HH Gibbs,2010,175,21,7,42,0.5
HH Gibbs,2010,179,51,13,78,0.6538461538461539
HH Gibbs,2010,186,23,8,48,0.4791666666666667
HH Gibbs,2010,189,31,9,54,0.5740740740740741
HH Gibbs,2010,195,28,5,30,0.9333333333333333
HH Gibbs,2010,199,29,5,30,0.9666666666666667
HH Gibbs,2010,204,55,15,90,0.6111111111111112
HH Gibbs,2010,207,17,5,30,0.5666666666666667
HH Gibbs,2010,220,12,3,18,0.6666666666666666
HH Gibbs,2010,232,19,9,54,0.35185185185185186
HH Gibbs,2012,363,67,18,108,0.6203703703703703
HH Gibbs,2012,367,4,2,12,0.3333333333333333
HH Gibbs,2012,370,15,6,36,0.4166666666666667
HH Pandya,2015,534,17,2,12,1.4166666666666667
HH Pandya,2015,539,0,1,6,0.0
HH Pandya,2015,556,7,2,12,0.5833333333333334
HH Pandya,2015,559,22,3,18,1.2222222222222223
HH Pandya,2015,562,8,2,12,0.6666666666666666
HH Pandya,2015,567,67,9,54,1.2407407407407407
HH Pandya,2015,573,1,2,12,0.08333333333333333
HH Pandya,2015,576,0,1,6,0.0
HH Pandya,2016,577,14,4,24,0.5833333333333334
HH Pandya,2016,581,14,6,36,0.3888888888888889
HH Pandya,2016,585,2,3,18,0.1111111111111111
HH Pandya,2016,588,2,2,12,0.16666666666666666
HH Pandya,2016,590,2,2,12,0.16666666666666666
HH Pandya,2016,593,2,1,6,0.3333333333333333
HH Pandya,2016,597,4,2,12,0.3333333333333333
HH Pandya,2016,613,7,6,36,0.19444444444444445
HH Pandya,2016,630,8,3,18,0.4444444444444444
HH Pandya,2017,2,38,5,30,1.2666666666666666
HH Pandya,2017,7,31,4,24,1.2916666666666667
HH Pandya,2017,10,2,2,12,0.16666666666666666
HH Pandya,2017,12,10,2,12,0.8333333333333334
HH Pandya,2017,16,7,1,6,1.1666666666666667
HH Pandya,2017,22,15,2,12,1.25
HH Pandya,2017,24,25,8,48,0.5208333333333334
HH Pandya,2017,28,15,4,24,0.625
HH Pandya,2017,34,4,3,18,0.2222222222222222
HH Pandya,2017,37,15,4,24,0.625
HH Pandya,2017,44,33,5,30,1.1
HH Pandya,2017,47,16,8,48,0.3333333333333333
HH Pandya,2017,50,31,5,30,1.0333333333333334
HH Pandya,2017,53,2,2,12,0.16666666666666666
HH Pandya,2017,56,14,4,24,0.5833333333333334
HH Pandya,2017,59,10,3,18,0.5555555555555556
HM Amla,2016,612,1,2,12,0.08333333333333333
HM Amla,2016,615,21,6,36,0.5833333333333334
HM Amla,2016,619,0,1,6,0.0
HM Amla,2016,622,99,19,114,0.868421052631579
HM Amla,2016,626,9,4,24,0.375
HM Amla,2016,629,34,8,48,0.7083333333333334
HM Amla,2017,4,28,11,66,0.42424242424242425
HM Amla,2017,8,60,15,90,0.6666666666666666
HM Amla,2017,11,27,10,60,0.45
HM Amla,2017,15,19,5,30,0.6333333333333333
HM Amla,2017,19,0,1,6,0.0
HM Amla,2017,22,111,20,120,0.925
HM Amla,2017,26,67,13,78,0.8589743589743589
HM Amla,2017,35,18,7,42,0.42857142857142855
HM Amla,2017,42,1,1,6,0.16666666666666666
HM Amla,2017,46,105,20,120,0.875
HV Patel,2012,312,0,1,6,0.0
HV Patel,2012,317,12,3,18,0.6666666666666666
HV Patel,2012,376,5,2,12,0.4166666666666667
HV Patel,2014,481,1,1,6,0.16666666666666666
HV Patel,2014,484,6,1,6,1.0
HV Patel,2014,488,6,2,12,0.5
HV Patel,2015,522,9,2,12,0.75
HV Patel,2015,525,3,1,6,0.5
HV Patel,2015,538,0,1,6,0.0
HV Patel,2015,546,7,1,6,1.1666666666666667
HV Patel,2015,554,0,1,6,0.0
HV Patel,2015,575,3,2,12,0.25
Harbhajan Singh,2008,63,2,1,6,0.3333333333333333
Harbhajan Singh,2008,67,28,4,24,1.1666666666666667
Harbhajan Singh,2008,69,0,1,6,0.0
Harbhajan Singh,2009,118,4,1,6,0.6666666666666666
Harbhajan Singh,2009,128,21,4,24,0.875
Harbhajan Singh,2009,132,18,2,12,1.5
Harbhajan Singh,2009,135,6,2,12,0.5
Harbhajan Singh,2009,138,7,3,18,0.3888888888888889
Harbhajan Singh,2009,147,0,1,6,0.0
Harbhajan Singh,2009,150,10,3,18,0.5555555555555556
Harbhajan Singh,2009,160,9,5,30,0.3
Harbhajan Singh,2009,162,1,1,6,0.16666666666666666
Harbhajan Singh,2009,170,15,2,12,1.25
Harbhajan Singh,2010,176,9,2,12,0.75
Harbhajan Singh,2010,188,4,3,18,0.2222222222222222
Harbhajan Singh,2010,199,51,4,24,2.125
Harbhajan Singh,2010,201,1,1,6,0.16666666666666666
Harbhajan Singh,2010,211,39,7,42,0.9285714285714286
Harbhajan Singh,2010,215,10,3,18,0.5555555555555556
Harbhajan Singh,2010,234,1,1,6,0.16666666666666666
Harbhajan Singh,2011,267,10,3,18,0.5555555555555556
Harbhajan Singh,2011,277,9,2,12,0.75
Harbhajan Singh,2011,287,12,2,12,1.0
Harbhajan Singh,2011,292,18,4,24,0.75
Harbhajan Singh,2011,299,1,1,6,0.16666666666666666
Harbhajan Singh,2011,303,37,8,48,0.7708333333333334
Harbhajan Singh,2011,305,11,2,12,0.9166666666666666
Harbhajan Singh,2011,306,13,3,18,0.7222222222222222
Harbhajan Singh,2012,310,16,4,24,0.6666666666666666
Harbhajan Singh,2012,319,18,2,12,1.5
Harbhajan Singh,2012,327,36,9,54,0.6666666666666666
Harbhajan Singh,2012,336,4,2,12,0.3333333333333333
Harbhajan Singh,2012,340,0,1,6,0.0
Harbhajan Singh,2012,342,16,5,30,0.5333333333333333
Harbhajan Singh,2012,351,0,1,6,0.0
Harbhajan Singh,2012,355,0,1,6,0.0
Harbhajan Singh,2012,360,20,4,24,0.8333333333333334
Harbhajan Singh,2012,370,1,2,12,0.08333333333333333
Harbhajan Singh,2012,379,1,2,12,0.08333333333333333
Harbhajan Singh,2013,383,1,1,6,0.16666666666666666
Harbhajan Singh,2013,386,23,8,48,0.4791666666666667
Harbhajan Singh,2013,390,1,1,6,0.16666666666666666
Harbhajan Singh,2013,403,1,1,6,0.16666666666666666
Harbhajan Singh,2013,413,7,1,6,1.1666666666666667
Harbhajan Singh,2013,417,16,3,18,0.8888888888888888
Harbhajan Singh,2013,430,25,4,24,1.0416666666666667
Harbhajan Singh,2013,439,4,1,6,0.6666666666666666
Harbhajan Singh,2013,447,15,4,24,0.625
Harbhajan Singh,2013,450,5,4,24,0.20833333333333334
Harbhajan Singh,2013,454,0,2,12,0.0
Harbhajan Singh,2013,456,6,3,18,0.3333333333333333
Harbhajan Singh,2013,457,15,3,18,0.8333333333333334
Harbhajan Singh,2014,458,0,1,6,0.0
Harbhajan Singh,2014,462,8,3,18,0.4444444444444444
Harbhajan Singh,2014,470,0,1,6,0.0
Harbhajan Singh,2014,473,11,1,6,1.8333333333333333
Harbhajan Singh,2014,477,2,1,6,0.3333333333333333
Harbhajan Singh,2014,508,2,3,18,0.1111111111111111
Harbhajan Singh,2014,515,7,1,6,1.1666666666666667
Harbhajan Singh,2015,524,68,7,42,1.619047619047619
Harbhajan Singh,2015,530,25,6,36,0.6944444444444444
Harbhajan Singh,2015,534,0,1,6,0.0
Harbhajan Singh,2015,539,10,3,18,0.5555555555555556
Harbhajan Singh,2015,541,0,2,12,0.0
Harbhajan Singh,2015,556,5,2,12,0.4166666666666667
Harbhajan Singh,2015,562,3,2,12,0.25
Harbhajan Singh,2015,573,9,1,6,1.5
Harbhajan Singh,2015,576,10,1,6,1.6666666666666667
Harbhajan Singh,2016,577,46,9,54,0.8518518518518519
Harbhajan Singh,2016,585,8,3,18,0.4444444444444444
Harbhajan Singh,2016,588,2,2,12,0.16666666666666666
Harbhajan Singh,2016,593,0,1,6,0.0
Harbhajan Singh,2016,613,25,7,42,0.5952380952380952
Harbhajan Singh,2016,619,14,3,18,0.7777777777777778
Harbhajan Singh,2016,630,4,2,12,0.3333333333333333
Harbhajan Singh,2017,7,1,1,6,0.16666666666666666
Harbhajan Singh,2017,10,3,1,6,0.5
Harbhajan Singh,2017,24,2,2,12,0.16666666666666666
Harbhajan Singh,2017,28,7,1,6,1.1666666666666667
Harbhajan Singh,2017,34,0,1,6,0.0
Harbhajan Singh,2017,47,4,1,6,0.6666666666666666
Harbhajan Singh,2017,50,2,2,12,0.16666666666666666
Harmeet Singh,2010,232,0,1,6,0.0
Harmeet Singh,2012,311,1,1,6,0.16666666666666666
Harmeet Singh,2012,325,14,2,12,1.1666666666666667
Harmeet Singh,2013,440,3,1,6,0.5
Harpreet Singh,2011,268,1,1,6,0.16666666666666666
Harpreet Singh,2011,271,13,7,42,0.30952380952380953
Harpreet Singh,2012,375,6,3,18,0.3333333333333333
I Malhotra,2011,279,7,2,12,0.5833333333333334
I Sharma,2008,71,4,2,12,0.3333333333333333
I Sharma,2008,78,1,1,6,0.16666666666666666
I Sharma,2008,99,5,2,12,0.4166666666666667
I Sharma,2008,105,2,1,6,0.3333333333333333
I Sharma,2008,112,0,1,6,0.0
I Sharma,2009,121,10,4,24,0.4166666666666667
I Sharma,2009,126,1,1,6,0.16666666666666666
I Sharma,2009,132,6,2,12,0.5
I Sharma,2010,182,6,6,36,0.16666666666666666
I Sharma,2010,217,0,1,6,0.0
I Sharma,2011,236,1,1,6,0.16666666666666666
I Sharma,2011,240,1,1,6,0.16666666666666666
I Sharma,2011,260,1,1,6,0.16666666666666666
I Sharma,2011,272,1,1,6,0.16666666666666666
I Sharma,2017,19,3,2,12,0.25
I Sharma,2017,32,5,1,6,0.8333333333333334
I Sharma,2017,54,1,3,18,0.05555555555555555
IC Pandey,2013,411,0,1,6,0.0
IK Pathan,2008,61,3,3,18,0.16666666666666666
IK Pathan,2008,65,12,9,54,0.2222222222222222
IK Pathan,2008,69,6,2,12,0.5
IK Pathan,2008,73,12,2,12,1.0
IK Pathan,2008,81,33,8,48,0.6875
IK Pathan,2008,84,19,5,30,0.6333333333333333
IK Pathan,2008,91,40,7,42,0.9523809523809523
IK Pathan,2008,106,11,2,12,0.9166666666666666
IK Pathan,2008,112,7,2,12,0.5833333333333334
IK Pathan,2008,116,3,4,24,0.125
IK Pathan,2009,120,6,2,12,0.5
IK Pathan,2009,123,32,5,30,1.0666666666666667
IK Pathan,2009,130,42,11,66,0.6363636363636364
IK Pathan,2009,135,13,5,30,0.43333333333333335
IK Pathan,2009,139,17,3,18,0.9444444444444444
IK Pathan,2009,142,19,6,36,0.5277777777777778
IK Pathan,2009,145,24,7,42,0.5714285714285714
IK Pathan,2009,151,14,5,30,0.4666666666666667
IK Pathan,2009,157,0,2,12,0.0
IK Pathan,2009,161,23,4,24,0.9583333333333334
IK Pathan,2009,164,17,4,24,0.7083333333333334
IK Pathan,2009,169,15,4,24,0.625
IK Pathan,2010,177,21,8,48,0.4375
IK Pathan,2010,181,3,1,6,0.5
IK Pathan,2010,186,70,10,60,1.1666666666666667
IK Pathan,2010,190,39,10,60,0.65
IK Pathan,2010,193,1,1,6,0.16666666666666666
IK Pathan,2010,196,22,6,36,0.6111111111111112
IK Pathan,2010,201,18,5,30,0.6
IK Pathan,2010,205,17,2,12,1.4166666666666667
IK Pathan,2010,212,24,9,54,0.4444444444444444
IK Pathan,2010,215,15,3,18,0.8333333333333334
IK Pathan,2010,218,13,7,42,0.30952380952380953
IK Pathan,2010,225,1,1,6,0.16666666666666666
IK Pathan,2010,228,45,8,48,0.9375
IK Pathan,2011,238,0,1,6,0.0
IK Pathan,2011,241,11,2,12,0.9166666666666666
IK Pathan,2011,250,14,6,36,0.3888888888888889
IK Pathan,2011,253,6,5,30,0.2
IK Pathan,2011,263,16,2,12,1.3333333333333333
IK Pathan,2011,266,9,5,30,0.3
IK Pathan,2011,269,17,2,12,1.4166666666666667
IK Pathan,2011,274,5,3,18,0.2777777777777778
IK Pathan,2011,279,14,7,42,0.3333333333333333
IK Pathan,2011,282,25,5,30,0.8333333333333334
IK Pathan,2011,289,48,13,78,0.6153846153846154
IK Pathan,2011,293,4,4,24,0.16666666666666666
IK Pathan,2012,309,42,6,36,1.1666666666666667
IK Pathan,2012,312,26,6,36,0.7222222222222222
IK Pathan,2012,323,7,6,36,0.19444444444444445
IK Pathan,2012,335,16,3,18,0.8888888888888888
IK Pathan,2012,342,0,1,6,0.0
IK Pathan,2012,345,8,2,12,0.6666666666666666
IK Pathan,2012,357,37,8,48,0.7708333333333334
IK Pathan,2012,364,17,7,42,0.40476190476190477
IK Pathan,2012,369,19,4,24,0.7916666666666666
IK Pathan,2012,372,4,2,12,0.3333333333333333
IK Pathan,2012,374,7,3,18,0.3888888888888889
IK Pathan,2012,378,6,1,6,1.0
IK Pathan,2013,382,4,3,18,0.2222222222222222
IK Pathan,2013,385,1,1,6,0.16666666666666666
IK Pathan,2013,390,10,4,24,0.4166666666666667
IK Pathan,2013,394,26,9,54,0.48148148148148145
IK Pathan,2013,401,30,3,18,1.6666666666666667
IK Pathan,2013,404,2,3,18,0.1111111111111111
IK Pathan,2013,412,1,2,12,0.08333333333333333
IK Pathan,2013,419,4,1,6,0.6666666666666666
IK Pathan,2013,428,13,7,42,0.30952380952380953
IK Pathan,2013,438,24,4,24,1.0
IK Pathan,2013,443,15,6,36,0.4166666666666667
IK Pathan,2013,446,4,3,18,0.2222222222222222
IK Pathan,2013,451,25,12,72,0.3472222222222222
IK Pathan,2014,466,6,4,24,0.25
IK Pathan,2014,477,1,1,6,0.16666666666666666
IK Pathan,2014,481,5,1,6,0.8333333333333334
IK Pathan,2014,487,23,8,48,0.4791666666666667
IK Pathan,2014,496,1,1,6,0.16666666666666666
IK Pathan,2014,500,25,8,48,0.5208333333333334
IK Pathan,2016,586,2,1,6,0.3333333333333333
IK Pathan,2016,621,9,5,30,0.3
IK Pathan,2016,629,2,3,18,0.1111111111111111
IK Pathan,2017,34,2,2,12,0.16666666666666666
IR Jaggi,2011,236,29,10,60,0.48333333333333334
IR Jaggi,2011,240,3,3,18,0.16666666666666666
IR Jaggi,2012,337,3,3,18,0.16666666666666666
IR Jaggi,2012,341,11,3,18,0.6111111111111112
IR Jaggi,2012,346,2,3,18,0.1111111111111111
IR Jaggi,2017,57,6,5,30,0.2
IR Jaggi,2017,58,30,10,60,0.5
Imran Tahir,2014,498,4,2,12,0.3333333333333333
Imran Tahir,2014,512,4,1,6,0.6666666666666666
Imran Tahir,2015,519,2,2,12,0.16666666666666666
Imran Tahir,2015,543,3,3,18,0.16666666666666666
Imran Tahir,2016,623,5,2,12,0.4166666666666667
Imran Tahir,2017,9,0,1,6,0.0
Iqbal Abdulla,2008,95,1,1,6,0.16666666666666666
Iqbal Abdulla,2010,222,1,1,6,0.16666666666666666
Iqbal Abdulla,2011,235,3,1,6,0.5
Iqbal Abdulla,2011,255,12,3,18,0.6666666666666666
Iqbal Abdulla,2012,309,1,1,6,0.16666666666666666
Iqbal Abdulla,2012,314,1,1,6,0.16666666666666666
Iqbal Abdulla,2013,434,7,5,30,0.23333333333333334
Iqbal Abdulla,2013,453,2,1,6,0.3333333333333333
Iqbal Abdulla,2015,534,24,5,30,0.8
Iqbal Abdulla,2015,554,0,1,6,0.0
Iqbal Abdulla,2016,633,35,10,60,0.5833333333333334
Iqbal Abdulla,2016,636,5,1,6,0.8333333333333334
Iqbal Abdulla,2017,5,5,3,18,0.2777777777777778
Ishan Kishan,2016,579,12,3,18,0.6666666666666666
Ishan Kishan,2016,599,3,3,18,0.16666666666666666
Ishan Kishan,2016,601,0,1,6,0.0
Ishan Kishan,2016,604,27,8,48,0.5625
Ishan Kishan,2016,607,2,1,6,0.3333333333333333
Ishan Kishan,2017,16,11,6,36,0.3055555555555556
Ishan Kishan,2017,20,40,5,30,1.3333333333333333
Ishan Kishan,2017,23,4,5,30,0.13333333333333333
Ishan Kishan,2017,30,16,3,18,0.8888888888888888
Ishan Kishan,2017,34,51,10,60,0.85
Ishan Kishan,2017,38,32,6,36,0.8888888888888888
Ishan Kishan,2017,41,5,4,24,0.20833333333333334
Ishan Kishan,2017,46,30,9,54,0.5555555555555556
Ishan Kishan,2017,49,37,7,42,0.8809523809523809
Ishan Kishan,2017,52,63,13,78,0.8076923076923077
J Arunkumar,2008,88,23,5,30,0.7666666666666667
J Arunkumar,2008,94,2,3,18,0.1111111111111111
J Arunkumar,2008,101,0,1,6,0.0
J Botha,2009,160,2,1,6,0.3333333333333333
J Botha,2009,165,43,12,72,0.5972222222222222
J Botha,2009,168,8,2,12,0.6666666666666666
J Botha,2011,236,67,14,84,0.7976190476190477
J Botha,2011,241,40,14,84,0.47619047619047616
J Botha,2011,246,14,4,24,0.5833333333333334
J Botha,2011,261,14,4,24,0.5833333333333334
J Botha,2011,267,45,13,78,0.5769230769230769
J Botha,2011,271,13,7,42,0.30952380952380953
J Botha,2011,276,8,3,18,0.4444444444444444
J Botha,2011,285,15,10,60,0.25
J Botha,2011,288,20,8,48,0.4166666666666667
J Botha,2012,319,2,1,6,0.3333333333333333
J Botha,2012,322,7,2,12,0.5833333333333334
J Botha,2012,328,14,4,24,0.5833333333333334
J Botha,2012,354,14,4,24,0.5833333333333334
J Botha,2012,361,13,8,48,0.2708333333333333
J Botha,2012,365,7,1,6,1.1666666666666667
J Botha,2012,373,3,2,12,0.25
J Botha,2013,382,7,2,12,0.5833333333333334
J Botha,2013,385,2,2,12,0.16666666666666666
J Botha,2013,394,9,5,30,0.3
J Botha,2013,428,1,2,12,0.08333333333333333
J Botha,2013,443,1,1,6,0.16666666666666666
J Botha,2013,446,23,6,36,0.6388888888888888
