batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
DA Warner,0.830518179,0.882585752,0.592793148,0.946344081,1,0.6,0.822810591,0.601532567,0.904761905,0.797214348
CH Gayle,0.724592041,0.802770449,0.617975626,0.981269694,0.692307692,1,0.623217923,1,0.714285714,0.789136267
V Kohli,1,0.972515391,0.542521874,0.843090858,0.897435897,0.8,0.790224033,0.609195402,1,0.760546355
SK Raina,0.964214143,1,0.578552347,0.778569447,0.820512821,0.2,0.816700611,0.662835249,1,0.738337685
RG Sharma,0.937016891,0.925021988,0.550702505,0.739022455,0.846153846,0.2,0.720977597,0.659003831,0.936507937,0.704894577
G Gambhir,0.982536502,0.908531223,0.515833715,0.760648495,0.897435897,0,1,0.218390805,0.904761905,0.695771648
AB de Villiers,0.687374749,0.766490765,0.621981682,0.794002608,0.666666667,0.6,0.592668024,0.593869732,0.698412698,0.691598713
SE Marsh,0.547380475,0.547273527,0.557613322,0.969510148,0.538461538,0.2,0.558044807,0.295019157,0.587301587,0.654843857
S Dhawan,0.860005726,0.78298153,0.507867839,0.759587802,0.717948718,0,0.822810591,0.268199234,0.761904762,0.647018699
RV Uthappa,0.847122817,0.830694811,0.547007722,0.710072134,0.564102564,0,0.784114053,0.478927203,0.857142857,0.642583451
AM Rahane,0.744632121,0.672163588,0.503513781,0.782497021,0.666666667,0.2,0.66191446,0.229885057,0.682539683,0.621044988
V Sehwag,0.524477526,0.599824099,0.637830255,0.704997505,0.461538462,0.4,0.692464358,0.402298851,0.555555556,0.615818896
MS Dhoni,0.766962496,0.782761653,0.569296375,0.669099205,0.435897436,0,0.519348269,0.597701149,0.761904762,0.603949156
SR Watson,0.557686802,0.577836412,0.577878766,0.720735375,0.41025641,0.4,0.527494908,0.46743295,0.555555556,0.589248485
BB McCullum,0.624105354,0.605760774,0.541363726,0.718887499,0.384615385,0.4,0.566191446,0.471264368,0.650793651,0.584227514
MEK Hussey,0.471514457,0.43469657,0.514129681,0.916126043,0.41025641,0.2,0.407331976,0.199233716,0.444444444,0.581614999
DR Smith,0.515888921,0.524406332,0.566912289,0.728420676,0.435897436,0,0.50712831,0.448275862,0.555555556,0.572820246
YK Pathan,0.594045233,0.642480211,0.603220479,0.590479907,0.384615385,0.2,0.49287169,0.570881226,0.571428571,0.563275829
