,bowler,over
278,MB Parmar,1
279,SS Mundhe,1
280,PM Sarvesh Kumar,1
281,P Sahu,1
282,RR Bhatkal,1
283,RG More,1
284,Sunny Gupta,1
285,RA Shaikh,1
286,R Tewatia,1
287,TL Suman,1
288,SS Agarwal,1
289,AJ Finch,1
290,P Amarnath,1
291,AM Nayar,1
292,A Nel,1
293,V Shankar,0
294,T Shamsi,0
295,T Henderson,0
296,Swapnil Singh,0
297,V Kohli,0
298,Shivam Sharma,0
299,WA Mota,0
300,Shoaib Malik,0
301,Y Gnaneswara Rao,0
302,TM Head,0
303,Yuvraj Singh,0
304,Sachin Baby,0
305,BMAJ Mendis,0
306,SR Tendulkar,0
307,F du Plessis,0
308,LRPL Taylor,0
309,LPC Silva,0
310,LMP Simmons,0
311,Abdur Razzak,0
312,K Goel,0
313,JM Kemp,0
314,B Chipli,0
315,B Laughlin,0
316,I Malhotra,0
317,FY Fazal,0
318,DJ Thornely,0
319,SPD Smith,0
320,DJ Harris,0
321,DB Ravi Teja,0
322,D Salunkhe,0
323,D Kalyankrishna,0
324,CL White,0
325,CK Kapugedera,0
326,BJ Rohrer,0
327,C Nanda,0
328,C Munro,0
329,C Ganapathy,0
330,M Manhas,0
331,AUK Pathan,0
332,MA Khote,0
333,AS Raut,0
334,AA Kazi,0
335,SB Joshi,0
336,S Vidyut,0
337,S Sriram,0
338,S Rana,0
339,AC Gilchrist,0
340,RV Gomez,0
341,RS Gavaskar,0
342,RS Bopara,0
343,RN ten Doeschate,0
344,RD Chahar,0
345,RA Tripathi,0
346,R Sathish,0
347,R Ninan,0
348,PD Collingwood,0
349,PC Valthaty,0
350,P Prasanth,0
351,AM Rahane,0
352,Mohammad Hafeez,0
353,MK Tiwary,0
354,MJ Clarke,0
355,N Rana,0
