batsman,no of balls,batsman_runs,strike
K Paul,26,22,84.61538461538461
K Rabada,15,15,100.0
KA Pollard,290,430,148.27586206896552
KC Cariappa,3,9,300.0
KD Karthik,530,785,148.11320754716982
KH Pandya,322,435,135.09316770186334
KK Nair,231,312,135.06493506493507
KL Rahul,873,1288,147.5372279495991
KM Jadhav,195,198,101.53846153846153
KS Williamson,656,908,138.41463414634146
Kuldeep Yadav,33,26,78.78787878787878
L Livingstone,48,72,150.0
L Plunkett,3,1,33.33333333333333
M Ali,183,311,169.94535519125685
M Ashwin,7,4,57.14285714285714
M Lomror,24,28,116.66666666666667
M Markande,30,31,103.33333333333334
M Santner,25,35,140.0
M Ur Rahman,11,12,109.09090909090908
M Vijay,72,79,109.72222222222223
M Vohra,50,59,118.0
M Wood,5,3,60.0
MA Agarwal,335,462,137.91044776119404
MG Johnson,11,17,154.54545454545453
MJ Guptill,54,82,151.85185185185185
MJ McClenaghan,28,28,100.0
MK Pandey,524,649,123.85496183206106
MK Tiwary,45,49,108.88888888888889
MM Sharma,16,12,75.0
MP Stoinis,237,319,134.59915611814347
MS Dhoni,638,917,143.73040752351096
Mandeep Singh,316,435,137.65822784810126
Mohammad Nabi,92,144,156.52173913043478
Mohammed Shami,8,8,100.0
Mohammed Siraj,38,34,89.47368421052632
Mustafizur Rahman,3,1,33.33333333333333
N Naik,17,8,47.05882352941176
N Pooran,110,177,160.9090909090909
N Rana,480,667,138.95833333333334
N Saini,4,3,75.0
NV Ojha,4,2,50.0
P Chopra,6,8,133.33333333333331
P Krishna,7,1,14.285714285714285
P Negi,17,13,76.47058823529412
P R Barman,25,20,80.0
P Raj,1,0,0.0
P Shaw,435,616,141.60919540229887
PA Patel,384,552,143.75
PJ Sangwan,5,1,20.0
PP Chawla,74,72,97.2972972972973
Q de Kock,570,763,133.859649122807
R Ashwin,104,151,145.19230769230768
R Bhui,18,8,44.44444444444444
R Parag,133,169,127.06766917293233
R Salam,4,5,125.0
R Singh,68,73,107.35294117647058
R Tewatia,69,84,121.73913043478262
R Vinay Kumar,4,7,175.0
RA Jadeja,174,219,125.86206896551724
RA Tripathi,296,380,128.3783783783784
RD Chahar,11,12,109.09090909090908
RG Sharma,542,707,130.44280442804427
RR Pant,723,1228,169.8478561549101
RV Uthappa,532,668,125.5639097744361
Rashid Khan,58,98,168.9655172413793
S Curran,55,95,172.72727272727272
S Dhawan,771,1071,138.91050583657588
S Dube,33,40,121.21212121212122
S Gill,384,517,134.63541666666669
S Gopal,93,117,125.80645161290323
S Hetmyer,76,93,122.36842105263158
S Kaul,15,3,20.0
S Lamichhane,1,0,0.0
S Mavi,15,13,86.66666666666667
S Nadeem,8,6,75.0
S Rutherford,55,82,149.0909090909091
S Sharma,4,8,200.0
S Singh,18,17,94.44444444444444
SD Lad,13,15,115.38461538461537
SK Raina,675,867,128.44444444444446
SN Khan,188,239,127.12765957446808
SN Thakur,12,29,241.66666666666666
SP Goswami,42,60,142.85714285714286
SP Narine,288,532,184.72222222222223
SPD Smith,283,334,118.02120141342756
SR Watson,690,986,142.8985507246377
SS Iyer,715,907,126.85314685314685
STR Binny,81,116,143.20987654320987
SV Samson,563,809,143.69449378330373
SW Billings,83,112,134.93975903614458
Sandeep Sharma,4,0,0.0
Shakib Al Hasan,214,259,121.02803738317758
T Curran,28,24,85.71428571428571
TA Boult,6,7,116.66666666666667
TG Southee,55,61,110.9090909090909
UT Yadav,38,33,86.8421052631579
V Kohli,717,1011,141.00418410041843
V Shankar,352,473,134.375
VR Aaron,7,3,42.857142857142854
WP Saha,163,223,136.80981595092027
Washington Sundar,44,70,159.0909090909091
YK Pathan,258,319,123.64341085271317
YS Chahal,20,7,35.0
Yuvraj Singh,157,174,110.828025477707
