batsman,no of balls,batsman_runs,strike
A Dananjaya,5,4,80.0
A Hales,119,152,127.73109243697478
A Joseph,13,15,115.38461538461537
A Mishra,28,28,100.0
A Turner,11,4,36.36363636363637
AB de Villiers,575,942,163.82608695652175
AD Nath,71,71,100.0
AD Russell,453,871,192.27373068432672
AJ Finch,102,140,137.2549019607843
AJ Tye,42,41,97.61904761904762
AM Rahane,613,793,129.36378466557912
AR Patel,161,200,124.22360248447204
AS Rajpoot,18,12,66.66666666666666
AS Yadav,720,962,133.61111111111111
AT Rayudu,717,910,126.91771269177127
Ankit Sharma,45,77,171.11111111111111
Anureet Singh,4,4,100.0
Avesh Khan,3,4,133.33333333333331
B Kumar,37,32,86.48648648648648
B Laughlin,4,1,25.0
B Stanlake,2,5,250.0
BA Stokes,266,331,124.4360902255639
BB McCullum,91,138,151.64835164835165
BB Sran,10,7,70.0
BCJ Cutting,76,116,152.63157894736844
Basil Thampi,7,4,57.14285714285714
C Ingram,157,187,119.10828025477707
C Munro,113,150,132.7433628318584
C de Grandhomme,137,187,136.4963503649635
CA Lynn,679,924,136.08247422680412
CH Gayle,599,909,151.75292153589314
CH Morris,64,81,126.5625
CJ Anderson,22,17,77.27272727272727
CR Brathwaite,64,93,145.3125
CR Woakes,19,17,89.47368421052632
D Shorey,20,16,80.0
D Short,102,123,120.58823529411764
DA Miller,241,312,129.46058091286307
DA Warner,496,727,146.5725806451613
DJ Bravo,161,236,146.58385093167703
DJ Hooda,154,162,105.1948051948052
DL Chahar,40,59,147.5
DS Kulkarni,10,11,110.00000000000001
DT Christian,33,28,84.84848484848484
E Lewis,343,464,135.27696793002914
F du Plessis,456,579,126.9736842105263
G Gambhir,91,91,100.0
GJ Maxwell,122,174,142.62295081967213
Gurkeerat Singh,73,104,142.46575342465752
H Brar,14,22,157.14285714285714
H Gurney,5,1,20.0
H Klaasen,58,68,117.24137931034481
H Vihari,8,4,50.0
H Viljoen,7,6,85.71428571428571
HH Pandya,430,712,165.5813953488372
HV Patel,36,61,169.44444444444443
Harbhajan Singh,41,35,85.36585365853658
I Sharma,3,10,333.33333333333337
I Sodhi,18,10,55.55555555555556
Imran Tahir,2,2,100.0
Ishan Kishan,291,392,134.70790378006873
J Archer,62,85,137.09677419354838
J Bairstow,293,468,159.7269624573379
J Denly,1,0,0.0
J Searles,6,8,133.33333333333331
J Suchith,15,6,40.0
JC Buttler,579,903,155.95854922279793
JD Unadkat,41,50,121.95121951219512
JJ Bumrah,12,12,100.0
JJ Roy,98,127,129.59183673469389
JP Duminy,46,48,104.34782608695652
K Ahmed,1,0,0.0
K Gowtham,86,148,172.09302325581396
