batsman,no of balls,batsman_runs,strike
I Malhotra,4,7,175.0
I Sharma,62,55,88.70967741935483
I Sodhi,18,10,55.55555555555556
IC Pandey,2,0,0.0
IK Pathan,985,1150,116.75126903553299
IR Jaggi,100,76,76.0
Imran Tahir,27,20,74.07407407407408
Iqbal Abdulla,86,88,102.32558139534885
Ishan Kishan,546,711,130.21978021978023
J Archer,62,85,137.09677419354838
J Arunkumar,24,23,95.83333333333334
J Bairstow,293,468,159.7269624573379
J Botha,364,409,112.36263736263736
J Denly,1,0,0.0
J Searles,6,8,133.33333333333331
J Suchith,48,54,112.5
J Syed Mohammad,27,29,107.40740740740742
J Theron,13,10,76.92307692307693
J Yadav,12,6,50.0
JA Morkel,712,975,136.93820224719101
JC Buttler,954,1431,150.0
JD Ryder,466,604,129.6137339055794
JD Unadkat,54,55,101.85185185185186
JDP Oram,110,106,96.36363636363636
JDS Neesham,46,42,91.30434782608695
JE Taylor,4,3,75.0
JEC Franklin,309,327,105.8252427184466
JH Kallis,2291,2427,105.93627237014405
JJ Bumrah,39,37,94.87179487179486
JJ Roy,139,186,133.81294964028777
JJ van der Wath,17,18,105.88235294117648
JM Kemp,25,26,104.0
JO Holder,32,38,118.75
JP Duminy,1680,2041,121.48809523809523
JP Faulkner,406,527,129.80295566502463
JR Hopes,314,417,132.80254777070064
Jaskaran Singh,11,8,72.72727272727273
Joginder Sharma,30,36,120.0
K Ahmed,1,0,0.0
K Goel,239,218,91.21338912133892
K Gowtham,86,148,172.09302325581396
K Paul,26,22,84.61538461538461
K Rabada,83,70,84.33734939759037
K Upadhyay,9,12,133.33333333333331
KA Pollard,1964,2784,141.75152749490834
KAJ Roach,9,10,111.11111111111111
KB Arun Karthik,53,51,96.22641509433963
KC Cariappa,21,24,114.28571428571428
KC Sangakkara,1424,1687,118.4691011235955
KD Karthik,2890,3688,127.61245674740485
KH Pandya,635,915,144.09448818897638
KJ Abbott,8,13,162.5
KK Cooper,70,116,165.71428571428572
KK Nair,1160,1470,126.72413793103448
KL Rahul,1465,2013,137.4061433447099
KM Jadhav,879,1091,124.11831626848692
KMDN Kulasekara,3,5,166.66666666666669
KP Appanna,4,2,50.0
KP Pietersen,758,1001,132.05804749340368
KS Williamson,981,1319,134.4546381243629
KV Sharma,285,317,111.22807017543859
KW Richardson,39,36,92.3076923076923
Kamran Akmal,78,128,164.1025641025641
Kamran Khan,5,3,60.0
Karanveer Singh,17,12,70.58823529411765
Kuldeep Yadav,55,46,83.63636363636363
L Ablish,2,0,0.0
L Balaji,50,36,72.0
L Livingstone,48,72,150.0
L Plunkett,3,1,33.33333333333333
L Ronchi,37,34,91.8918918918919
LA Carseldine,71,81,114.08450704225352
LA Pomersbach,251,302,120.3187250996016
LH Ferguson,1,1,100.0
LJ Wright,63,106,168.25396825396825
LMP Simmons,878,1079,122.89293849658314
LPC Silva,27,40,148.14814814814815
LR Shukla,358,405,113.12849162011173
LRPL Taylor,847,1017,120.07083825265643
M Ali,183,311,169.94535519125685
M Ashwin,8,4,50.0
M Kaif,258,259,100.3875968992248
M Kartik,109,113,103.6697247706422
M Klinger,78,73,93.58974358974359
M Lomror,24,28,116.66666666666667
M Manhas,486,514,105.76131687242798
M Markande,30,31,103.33333333333334
M Morkel,93,126,135.48387096774192
M Muralitharan,30,20,66.66666666666666
M Ntini,19,11,57.89473684210527
M Rawat,70,55,78.57142857142857
M Santner,25,35,140.0
M Ur Rahman,11,12,109.09090909090908
M Vijay,2164,2590,119.68576709796672
M Vohra,800,1016,127.0
M Wood,5,3,60.0
M de Lange,2,1,50.0
MA Agarwal,1027,1276,124.24537487828627
MA Khote,22,24,109.09090909090908
MA Starc,98,96,97.95918367346938
MC Henriques,769,969,126.00780234070221
MC Juneja,134,125,93.28358208955224
MD Mishra,213,237,111.26760563380283
MDKJ Perera,13,14,107.6923076923077
MEK Hussey,1648,1977,119.96359223300972
MF Maharoof,124,177,142.74193548387098
MG Johnson,168,168,100.0
MJ Clarke,96,98,102.08333333333333
MJ Guptill,197,271,137.56345177664974
MJ Lumb,198,278,140.4040404040404
MJ McClenaghan,73,91,124.65753424657535
MK Pandey,2425,2872,118.43298969072164
MK Tiwary,1489,1697,113.96910678307589
ML Hayden,839,1107,131.94278903456495
MM Patel,41,39,95.1219512195122
MM Sharma,120,124,103.33333333333334
MN Samuels,174,161,92.52873563218391
MN van Wyk,135,167,123.7037037037037
MP Stoinis,373,482,129.2225201072386
