batsman,total_runs
DA Warner,56
AB de Villiers,53
V Kohli,48
KA Pollard,39
CH Gayle,35
GJ Maxwell,34
BB McCullum,34
RR Pant,30
AJ Finch,30
MS Dhoni,30
RV Uthappa,29
SV Samson,27
RG Sharma,26
JC Buttler,26
N Rana,25
DR Smith,24
SK Raina,23
MK Pandey,21
HM Amla,21
Yuvraj Singh,21
HH Pandya,20
CA Lynn,20
SPD Smith,20
KH Pandya,20
AR Patel,19
YK Pathan,19
AM Rahane,18
CH Morris,18
S Dhawan,17
RA Tripathi,17
KL Rahul,16
BA Stokes,15
AD Russell,15
AT Rayudu,15
KD Karthik,14
G Gambhir,13
SR Watson,13
Ishan Kishan,13
Q de Kock,13
KK Nair,12
KM Jadhav,12
PA Patel,12
M Vohra,12
MK Tiwary,11
SS Iyer,11
NLTC Perera,11
M Vijay,10
P Negi,10
KS Williamson,10
MC Henriques,10
SP Narine,10
WP Saha,9
LMP Simmons,9
F du Plessis,9
CJ Anderson,9
BCJ Cutting,9
DJ Hooda,9
SA Yadav,8
RA Jadeja,8
CR Brathwaite,8
NV Ojha,8
SE Marsh,8
TM Head,8
STR Binny,7
MJ Guptill,7
DA Miller,7
C de Grandhomme,6
Bipul Sharma,6
EJG Morgan,6
Sachin Baby,5
SW Billings,5
DT Christian,5
Shakib Al Hasan,5
SN Khan,4
Mandeep Singh,4
MP Stoinis,4
MJ McClenaghan,4
PJ Cummins,4
A Ashish Reddy,4
SS Tiwary,4
UT Khawaja,3
Gurkeerat Singh,3
JP Duminy,3
KP Pietersen,3
KV Sharma,3
AJ Tye,3
TG Southee,3
R Bhatia,3
Harbhajan Singh,3
DL Chahar,2
MN Samuels,2
MM Sharma,2
ER Dwivedi,2
NM Coulter-Nile,2
Mohammed Shami,2
A Mishra,2
JA Morkel,2
GJ Bailey,2
Vishnu Vinod,1
R Vinay Kumar,1
V Shankar,1
R Ashwin,1
Ankit Sharma,1
AD Mathews,1
R Sathish,1
Rashid Khan,1
Ankit Soni,1
P Sahu,1
B Kumar,1
UT Yadav,1
Basil Thampi,1
SL Malinga,1
R Dhawan,1
KC Cariappa,1
MG Johnson,1
KJ Abbott,1
K Rabada,1
JO Holder,1
JJ Roy,1
Iqbal Abdulla,1
A Choudhary,1
MA Agarwal,1
JJ Bumrah,1
CR Woakes,1
TS Mills,1
DJ Bravo,1
VR Aaron,0
S Nadeem,0
YS Chahal,0
S Gopal,0
Washington Sundar,0
S Badree,0
SN Thakur,0
S Kaul,0
Sandeep Sharma,0
SP Jackson,0
TA Boult,0
SB Jakati,0
Swapnil Singh,0
S Kaushik,0
UBT Chand,0
M Morkel,0
S Aravind,0
BB Sran,0
I Sharma,0
F Behardien,0
DW Steyn,0
DS Kulkarni,0
DM Bravo,0
D Wiese,0
CJ Jordan,0
C Munro,0
Anureet Singh,0
RD Chahar,0
AS Rajpoot,0
AR Bawne,0
AP Tare,0
AF Milne,0
AD Nath,0
AB Dinda,0
A Zampa,0
A Nehra,0
IK Pathan,0
IR Jaggi,0
Imran Tahir,0
J Yadav,0
R Tewatia,0
Parvez Rasool,0
PV Tambe,0
PSP Handscomb,0
PP Chawla,0
PJ Sangwan,0
P Kumar,0
NS Naik,0
Mohammad Nabi,0
MR Marsh,0
MM Patel,0
M Ashwin,0
LH Ferguson,0
Kuldeep Yadav,0
KW Richardson,0
JP Faulkner,0
JD Unadkat,0
Z Khan,0
