batsman,batsman_runs
V Kohli,49.26923076923077
DA Warner,48.03225806451613
AB de Villiers,36.12
HM Amla,36.0625
CA Lynn,35.55555555555556
Q de Kock,34.23076923076923
SPD Smith,33.72727272727273
KL Rahul,33.083333333333336
M Vijay,32.357142857142854
G Gambhir,32.225806451612904
S Dhawan,31.612903225806452
F du Plessis,30.571428571428573
SE Marsh,30.214285714285715
KS Williamson,29.23076923076923
N Rana,29.133333333333333
SK Raina,29.0
AM Rahane,28.733333333333334
BA Stokes,28.727272727272727
MK Pandey,28.0
RA Tripathi,27.928571428571427
RV Uthappa,27.928571428571427
SS Tiwary,27.75
AJ Finch,27.72
RG Sharma,27.4
KK Nair,25.52
KH Pandya,25.263157894736842
V Shankar,25.25
AT Rayudu,25.0
BB McCullum,24.962962962962962
MK Tiwary,24.923076923076923
KD Karthik,24.857142857142858
DR Smith,24.47826086956522
M Vohra,24.375
SV Samson,24.178571428571427
JP Duminy,23.875
AD Russell,23.5
RR Pant,23.5
CH Morris,23.266666666666666
Yuvraj Singh,23.238095238095237
SW Billings,22.6
CH Gayle,22.473684210526315
JC Buttler,22.0
PA Patel,22.0
WP Saha,21.91304347826087
KA Pollard,21.535714285714285
Ishan Kishan,21.266666666666666
GJ Maxwell,21.26086956521739
MS Dhoni,21.25925925925926
UT Khawaja,21.166666666666668
YK Pathan,21.0
TM Head,20.5
SS Iyer,20.444444444444443
MP Stoinis,20.375
JJ Roy,19.666666666666668
KM Jadhav,19.3125
MJ Guptill,18.9
Gurkeerat Singh,18.833333333333332
Mandeep Singh,18.8
EJG Morgan,18.8
K Rabada,18.333333333333332
KP Pietersen,18.25
LMP Simmons,18.125
AJ Tye,17.666666666666668
MC Henriques,17.653846153846153
GJ Bailey,16.8
BCJ Cutting,16.571428571428573
SN Khan,16.5
IR Jaggi,16.5
AD Mathews,16.0
JA Morkel,16.0
SA Yadav,15.944444444444445
A Ashish Reddy,15.666666666666666
NLTC Perera,15.0
Anureet Singh,15.0
Sachin Baby,14.88888888888889
AR Patel,14.695652173913043
Shakib Al Hasan,14.375
DA Miller,14.352941176470589
C de Grandhomme,14.0
DL Chahar,14.0
Ankit Sharma,14.0
Iqbal Abdulla,14.0
RA Jadeja,13.96
SP Narine,13.588235294117647
CJ Anderson,12.909090909090908
SP Jackson,12.666666666666666
P Negi,12.5625
AR Bawne,12.0
ER Dwivedi,12.0
NV Ojha,11.944444444444445
JP Faulkner,11.909090909090908
CR Brathwaite,11.875
HH Pandya,11.76
STR Binny,11.75
Bipul Sharma,11.714285714285714
NS Naik,11.5
SR Watson,11.363636363636363
DJ Hooda,10.571428571428571
Kuldeep Yadav,10.0
C Munro,10.0
Parvez Rasool,10.0
PJ Cummins,9.625
R Tewatia,9.5
P Sahu,9.5
KV Sharma,9.444444444444445
MA Agarwal,8.833333333333334
DT Christian,8.777777777777779
A Choudhary,8.333333333333334
R Bhatia,8.333333333333334
DJ Bravo,8.25
R Sathish,8.0
Harbhajan Singh,7.714285714285714
TG Southee,7.4
MN Samuels,7.25
PP Chawla,7.25
R Dhawan,7.0
AB Dinda,7.0
MR Marsh,7.0
PV Tambe,7.0
MM Sharma,6.916666666666667
R Ashwin,6.833333333333333
A Mishra,6.625
CR Woakes,6.571428571428571
R Vinay Kumar,6.5
Vishnu Vinod,6.333333333333333
MG Johnson,6.25
DM Bravo,6.0
PSP Handscomb,6.0
JJ Bumrah,6.0
Basil Thampi,5.6
MJ McClenaghan,5.555555555555555
JO Holder,5.5
S Aravind,5.333333333333333
AP Tare,5.2
D Wiese,5.0
TA Boult,5.0
AD Nath,5.0
Mohammed Shami,4.75
B Kumar,4.7
DS Kulkarni,4.666666666666667
F Behardien,4.666666666666667
NM Coulter-Nile,4.6
KJ Abbott,4.333333333333333
P Kumar,4.0
AS Rajpoot,4.0
Swapnil Singh,4.0
KC Cariappa,3.75
Rashid Khan,3.6666666666666665
SL Malinga,3.5
IK Pathan,3.25
UT Yadav,3.1666666666666665
RD Chahar,3.0
J Yadav,3.0
I Sharma,2.6666666666666665
TS Mills,2.6666666666666665
S Badree,2.6
Imran Tahir,2.5
Sandeep Sharma,2.5
A Zampa,2.5
AF Milne,2.3333333333333335
Ankit Soni,2.3333333333333335
YS Chahal,2.1666666666666665
Z Khan,2.0
S Gopal,2.0
Mohammad Nabi,2.0
JD Unadkat,2.0
VR Aaron,2.0
Washington Sundar,1.8
CJ Jordan,1.5
BB Sran,1.3333333333333333
M Morkel,1.0
LH Ferguson,1.0
SB Jakati,1.0
A Nehra,1.0
KW Richardson,1.0
DW Steyn,1.0
S Nadeem,0.75
PJ Sangwan,0.6666666666666666
MM Patel,0.0
S Kaul,0.0
S Kaushik,0.0
SN Thakur,0.0
UBT Chand,0.0
M Ashwin,0.0
