batsman,total_runs
DA Warner,150
G Gambhir,118
V Kohli,107
S Dhawan,104
AM Rahane,89
RV Uthappa,84
RG Sharma,82
SK Raina,80
KK Nair,79
PA Patel,74
AJ Finch,72
AB de Villiers,71
BB McCullum,67
KD Karthik,67
SPD Smith,66
DR Smith,66
HM Amla,60
Q de Kock,53
SV Samson,52
M Vijay,52
Yuvraj Singh,51
JC Buttler,50
SE Marsh,49
WP Saha,48
RR Pant,47
KH Pandya,46
RA Tripathi,45
MK Pandey,44
MC Henriques,43
YK Pathan,43
M Vohra,42
KA Pollard,39
SS Iyer,38
KL Rahul,37
GJ Maxwell,35
KS Williamson,35
AT Rayudu,35
MS Dhoni,34
SP Narine,34
Ishan Kishan,34
CH Gayle,32
MK Tiwary,31
N Rana,30
CH Morris,30
RA Jadeja,27
KM Jadhav,26
SS Tiwary,26
SA Yadav,26
CA Lynn,25
SW Billings,24
Mandeep Singh,22
BA Stokes,22
MJ Guptill,21
SR Watson,20
F du Plessis,19
HH Pandya,15
MP Stoinis,15
AR Patel,15
EJG Morgan,14
UT Khawaja,14
DA Miller,14
DJ Hooda,13
P Negi,13
JP Duminy,13
TM Head,12
V Shankar,12
Sachin Baby,11
JP Faulkner,11
DJ Bravo,11
STR Binny,11
AD Russell,11
Harbhajan Singh,11
Gurkeerat Singh,11
C de Grandhomme,10
LMP Simmons,10
NV Ojha,9
BCJ Cutting,9
GJ Bailey,9
JJ Roy,9
KV Sharma,8
CJ Anderson,8
CR Brathwaite,8
NLTC Perera,7
Shakib Al Hasan,7
SN Khan,7
MM Sharma,7
MA Agarwal,6
B Kumar,6
PJ Cummins,5
DT Christian,5
SP Jackson,5
AP Tare,5
K Rabada,5
R Tewatia,4
Mohammed Shami,4
PP Chawla,4
KP Pietersen,4
Iqbal Abdulla,4
AJ Tye,4
CR Woakes,4
C Munro,4
IR Jaggi,3
P Kumar,3
ER Dwivedi,3
DS Kulkarni,3
Bipul Sharma,3
R Ashwin,3
S Aravind,2
Anureet Singh,2
A Mishra,2
AD Mathews,2
Ankit Sharma,2
A Ashish Reddy,2
Kuldeep Yadav,2
F Behardien,2
JO Holder,2
MJ McClenaghan,2
R Bhatia,1
TG Southee,1
PV Tambe,1
Vishnu Vinod,1
Parvez Rasool,1
R Sathish,1
Z Khan,1
AD Nath,1
I Sharma,1
AS Rajpoot,1
A Choudhary,1
MG Johnson,1
JJ Bumrah,1
AB Dinda,1
MN Samuels,1
Basil Thampi,1
A Zampa,1
DM Bravo,1
Imran Tahir,1
NM Coulter-Nile,1
NS Naik,1
P Sahu,1
AR Bawne,1
Sandeep Sharma,0
PSP Handscomb,0
CJ Jordan,0
D Wiese,0
TA Boult,0
DL Chahar,0
Swapnil Singh,0
UT Yadav,0
BB Sran,0
Ankit Soni,0
TS Mills,0
UBT Chand,0
AF Milne,0
VR Aaron,0
Washington Sundar,0
YS Chahal,0
A Nehra,0
DW Steyn,0
JA Morkel,0
IK Pathan,0
KW Richardson,0
R Dhawan,0
Mohammad Nabi,0
MR Marsh,0
R Vinay Kumar,0
MM Patel,0
RD Chahar,0
M Ashwin,0
Rashid Khan,0
LH Ferguson,0
S Badree,0
S Gopal,0
J Yadav,0
S Kaul,0
S Kaushik,0
S Nadeem,0
KJ Abbott,0
SB Jakati,0
KC Cariappa,0
SL Malinga,0
JD Unadkat,0
SN Thakur,0
PJ Sangwan,0
M Morkel,0
