batsman,no of balls,batsman_runs,strike
A Ashish Reddy,30,47,156.66666666666666
A Choudhary,20,25,125.0
A Mishra,70,53,75.71428571428571
A Nehra,1,1,100.0
A Zampa,8,5,62.5
AB Dinda,8,7,87.5
AB de Villiers,586,903,154.09556313993173
AD Mathews,28,32,114.28571428571428
AD Nath,28,20,71.42857142857143
AD Russell,125,188,150.4
AF Milne,12,7,58.333333333333336
AJ Finch,501,693,138.32335329341316
AJ Tye,30,53,176.66666666666666
AM Rahane,715,862,120.55944055944056
AP Tare,40,26,65.0
AR Bawne,12,12,100.0
AR Patel,252,338,134.12698412698413
AS Rajpoot,7,4,57.14285714285714
AT Rayudu,364,425,116.75824175824177
Ankit Sharma,19,28,147.36842105263156
Ankit Soni,9,7,77.77777777777779
Anureet Singh,12,15,125.0
B Kumar,32,47,146.875
BA Stokes,227,316,139.20704845814979
BB McCullum,500,674,134.8
BB Sran,4,4,100.0
BCJ Cutting,64,116,181.25
Basil Thampi,30,28,93.33333333333333
Bipul Sharma,50,82,164.0
C Munro,31,30,96.7741935483871
C de Grandhomme,92,126,136.95652173913044
CA Lynn,198,320,161.6161616161616
CH Gayle,331,427,129.00302114803625
CH Morris,211,349,165.40284360189574
CJ Anderson,130,142,109.23076923076923
CJ Jordan,5,3,60.0
CR Brathwaite,56,95,169.64285714285714
CR Woakes,47,46,97.87234042553192
D Wiese,4,5,125.0
DA Miller,221,244,110.40723981900453
DA Warner,1041,1489,143.0355427473583
DJ Bravo,88,99,112.5
DJ Hooda,178,222,124.7191011235955
DL Chahar,6,14,233.33333333333334
DM Bravo,5,6,120.0
DR Smith,384,563,146.61458333333331
DS Kulkarni,18,28,155.55555555555557
DT Christian,52,79,151.9230769230769
DW Steyn,2,1,50.0
EJG Morgan,167,188,112.57485029940119
ER Dwivedi,15,24,160.0
F Behardien,13,14,107.6923076923077
F du Plessis,176,214,121.59090909090908
G Gambhir,829,999,120.50663449939687
GJ Bailey,99,84,84.84848484848484
GJ Maxwell,315,489,155.23809523809524
Gurkeerat Singh,87,113,129.8850574712644
HH Pandya,238,294,123.52941176470588
HM Amla,418,577,138.03827751196172
Harbhajan Singh,108,108,100.0
I Sharma,13,8,61.53846153846154
IK Pathan,17,13,76.47058823529412
IR Jaggi,40,33,82.5
Imran Tahir,9,5,55.55555555555556
Iqbal Abdulla,34,42,123.52941176470588
Ishan Kishan,255,319,125.09803921568627
J Yadav,12,6,50.0
JA Morkel,9,16,177.77777777777777
JC Buttler,375,528,140.79999999999998
JD Unadkat,5,2,40.0
JJ Bumrah,23,24,104.34782608695652
JJ Roy,41,59,143.90243902439025
JO Holder,20,22,110.00000000000001
JP Duminy,157,191,121.656050955414
JP Faulkner,120,131,109.16666666666666
K Rabada,68,55,80.88235294117648
KA Pollard,450,603,134.0
KC Cariappa,18,15,83.33333333333334
KD Karthik,541,696,128.65064695009244
KH Pandya,313,480,153.3546325878594
KJ Abbott,8,13,162.5
KK Nair,533,638,119.69981238273921
KL Rahul,277,397,143.32129963898916
KM Jadhav,227,309,136.12334801762114
KP Pietersen,61,73,119.67213114754098
KS Williamson,296,380,128.3783783783784
KV Sharma,76,85,111.8421052631579
KW Richardson,1,1,100.0
Kuldeep Yadav,22,20,90.9090909090909
LH Ferguson,1,1,100.0
LMP Simmons,124,145,116.93548387096774
M Ashwin,1,0,0.0
M Morkel,1,1,100.0
M Vijay,373,453,121.44772117962465
M Vohra,306,390,127.45098039215685
MA Agarwal,55,53,96.36363636363636
MC Henriques,367,459,125.06811989100817
MG Johnson,31,25,80.64516129032258
