batsman,no of balls,batsman_runs,strike
MJ Guptill,143,189,132.16783216783216
MJ McClenaghan,39,50,128.2051282051282
MK Pandey,505,644,127.52475247524752
MK Tiwary,242,324,133.88429752066116
MM Patel,1,0,0.0
MM Sharma,78,83,106.41025641025641
MN Samuels,32,29,90.625
MP Stoinis,136,163,119.85294117647058
MR Marsh,11,7,63.63636363636363
MS Dhoni,481,574,119.33471933471932
Mandeep Singh,178,188,105.61797752808988
Mohammad Nabi,3,2,66.66666666666666
Mohammed Shami,28,38,135.71428571428572
N Rana,355,437,123.09859154929576
NLTC Perera,97,150,154.63917525773198
NM Coulter-Nile,27,23,85.18518518518519
NS Naik,33,23,69.6969696969697
NV Ojha,212,215,101.41509433962264
P Kumar,36,32,88.88888888888889
P Negi,177,201,113.55932203389831
P Sahu,13,19,146.15384615384613
PA Patel,469,572,121.96162046908316
PJ Cummins,54,77,142.59259259259258
PJ Sangwan,4,2,50.0
PP Chawla,32,29,90.625
PSP Handscomb,12,6,50.0
PV Tambe,19,7,36.84210526315789
Parvez Rasool,9,10,111.11111111111111
Q de Kock,340,445,130.88235294117646
R Ashwin,38,41,107.89473684210526
R Bhatia,37,50,135.13513513513513
R Dhawan,6,14,233.33333333333334
R Sathish,24,24,100.0
R Tewatia,11,19,172.72727272727272
R Vinay Kumar,12,13,108.33333333333333
RA Jadeja,307,349,113.68078175895766
RA Tripathi,275,391,142.1818181818182
RD Chahar,2,3,150.0
RG Sharma,650,822,126.46153846153847
RR Pant,381,564,148.03149606299212
RV Uthappa,539,782,145.0834879406308
Rashid Khan,9,11,122.22222222222223
S Aravind,40,32,80.0
S Badree,25,13,52.0
S Dhawan,821,980,119.36662606577345
S Gopal,16,2,12.5
S Kaul,2,0,0.0
S Kaushik,1,0,0.0
S Nadeem,14,3,21.428571428571427
SA Yadav,237,287,121.09704641350211
SB Jakati,2,1,50.0
SE Marsh,332,423,127.40963855421687
SK Raina,631,841,133.28050713153726
SL Malinga,3,7,233.33333333333334
SN Khan,31,66,212.9032258064516
SN Thakur,3,0,0.0
SP Jackson,31,38,122.58064516129032
SP Narine,149,231,155.03355704697987
SPD Smith,584,742,127.05479452054796
SR Watson,215,250,116.27906976744187
SS Iyer,295,368,124.74576271186442
SS Tiwary,195,222,113.84615384615384
STR Binny,118,141,119.4915254237288
SV Samson,540,677,125.37037037037038
SW Billings,173,226,130.635838150289
Sachin Baby,99,134,135.35353535353536
Sandeep Sharma,16,15,93.75
Shakib Al Hasan,109,115,105.50458715596329
Swapnil Singh,20,12,60.0
TA Boult,8,5,62.5
TG Southee,23,37,160.8695652173913
TM Head,151,205,135.76158940397352
TS Mills,11,8,72.72727272727273
UBT Chand,5,0,0.0
UT Khawaja,105,127,120.95238095238095
UT Yadav,19,19,100.0
V Kohli,912,1281,140.46052631578948
V Shankar,77,101,131.1688311688312
VR Aaron,11,4,36.36363636363637
Vishnu Vinod,26,19,73.07692307692307
WP Saha,408,504,123.52941176470588
Washington Sundar,12,9,75.0
YK Pathan,379,504,132.98153034300793
YS Chahal,26,13,50.0
Yuvraj Singh,371,488,131.53638814016173
Z Khan,26,10,38.46153846153847
