batsman,total_runs
AD Russell,82
RR Pant,65
CH Gayle,61
KL Rahul,57
AB de Villiers,56
SR Watson,56
MS Dhoni,51
AT Rayudu,41
HH Pandya,41
CA Lynn,40
JC Buttler,36
N Rana,35
SS Iyer,35
SP Narine,34
Q de Kock,34
KS Williamson,33
SV Samson,32
V Kohli,31
RV Uthappa,31
KD Karthik,30
KA Pollard,27
AS Yadav,26
E Lewis,26
S Dhawan,25
V Shankar,23
M Ali,23
DA Warner,22
Ishan Kishan,21
F du Plessis,21
SK Raina,21
RG Sharma,21
MA Agarwal,19
P Shaw,19
J Bairstow,18
KH Pandya,16
S Gill,15
Mandeep Singh,15
MP Stoinis,14
N Pooran,14
AM Rahane,14
PA Patel,14
KK Nair,13
YK Pathan,12
C de Grandhomme,12
DJ Bravo,12
MK Pandey,11
RA Tripathi,11
BA Stokes,10
K Gowtham,10
GJ Maxwell,9
DA Miller,9
BCJ Cutting,9
RA Jadeja,8
R Ashwin,8
AJ Finch,8
Rashid Khan,8
C Munro,8
CR Brathwaite,8
Yuvraj Singh,8
JJ Roy,7
Shakib Al Hasan,7
MJ Guptill,7
S Rutherford,7
Mohammad Nabi,7
S Hetmyer,7
AR Patel,7
STR Binny,6
HV Patel,6
A Hales,6
SN Khan,6
C Ingram,5
SW Billings,5
Ankit Sharma,5
R Parag,5
BB McCullum,5
L Livingstone,5
D Short,5
KM Jadhav,5
SPD Smith,4
DL Chahar,4
M Vohra,4
J Archer,4
DJ Hooda,4
CH Morris,4
Washington Sundar,4
PP Chawla,3
S Curran,3
S Dube,3
M Santner,3
WP Saha,2
AD Nath,2
Gurkeerat Singh,2
R Singh,2
R Tewatia,2
M Vijay,2
JD Unadkat,1
AJ Tye,1
JP Duminy,1
I Sharma,1
J Searles,1
K Paul,1
K Rabada,1
S Gopal,1
D Shorey,1
H Klaasen,1
UT Yadav,1
Mohammed Siraj,1
I Sodhi,1
TA Boult,1
SD Lad,1
KC Cariappa,1
TG Southee,1
G Gambhir,1
CR Woakes,1
Harbhajan Singh,1
MK Tiwary,1
H Brar,1
MJ McClenaghan,1
CJ Anderson,1
SP Goswami,1
DT Christian,1
S Singh,1
SN Thakur,1
YS Chahal,0
T Curran,0
VR Aaron,0
Sandeep Sharma,0
RD Chahar,0
S Kaul,0
S Lamichhane,0
S Mavi,0
S Nadeem,0
S Sharma,0
A Dananjaya,0
R Vinay Kumar,0
BB Sran,0
J Suchith,0
J Denly,0
Imran Tahir,0
H Viljoen,0
H Vihari,0
H Gurney,0
DS Kulkarni,0
Basil Thampi,0
B Stanlake,0
K Ahmed,0
B Laughlin,0
B Kumar,0
Avesh Khan,0
Anureet Singh,0
AS Rajpoot,0
A Turner,0
A Mishra,0
A Joseph,0
JJ Bumrah,0
Kuldeep Yadav,0
R Salam,0
N Saini,0
R Bhui,0
PJ Sangwan,0
P Raj,0
P R Barman,0
P Negi,0
P Krishna,0
P Chopra,0
NV Ojha,0
N Naik,0
L Plunkett,0
Mustafizur Rahman,0
Mohammed Shami,0
MM Sharma,0
MG Johnson,0
M Wood,0
M Ur Rahman,0
M Markande,0
M Ashwin,0
M Lomror,0
