batsman,total_runs
S Dhawan,125
KL Rahul,116
AS Yadav,106
RR Pant,104
V Kohli,98
CA Lynn,96
SK Raina,91
JC Buttler,91
SR Watson,86
AM Rahane,85
RG Sharma,77
KS Williamson,77
CH Gayle,77
AT Rayudu,75
SS Iyer,72
KD Karthik,72
P Shaw,72
AB de Villiers,70
Q de Kock,68
PA Patel,68
SV Samson,60
SP Narine,59
MK Pandey,58
RV Uthappa,58
DA Warner,58
F du Plessis,54
N Rana,53
J Bairstow,50
HH Pandya,50
AD Russell,49
MS Dhoni,48
S Gill,43
KH Pandya,40
E Lewis,36
MA Agarwal,35
SPD Smith,32
RA Tripathi,30
Ishan Kishan,30
WP Saha,30
SN Khan,26
Mandeep Singh,26
KA Pollard,25
Shakib Al Hasan,25
KK Nair,24
YK Pathan,23
DA Miller,23
V Shankar,22
KM Jadhav,21
BA Stokes,21
M Ali,20
C Ingram,20
MP Stoinis,20
R Parag,18
C Munro,16
BB McCullum,16
GJ Maxwell,15
A Hales,14
Yuvraj Singh,14
DJ Bravo,14
AR Patel,14
S Gopal,13
S Curran,13
D Short,11
Mohammad Nabi,11
Gurkeerat Singh,11
R Ashwin,10
K Gowtham,10
RA Jadeja,10
N Pooran,10
JJ Roy,9
SW Billings,9
C de Grandhomme,9
G Gambhir,8
DJ Hooda,7
R Tewatia,7
STR Binny,7
J Archer,6
L Livingstone,6
BCJ Cutting,6
AD Nath,6
AJ Finch,6
SP Goswami,6
M Vijay,6
JD Unadkat,6
Washington Sundar,5
TG Southee,5
Rashid Khan,5
PP Chawla,5
R Singh,5
H Klaasen,5
UT Yadav,4
Ankit Sharma,4
CH Morris,4
SN Thakur,4
S Hetmyer,4
MK Tiwary,4
MJ Guptill,4
MJ McClenaghan,4
T Curran,3
M Lomror,3
Harbhajan Singh,3
M Markande,3
JP Duminy,3
P R Barman,2
A Joseph,2
A Mishra,2
AJ Tye,2
B Kumar,2
CR Brathwaite,2
DL Chahar,2
H Brar,2
S Sharma,2
S Rutherford,2
RD Chahar,2
Kuldeep Yadav,2
MG Johnson,2
M Vohra,2
M Ur Rahman,2
P Chopra,2
Mohammed Siraj,2
P Negi,1
SD Lad,1
HV Patel,1
S Dube,1
H Viljoen,1
N Naik,1
S Singh,1
CR Woakes,1
DS Kulkarni,1
I Sharma,1
Mohammed Shami,1
B Stanlake,1
Avesh Khan,1
AS Rajpoot,1
MM Sharma,1
S Mavi,1
JJ Bumrah,1
R Vinay Kumar,1
K Paul,1
I Sodhi,0
TA Boult,0
Basil Thampi,0
BB Sran,0
K Rabada,0
Sandeep Sharma,0
B Laughlin,0
M Santner,0
KC Cariappa,0
Anureet Singh,0
PJ Sangwan,0
L Plunkett,0
VR Aaron,0
A Turner,0
P Raj,0
M Wood,0
YS Chahal,0
CJ Anderson,0
D Shorey,0
R Bhui,0
S Lamichhane,0
J Denly,0
N Saini,0
J Searles,0
J Suchith,0
H Vihari,0
H Gurney,0
S Kaul,0
P Krishna,0
Imran Tahir,0
S Nadeem,0
M Ashwin,0
NV Ojha,0
Mustafizur Rahman,0
DT Christian,0
R Salam,0
K Ahmed,0
A Dananjaya,0
