batsman,batsman_runs
KL Rahul,17
RR Pant,16
S Dhawan,15
KS Williamson,15
AS Yadav,15
SS Iyer,14
V Kohli,14
CA Lynn,14
MS Dhoni,13
SK Raina,13
AD Russell,13
SR Watson,12
AT Rayudu,12
AM Rahane,12
AB de Villiers,12
JC Buttler,11
KD Karthik,11
RV Uthappa,11
Q de Kock,11
SV Samson,11
CH Gayle,11
DA Warner,10
PA Patel,10
HH Pandya,9
RG Sharma,9
MK Pandey,8
N Rana,8
F du Plessis,8
E Lewis,8
P Shaw,7
SP Narine,7
J Bairstow,7
MA Agarwal,6
KK Nair,6
KH Pandya,6
S Gill,6
Mandeep Singh,6
SPD Smith,5
Ishan Kishan,5
V Shankar,5
M Ali,4
KA Pollard,4
RA Tripathi,4
MP Stoinis,4
C de Grandhomme,3
DA Miller,3
BA Stokes,3
N Pooran,3
YK Pathan,3
R Parag,3
A Hales,3
BB McCullum,3
SN Khan,3
Shakib Al Hasan,2
AJ Finch,2
WP Saha,2
R Ashwin,2
D Short,2
C Ingram,2
C Munro,2
MJ Guptill,2
Rashid Khan,1
Mohammad Nabi,1
L Livingstone,1
KM Jadhav,1
M Vijay,1
M Vohra,1
R Singh,1
RA Jadeja,1
S Curran,1
MK Tiwary,1
K Gowtham,1
Yuvraj Singh,1
DJ Hooda,1
HV Patel,1
SW Billings,1
STR Binny,1
CR Brathwaite,1
DJ Bravo,1
JP Duminy,1
DL Chahar,1
G Gambhir,1
GJ Maxwell,1
Gurkeerat Singh,1
SP Goswami,1
H Klaasen,1
TG Southee,1
Ankit Sharma,1
S Rutherford,1
Washington Sundar,1
S Hetmyer,1
JJ Roy,1
BCJ Cutting,1
R Bhui,0
Sandeep Sharma,0
UT Yadav,0
R Salam,0
VR Aaron,0
PP Chawla,0
TA Boult,0
PJ Sangwan,0
T Curran,0
YS Chahal,0
S Dube,0
R Tewatia,0
R Vinay Kumar,0
RD Chahar,0
SN Thakur,0
SD Lad,0
S Singh,0
P Raj,0
S Nadeem,0
S Mavi,0
S Lamichhane,0
S Kaul,0
S Gopal,0
S Sharma,0
A Dananjaya,0
P R Barman,0
Basil Thampi,0
I Sharma,0
Harbhajan Singh,0
H Viljoen,0
H Vihari,0
H Gurney,0
H Brar,0
DT Christian,0
DS Kulkarni,0
D Shorey,0
CR Woakes,0
CJ Anderson,0
CH Morris,0
BB Sran,0
Imran Tahir,0
B Stanlake,0
B Laughlin,0
B Kumar,0
Avesh Khan,0
Anureet Singh,0
AS Rajpoot,0
AR Patel,0
AJ Tye,0
AD Nath,0
A Turner,0
A Mishra,0
A Joseph,0
I Sodhi,0
J Archer,0
P Negi,0
M Ur Rahman,0
P Krishna,0
P Chopra,0
NV Ojha,0
N Saini,0
N Naik,0
Mustafizur Rahman,0
Mohammed Siraj,0
Mohammed Shami,0
MM Sharma,0
MJ McClenaghan,0
MG Johnson,0
M Wood,0
M Santner,0
J Denly,0
M Markande,0
M Ashwin,0
L Plunkett,0
Kuldeep Yadav,0
KC Cariappa,0
K Rabada,0
K Paul,0
K Ahmed,0
JJ Bumrah,0
JD Unadkat,0
J Suchith,0
J Searles,0
M Lomror,0
