batsman,batsman_runs
V Kohli,15
DA Warner,14
G Gambhir,9
AM Rahane,8
RG Sharma,8
AB de Villiers,8
RV Uthappa,8
S Dhawan,7
SK Raina,6
M Vijay,5
DR Smith,5
HM Amla,5
AJ Finch,5
SPD Smith,4
KL Rahul,4
KK Nair,4
YK Pathan,4
Q de Kock,4
KD Karthik,4
SV Samson,4
MC Henriques,3
SE Marsh,3
RR Pant,3
PA Patel,3
SS Tiwary,3
CH Gayle,3
KA Pollard,3
N Rana,3
MK Pandey,3
AT Rayudu,3
BB McCullum,3
WP Saha,3
KS Williamson,2
MK Tiwary,2
MS Dhoni,2
LMP Simmons,2
F du Plessis,2
RA Tripathi,2
SW Billings,2
Yuvraj Singh,2
GJ Maxwell,2
CH Morris,2
CA Lynn,2
M Vohra,2
EJG Morgan,1
Gurkeerat Singh,1
Ishan Kishan,1
MP Stoinis,1
Mandeep Singh,1
TM Head,1
SA Yadav,1
V Shankar,1
JC Buttler,1
KH Pandya,1
SP Narine,1
SS Iyer,1
BA Stokes,1
Shakib Al Hasan,1
KM Jadhav,1
R Ashwin,0
NLTC Perera,0
P Sahu,0
NM Coulter-Nile,0
NS Naik,0
Parvez Rasool,0
PV Tambe,0
PP Chawla,0
PJ Sangwan,0
PJ Cummins,0
NV Ojha,0
P Kumar,0
R Bhatia,0
P Negi,0
PSP Handscomb,0
A Ashish Reddy,0
R Dhawan,0
TS Mills,0
STR Binny,0
Sachin Baby,0
Sandeep Sharma,0
Swapnil Singh,0
TA Boult,0
TG Southee,0
UBT Chand,0
R Sathish,0
UT Khawaja,0
UT Yadav,0
VR Aaron,0
Vishnu Vinod,0
Washington Sundar,0
YS Chahal,0
SR Watson,0
SP Jackson,0
SN Thakur,0
SN Khan,0
SL Malinga,0
SB Jakati,0
S Nadeem,0
S Kaushik,0
Mohammed Shami,0
S Gopal,0
S Badree,0
S Aravind,0
Rashid Khan,0
RD Chahar,0
RA Jadeja,0
R Vinay Kumar,0
R Tewatia,0
S Kaul,0
M Morkel,0
Mohammad Nabi,0
BB Sran,0
Basil Thampi,0
Bipul Sharma,0
C Munro,0
C de Grandhomme,0
CJ Anderson,0
CJ Jordan,0
CR Brathwaite,0
CR Woakes,0
D Wiese,0
DA Miller,0
DJ Bravo,0
DJ Hooda,0
DL Chahar,0
DM Bravo,0
DS Kulkarni,0
BCJ Cutting,0
B Kumar,0
MR Marsh,0
Anureet Singh,0
A Mishra,0
A Nehra,0
A Zampa,0
AB Dinda,0
AD Mathews,0
AD Nath,0
AD Russell,0
AF Milne,0
AJ Tye,0
AP Tare,0
AR Bawne,0
AR Patel,0
AS Rajpoot,0
Ankit Sharma,0
Ankit Soni,0
DT Christian,0
DW Steyn,0
ER Dwivedi,0
F Behardien,0
KJ Abbott,0
KP Pietersen,0
KV Sharma,0
KW Richardson,0
Kuldeep Yadav,0
LH Ferguson,0
M Ashwin,0
A Choudhary,0
MA Agarwal,0
MG Johnson,0
MJ Guptill,0
MJ McClenaghan,0
MM Patel,0
MM Sharma,0
MN Samuels,0
KC Cariappa,0
K Rabada,0
JP Faulkner,0
Imran Tahir,0
GJ Bailey,0
HH Pandya,0
Harbhajan Singh,0
I Sharma,0
IK Pathan,0
IR Jaggi,0
Iqbal Abdulla,0
JP Duminy,0
J Yadav,0
JA Morkel,0
JD Unadkat,0
JJ Bumrah,0
JJ Roy,0
JO Holder,0
Z Khan,0
