batsman,batsman_runs
DA Warner,21
V Kohli,16
AM Rahane,14
S Dhawan,14
G Gambhir,14
SPD Smith,12
KD Karthik,12
BB McCullum,12
RV Uthappa,11
SK Raina,11
RG Sharma,11
AJ Finch,10
MK Pandey,10
RR Pant,10
AB de Villiers,10
GJ Maxwell,9
DR Smith,9
SV Samson,9
KK Nair,9
PA Patel,9
RA Tripathi,7
MS Dhoni,7
KA Pollard,7
YK Pathan,7
KH Pandya,7
KL Rahul,7
Q de Kock,7
Yuvraj Singh,7
HM Amla,6
MC Henriques,6
AT Rayudu,6
CH Gayle,6
SE Marsh,6
M Vijay,6
N Rana,6
Ishan Kishan,5
SS Iyer,5
JC Buttler,5
MK Tiwary,5
KS Williamson,5
WP Saha,5
M Vohra,5
SP Narine,4
TM Head,4
BA Stokes,4
F du Plessis,4
AR Patel,4
CH Morris,4
CA Lynn,4
KM Jadhav,4
MJ Guptill,3
MP Stoinis,3
SA Yadav,3
JP Duminy,3
AD Russell,3
SR Watson,3
DA Miller,3
SS Tiwary,3
CJ Anderson,2
C de Grandhomme,2
Mandeep Singh,2
GJ Bailey,2
LMP Simmons,2
P Negi,2
UT Khawaja,2
NV Ojha,2
HH Pandya,2
SW Billings,2
NLTC Perera,1
BCJ Cutting,1
Shakib Al Hasan,1
KP Pietersen,1
V Shankar,1
CR Brathwaite,1
Sachin Baby,1
K Rabada,1
Gurkeerat Singh,1
DJ Hooda,1
Harbhajan Singh,1
SN Khan,1
EJG Morgan,1
JP Faulkner,1
Iqbal Abdulla,1
A Ashish Reddy,1
JJ Roy,1
RA Jadeja,1
AD Mathews,1
R Tewatia,0
R Vinay Kumar,0
R Dhawan,0
PV Tambe,0
RD Chahar,0
R Ashwin,0
R Sathish,0
Parvez Rasool,0
R Bhatia,0
SN Thakur,0
Rashid Khan,0
S Aravind,0
YS Chahal,0
Washington Sundar,0
Vishnu Vinod,0
VR Aaron,0
UT Yadav,0
UBT Chand,0
TS Mills,0
TG Southee,0
TA Boult,0
Swapnil Singh,0
Sandeep Sharma,0
STR Binny,0
SP Jackson,0
PP Chawla,0
SL Malinga,0
SB Jakati,0
S Nadeem,0
S Kaushik,0
S Kaul,0
S Gopal,0
S Badree,0
PSP Handscomb,0
M Morkel,0
PJ Sangwan,0
BB Sran,0
ER Dwivedi,0
DW Steyn,0
DT Christian,0
DS Kulkarni,0
DM Bravo,0
DL Chahar,0
DJ Bravo,0
D Wiese,0
CR Woakes,0
CJ Jordan,0
C Munro,0
Bipul Sharma,0
Basil Thampi,0
B Kumar,0
PJ Cummins,0
Anureet Singh,0
Ankit Soni,0
Ankit Sharma,0
AS Rajpoot,0
AR Bawne,0
AP Tare,0
AJ Tye,0
AF Milne,0
AD Nath,0
AB Dinda,0
A Zampa,0
A Nehra,0
A Mishra,0
F Behardien,0
I Sharma,0
IK Pathan,0
IR Jaggi,0
P Sahu,0
P Kumar,0
NS Naik,0
NM Coulter-Nile,0
Mohammed Shami,0
Mohammad Nabi,0
MR Marsh,0
MN Samuels,0
MM Sharma,0
MM Patel,0
MJ McClenaghan,0
MG Johnson,0
MA Agarwal,0
A Choudhary,0
M Ashwin,0
LH Ferguson,0
Kuldeep Yadav,0
KW Richardson,0
KV Sharma,0
KJ Abbott,0
KC Cariappa,0
JO Holder,0
JJ Bumrah,0
JD Unadkat,0
JA Morkel,0
J Yadav,0
Imran Tahir,0
Z Khan,0
