batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
MJ Guptill,20.84615385,25,14,0,0,197,271,137.5634518,5
JD Ryder,20.82758621,67,19,4,0,466,604,129.6137339,8
A Flintoff,20.66666667,6,2,0,0,57,62,108.7719298,0
TM Head,20.5,12,8,1,0,151,205,135.7615894,4
MS Bisla,20.46153846,97,23,4,0,737,798,108.2767978,6
MK Tiwary,20.44578313,157,40,6,0,1489,1697,113.9691068,25
JEC Franklin,20.4375,25,9,1,0,309,327,105.8252427,3
BA Stokes,20.21875,43,25,1,1,493,647,131.2373225,7
Niraj Patel,20.16666667,15,1,1,0,124,121,97.58064516,2
P R Barman,20,2,0,0,0,25,20,80,0
SS Tiwary,19.9375,93,45,7,0,1111,1276,114.8514851,16
KH Pandya,19.89130435,86,36,1,0,635,915,144.0944882,13
SP Fleming,19.6,26,3,0,0,171,196,114.619883,3
MC Henriques,19.38,86,27,5,0,769,969,126.0078023,12
MP Stoinis,19.28,35,18,1,0,373,482,129.2225201,7
YV Takawale,19.2,27,3,0,0,183,192,104.9180328,2
WP Saha,19.13978495,161,59,7,1,1382,1780,128.7988423,18
DR Martyn,19,1,0,0,0,26,19,73.07692308,0
Y Gnaneswara Rao,19,3,0,0,0,18,19,105.5555556,0
EJG Morgan,18.97777778,76,34,4,0,725,854,117.7931034,10
Y Venugopal Rao,18.94230769,77,37,3,0,865,985,113.8728324,11
SN Khan,18.90909091,45,12,1,0,291,416,142.9553265,6
LA Pomersbach,18.875,27,13,1,0,251,302,120.3187251,3
LRPL Taylor,18.83333333,68,45,3,0,847,1017,120.0708383,11
Mandeep Singh,18.63855422,161,33,5,0,1254,1547,123.3652313,18
S Hetmyer,18.6,4,7,1,0,76,93,122.3684211,1
CJ Anderson,18.55172414,40,31,2,0,436,538,123.3944954,7
Azhar Mahmood,18.47619048,40,13,2,0,311,388,124.7588424,5
GJ Bailey,18.41666667,60,19,2,0,552,663,120.1086957,8
S Sohal,18.4,34,18,2,0,311,368,118.3279743,6
SM Pollock,18.375,12,8,0,0,116,147,126.7241379,2
HH Pandya,18.32786885,74,69,3,0,736,1118,151.9021739,12
M Klinger,18.25,9,0,0,0,78,73,93.58974359,0
