bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Ashish Reddy,4,40,10.0,0,4,0,0.0,0,0.0,0,1
A Choudhary,17,144,8.470588235294116,4,17,6,0.35294117647058826,1,0.05882352941176471,6,5
A Mishra,85,695,8.176470588235292,8,85,14,0.16470588235294115,2,0.023529411764705882,0,24
A Nehra,49,398,8.122448979591837,9,49,12,0.24489795918367346,0,0.0,29,21
A Zampa,37,281,7.594594594594594,8,37,8,0.21621621621621626,0,0.0,1,19
AB Dinda,41,357,8.707317073170731,14,41,13,0.3170731707317073,1,0.024390243902439025,27,15
AD Mathews,5,57,11.4,2,5,1,0.2,0,0.0,0,0
AD Russell,37,301,8.135135135135135,9,37,9,0.2432432432432433,0,0.0,20,19
AF Milne,18,185,10.277777777777779,6,18,11,0.6111111111111112,0,0.0,7,5
AJ Tye,21,146,6.9523809523809526,10,21,2,0.09523809523809523,0,0.0,6,12
AR Patel,96,761,7.927083333333332,10,96,13,0.13541666666666666,0,0.0,16,28
AS Rajpoot,25,214,8.56,5,25,12,0.48,1,0.04,4,7
Ankit Sharma,12,100,8.333333333333334,1,12,6,0.5,0,0.0,3,1
Ankit Soni,19,145,7.63157894736842,1,19,3,0.15789473684210525,0,0.0,1,4
Anureet Singh,8,70,8.75,0,8,0,0.0,2,0.25,4,1
Avesh Khan,4,24,6.0,1,4,0,0.0,0,0.0,2,1
B Kumar,119,887,7.453781512605042,52,119,33,0.2773109243697479,2,0.01680672268907563,60,52
B Stanlake,8,70,8.75,0,8,2,0.25,0,0.0,6,2
BA Stokes,44,327,7.4318181818181825,12,44,11,0.25,0,0.0,13,14
BB Sran,52,449,8.634615384615385,8,52,16,0.3076923076923077,0,0.0,22,14
BCJ Cutting,25,203,8.12,8,25,4,0.16,0,0.0,4,7
Basil Thampi,45,428,9.511111111111113,18,45,10,0.2222222222222222,0,0.0,17,15
Bipul Sharma,31,254,8.193548387096774,1,31,2,0.06451612903225806,0,0.0,6,8
C Munro,2,15,7.5,0,2,0,0.0,0,0.0,0,0
