bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Ashish Reddy,45,400,8.888888889,18,45,8,0.177777778,2,0.044444444,1,19
A Chandila,39,245,6.282051282,1,39,0,0,0,0,24,11
A Choudhary,17,144,8.470588235,4,17,6,0.352941176,1,0.058823529,6,5
A Dananjaya,4,48,12,0,4,1,0.25,0,0,1,0
A Flintoff,11,106,9.636363636,4,11,0,0,0,0,2,2
A Joseph,9,94,10.44444444,2,9,3,0.333333333,0,0,4,6
A Kumble,163,1089,6.680981595,30,163,26,0.159509202,5,0.030674847,18,49
A Mishra,519,3850,7.418111753,83,519,57,0.10982659,20,0.038535645,22,165
A Mithun,48,477,9.9375,13,48,15,0.3125,9,0.1875,11,8
A Nehra,320,2537,7.928125,88,320,64,0.2,9,0.028125,183,121
A Nel,3,31,10.33333333,1,3,0,0,0,0,1,1
A Roy,2,14,7,0,2,3,1.5,0,0,0,1
A Singh,90,769,8.544444444,30,90,21,0.233333333,1,0.011111111,51,34
A Symonds,88,694,7.886363636,14,88,17,0.193181818,1,0.011363636,19,23
A Uniyal,6,67,11.16666667,3,6,2,0.333333333,0,0,2,3
A Zampa,37,281,7.594594595,8,37,8,0.216216216,0,0,1,19
AA Chavan,42,339,8.071428571,3,42,8,0.19047619,0,0,24,8
AA Jhunjhunwala,15,130,8.666666667,1,15,3,0.2,0,0,5,1
AA Kazi,2,21,10.5,0,2,1,0.5,0,0,0,1
AA Noffke,4,41,10.25,2,4,5,1.25,0,0,1,1
AB Agarkar,131,1174,8.961832061,31,131,37,0.282442748,2,0.015267176,30,33
AB Dinda,255,2103,8.247058824,71,255,72,0.282352941,14,0.054901961,135,82
AB McDonald,31,263,8.483870968,5,31,2,0.064516129,0,0,7,14
AC Gilchrist,1,0,0,1,1,0,0,0,0,0,1
AC Thomas,53,416,7.849056604,19,53,10,0.188679245,2,0.037735849,30,16
AC Voges,9,76,8.444444444,1,9,2,0.222222222,0,0,2,1
AD Mascarenhas,52,365,7.019230769,5,52,3,0.057692308,0,0,28,19
AD Mathews,133,1095,8.233082707,27,133,24,0.180451128,1,0.007518797,21,28
AD Russell,175,1584,9.051428571,42,175,35,0.2,4,0.022857143,54,60
AF Milne,18,185,10.27777778,6,18,11,0.611111111,0,0,7,5
AG Murtaza,44,322,7.318181818,4,44,9,0.204545455,0,0,13,12
AJ Finch,8,67,8.375,2,8,1,0.125,0,0,1,1
AJ Tye,99,871,8.797979798,42,99,22,0.222222222,2,0.02020202,27,43
AL Menaria,19,144,7.578947368,4,19,4,0.210526316,0,0,8,3
AM Nayar,39,323,8.282051282,1,39,11,0.282051282,0,0,1,9
AM Rahane,1,5,5,0,1,0,0,0,0,0,1
