bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
CH Gayle,92,750,8.152173913043477,25,92,46,0.5,3,0.03260869565217391,20,
CH Morris,214,1793,8.378504672897197,82,214,50,0.2336448598130841,5,0.02336448598130841,84,16.0
CJ Anderson,50,532,10.64,15,50,21,0.42,0,0.0,12,5.0
CJ Jordan,33,316,9.575757575757576,11,33,17,0.5151515151515151,2,0.060606060606060615,8,0.0
CJ McKay,7,60,8.571428571428571,2,7,0,0.0,0,0.0,2,
CK Kapugedera,3,49,16.333333333333332,1,3,0,0.0,0,0.0,0,
CK Langeveldt,26,199,7.653846153846153,8,26,8,0.3076923076923077,1,0.038461538461538464,14,
CL White,7,86,12.285714285714285,0,7,5,0.7142857142857143,0,0.0,0,
CR Brathwaite,44,392,8.909090909090908,11,44,9,0.20454545454545456,7,0.1590909090909091,4,6.0
CR Woakes,63,603,9.571428571428571,23,63,22,0.3492063492063492,0,0.0,20,8.0
CRD Fernando,39,306,7.846153846153847,14,39,11,0.28205128205128205,8,0.20512820512820512,13,
D Kalyankrishna,8,88,11.0,1,8,2,0.25,0,0.0,0,
D Salunkhe,8,80,10.0,1,8,7,0.875,1,0.125,0,
D Short,3,27,9.0,0,3,0,0.0,0,0.0,0,1.0
D Wiese,47,409,8.702127659574469,11,47,11,0.23404255319148934,1,0.02127659574468085,10,
D Willey,10,98,9.8,3,10,1,0.1,0,0.0,4,2.0
D du Preez,7,56,8.0,1,7,0,0.0,1,0.14285714285714285,3,
DAJ Bracewell,4,32,8.0,1,4,1,0.25,0,0.0,1,
DB Ravi Teja,3,28,9.333333333333334,0,3,0,0.0,0,0.0,0,
DE Bollinger,97,716,7.381443298969072,40,97,28,0.28865979381443296,2,0.020618556701030927,54,
DJ Bravo,437,3733,8.54233409610984,193,437,124,0.2837528604118993,6,0.013729977116704805,36,31.0
DJ Harris,3,26,8.666666666666666,1,3,0,0.0,0,0.0,0,
DJ Hooda,38,318,8.368421052631579,3,38,11,0.2894736842105263,0,0.0,9,0.0
DJ Hussey,53,485,9.150943396226415,9,53,7,0.1320754716981132,0,0.0,6,
