batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
DA Warner,60.58333333333334,58,22,9,1,496,727,146.5725806451613,10
J Bairstow,46.8,50,18,4,1,293,468,159.72696245733792,7
KL Rahul,46.0,116,57,13,2,873,1288,147.5372279495991,17
JC Buttler,43.0,91,36,8,0,579,903,155.9585492227979,11
RR Pant,40.93333333333333,104,65,9,1,723,1228,169.8478561549101,16
AB de Villiers,39.25,70,56,11,0,575,942,163.82608695652175,12
CH Gayle,37.875,77,61,8,2,599,909,151.7529215358931,11
V Kohli,36.107142857142854,98,31,8,1,717,1011,141.00418410041843,14
KS Williamson,34.92307692307692,77,33,8,0,656,908,138.41463414634146,15
Gurkeerat Singh,34.666666666666664,11,2,1,0,73,104,142.46575342465755,1
MS Dhoni,33.96296296296296,48,51,6,0,638,917,143.73040752351096,13
R Parag,33.8,18,5,1,0,133,169,127.06766917293233,3
S Dhawan,33.46875,125,25,9,0,771,1071,138.91050583657588,15
SPD Smith,33.4,32,4,3,0,283,334,118.02120141342756,5
AS Yadav,33.172413793103445,106,26,6,0,720,962,133.61111111111111,15
AD Russell,32.25925925925926,49,82,7,0,453,871,192.2737306843267,13
F du Plessis,32.166666666666664,54,21,3,0,456,579,126.9736842105263,8
CA Lynn,31.86206896551724,96,40,7,0,679,924,136.08247422680412,14
Q de Kock,31.79166666666667,68,34,5,0,570,763,133.859649122807,11
SS Iyer,31.27586206896552,72,35,6,0,715,907,126.85314685314684,14
SV Samson,31.115384615384613,60,32,5,1,563,809,143.69449378330373,11
SR Watson,30.8125,86,56,7,2,690,986,142.8985507246377,12
N Pooran,29.5,10,14,0,0,110,177,160.9090909090909,3
AM Rahane,29.37037037037037,85,14,3,1,613,793,129.36378466557912,12
E Lewis,29.0,36,26,4,0,343,464,135.27696793002914,8
KD Karthik,28.035714285714285,72,30,4,1,530,785,148.11320754716982,11
PA Patel,27.6,68,14,3,0,384,552,143.75,10
AT Rayudu,27.57575757575757,75,41,5,1,717,910,126.91771269177129,12
MJ Guptill,27.33333333333333,4,7,0,0,54,82,151.85185185185185,2
SK Raina,27.09375,91,21,7,0,675,867,128.44444444444446,13
MK Pandey,27.04166666666667,58,11,6,0,524,649,123.85496183206106,8
M Vijay,26.33333333333333,6,2,0,0,72,79,109.72222222222223,1
N Rana,25.653846153846153,53,35,4,0,480,667,138.95833333333334,8
HH Pandya,25.42857142857143,50,41,2,0,430,712,165.5813953488372,9
JJ Roy,25.4,9,7,1,0,98,127,129.59183673469386,1
A Hales,25.33333333333333,14,6,0,0,119,152,127.73109243697478,3
RV Uthappa,24.740740740740737,58,31,2,0,532,668,125.5639097744361,11
P Shaw,24.64,72,19,4,1,435,616,141.60919540229887,7
RG Sharma,24.37931034482759,77,21,4,0,542,707,130.44280442804427,9
DA Miller,24.0,23,9,2,0,241,312,129.4605809128631,3
KK Nair,24.0,24,13,1,0,231,312,135.06493506493507,6
JP Duminy,24.0,3,1,0,0,46,48,104.34782608695652,1
BB McCullum,23.0,16,5,0,0,91,138,151.64835164835162,3
S Gill,22.47826086956522,43,15,4,0,384,517,134.63541666666669,6
M Ali,22.214285714285715,20,23,3,0,183,311,169.94535519125685,4
SP Narine,22.16666666666667,59,34,3,0,288,532,184.72222222222226,7
H Brar,22.0,2,1,0,0,14,22,157.14285714285714,0
Ishan Kishan,21.777777777777782,30,21,2,0,291,392,134.70790378006873,5
SN Khan,21.727272727272727,26,6,1,0,188,239,127.12765957446808,3
KA Pollard,21.5,25,27,2,0,290,430,148.27586206896552,4
V Shankar,20.565217391304348,22,23,1,0,352,473,134.375,5
HV Patel,20.33333333333333,1,6,0,0,36,61,169.44444444444446,1
SP Goswami,20.0,6,1,0,0,42,60,142.85714285714286,1
RA Tripathi,20.0,30,11,2,0,296,380,128.37837837837841,4
P R Barman,20.0,2,0,0,0,25,20,80.0,0
MA Agarwal,19.25,35,19,2,0,335,462,137.91044776119404,6
MP Stoinis,18.764705882352946,20,14,0,0,237,319,134.59915611814347,4
C Munro,18.75,16,8,0,0,113,150,132.7433628318584,2
S Hetmyer,18.6,4,7,1,0,76,93,122.36842105263158,1
Shakib Al Hasan,18.5,25,7,0,0,214,259,121.02803738317759,2
G Gambhir,18.2,8,1,1,0,91,91,100.0,1
L Livingstone,18.0,6,5,0,0,48,72,150.0,1
D Short,17.571428571428573,11,5,0,0,102,123,120.58823529411764,2
M Santner,17.5,0,3,0,0,25,35,140.0,0
Mandeep Singh,17.4,26,15,0,0,316,435,137.65822784810126,6
Yuvraj Singh,17.4,14,8,1,0,157,174,110.828025477707,1
S Singh,17.0,1,1,0,0,18,17,94.44444444444444,0
KH Pandya,16.11111111111111,40,16,0,0,322,435,135.09316770186334,6
Mohammad Nabi,16.0,11,7,0,0,92,144,156.52173913043478,1
YK Pathan,15.95,23,12,0,0,258,319,123.64341085271316,3
BA Stokes,15.761904761904766,21,10,0,0,266,331,124.4360902255639,3
C de Grandhomme,15.583333333333336,9,12,0,0,137,187,136.4963503649635,3
C Ingram,15.583333333333336,20,5,0,0,157,187,119.10828025477707,2
AJ Finch,15.555555555555555,6,8,0,0,102,140,137.2549019607843,2
CR Brathwaite,15.5,2,8,0,0,64,93,145.3125,1
KM Jadhav,15.230769230769232,21,5,1,0,195,198,101.53846153846152,1
A Joseph,15.0,2,0,0,0,13,15,115.38461538461536,0
SD Lad,15.0,1,1,0,0,13,15,115.38461538461536,0
WP Saha,14.866666666666667,30,2,0,0,163,223,136.80981595092027,2
M Vohra,14.75,2,4,0,0,50,59,118.0,1
GJ Maxwell,14.5,15,9,0,0,122,174,142.62295081967213,1
DJ Bravo,13.111111111111109,14,12,1,0,161,236,146.58385093167703,1
BCJ Cutting,12.888888888888891,6,9,0,0,76,116,152.63157894736844,1
RA Jadeja,12.882352941176471,10,8,0,0,174,219,125.86206896551724,1
Ankit Sharma,12.833333333333336,4,5,0,0,45,77,171.11111111111111,1
SW Billings,12.444444444444445,9,5,1,0,83,112,134.93975903614458,1
MK Tiwary,12.25,4,1,0,0,45,49,108.88888888888887,1
TG Southee,12.2,5,1,0,0,55,61,110.9090909090909,1
S Curran,11.875,13,3,1,0,55,95,172.72727272727272,1
AD Nath,11.833333333333336,6,2,0,0,71,71,100.0,0
S Rutherford,11.714285714285715,2,7,0,0,55,82,149.0909090909091,1
STR Binny,11.6,7,6,0,0,81,116,143.20987654320987,1
H Klaasen,11.333333333333336,5,1,0,0,58,68,117.2413793103448,1
DJ Hooda,10.8,7,4,0,0,154,162,105.1948051948052,1
R Ashwin,10.785714285714288,10,8,0,0,104,151,145.19230769230768,2
S Gopal,10.636363636363637,13,1,0,0,93,117,125.80645161290323,0
R Singh,10.428571428571429,5,2,0,0,68,73,107.35294117647058,1
I Sharma,10.0,1,1,0,0,3,10,333.33333333333337,0
S Dube,10.0,1,3,0,0,33,40,121.21212121212122,0
Washington Sundar,10.0,5,4,0,0,44,70,159.0909090909091,1
AR Patel,10.0,14,7,0,0,161,200,124.22360248447204,0
DL Chahar,9.833333333333334,2,4,0,0,40,59,147.5,1
SN Thakur,9.666666666666666,4,1,0,0,12,29,241.66666666666663,0
DT Christian,9.333333333333334,0,1,0,0,33,28,84.84848484848484,0
M Lomror,9.333333333333334,3,0,0,0,24,28,116.66666666666669,0
R Tewatia,9.333333333333334,7,2,0,0,69,84,121.73913043478262,0
KC Cariappa,9.0,0,1,0,0,3,9,300.0,0
CH Morris,9.0,4,4,0,0,64,81,126.5625,0
Harbhajan Singh,8.75,3,1,0,0,41,35,85.36585365853658,0
K Gowtham,8.705882352941176,10,10,0,0,86,148,172.093023255814,1
MG Johnson,8.5,2,0,0,0,11,17,154.54545454545453,0
D Shorey,8.0,0,1,0,0,20,16,80.0,0
N Naik,8.0,1,0,0,0,17,8,47.058823529411754,0
P Chopra,8.0,2,0,0,0,6,8,133.33333333333331,0
J Archer,7.727272727272727,6,4,0,0,62,85,137.09677419354838,0
PP Chawla,7.2,5,3,0,0,74,72,97.2972972972973,0
JD Unadkat,7.142857142857142,6,1,0,0,41,50,121.95121951219512,0
Rashid Khan,7.0,5,8,0,0,58,98,168.96551724137933,1
R Vinay Kumar,7.0,1,0,0,0,4,7,175.0,0
S Nadeem,6.0,0,0,0,0,8,6,75.0,0
J Suchith,6.0,0,0,0,0,15,6,40.0,0
T Curran,6.0,3,0,0,0,28,24,85.71428571428571,0
CJ Anderson,5.666666666666668,0,1,0,0,22,17,77.27272727272727,0
Mohammed Siraj,5.666666666666668,2,1,0,0,38,34,89.47368421052632,0
A Mishra,5.6,2,0,0,0,28,28,100.0,0
R Salam,5.0,0,0,0,0,4,5,125.0,0
B Stanlake,5.0,1,0,0,0,2,5,250.0,0
I Sodhi,5.0,0,1,0,0,18,10,55.555555555555564,0
AJ Tye,4.5555555555555545,2,1,0,0,42,41,97.61904761904762,0
M Markande,4.428571428571429,3,0,0,0,30,31,103.33333333333334,0
K Paul,4.4,1,1,0,0,26,22,84.61538461538461,0
S Mavi,4.333333333333333,1,0,0,0,15,13,86.66666666666669,0
Kuldeep Yadav,4.333333333333333,2,0,0,0,33,26,78.78787878787878,0
CR Woakes,4.25,1,1,0,0,19,17,89.47368421052632,0
B Kumar,4.0,2,0,0,0,37,32,86.4864864864865,0
Avesh Khan,4.0,1,0,0,0,3,4,133.33333333333331,0
Anureet Singh,4.0,0,0,0,0,4,4,100.0,0
AS Rajpoot,4.0,1,0,0,0,18,12,66.66666666666666,0
R Bhui,4.0,0,0,0,0,18,8,44.444444444444436,0
S Sharma,4.0,2,0,0,0,4,8,200.0,0
A Dananjaya,4.0,0,0,0,0,5,4,80.0,0
J Searles,4.0,0,1,0,0,6,8,133.33333333333331,0
K Rabada,3.75,0,1,0,0,15,15,100.0,0
DS Kulkarni,3.6666666666666665,1,0,0,0,10,11,110.0,0
MJ McClenaghan,3.5,4,1,0,0,28,28,100.0,0
UT Yadav,3.3,4,1,0,0,38,33,86.8421052631579,0
JJ Bumrah,3.0,1,0,0,0,12,12,100.0,0
M Ur Rahman,3.0,2,0,0,0,11,12,109.09090909090908,0
M Wood,3.0,0,0,0,0,5,3,60.0,0
RD Chahar,3.0,2,0,0,0,11,12,109.09090909090908,0
VR Aaron,3.0,0,0,0,0,7,3,42.857142857142854,0
Mohammed Shami,2.6666666666666665,1,0,0,0,8,8,100.0,0
MM Sharma,2.4,1,0,0,0,16,12,75.0,0
TA Boult,2.333333333333333,0,1,0,0,6,7,116.66666666666669,0
P Negi,2.1666666666666665,1,0,0,0,17,13,76.47058823529412,0
Basil Thampi,2.0,0,0,0,0,7,4,57.14285714285714,0
Imran Tahir,2.0,0,0,0,0,2,2,100.0,0
H Viljoen,2.0,1,0,0,0,7,6,85.71428571428571,0
NV Ojha,2.0,0,0,0,0,4,2,50.0,0
H Vihari,2.0,0,0,0,0,8,4,50.0,0
YS Chahal,1.75,0,0,0,0,20,7,35.0,0
BB Sran,1.75,0,0,0,0,10,7,70.0,0
N Saini,1.5,0,0,0,0,4,3,75.0,0
H Gurney,1.0,0,0,0,0,5,1,20.0,0
Mustafizur Rahman,1.0,0,0,0,0,3,1,33.33333333333333,0
M Ashwin,1.0,0,0,0,0,7,4,57.14285714285714,0
A Turner,1.0,0,0,0,0,11,4,36.36363636363637,0
PJ Sangwan,1.0,0,0,0,0,5,1,20.0,0
S Kaul,0.75,0,0,0,0,15,3,20.0,0
P Krishna,0.5,0,0,0,0,7,1,14.285714285714285,0
L Plunkett,0.5,0,0,0,0,3,1,33.33333333333333,0
B Laughlin,0.5,0,0,0,0,4,1,25.0,0
Sandeep Sharma,0.0,0,0,0,0,4,0,0.0,0
J Denly,0.0,0,0,0,0,1,0,0.0,0
S Lamichhane,0.0,0,0,0,0,1,0,0.0,0
P Raj,0.0,0,0,0,0,1,0,0.0,0
K Ahmed,0.0,0,0,0,0,1,0,0.0,0
